z_real,z_imag,target_real,target_imag
-2.500000000000000000e+00,-2.500000000000000000e+00,-1.098423340585184954e-01,-1.098423340585185093e-01
-2.427536231884058093e+00,-2.500000000000000000e+00,-1.166174694409236740e-01,-1.200985879316974897e-01
-2.355072463768115743e+00,-2.500000000000000000e+00,-1.233758267388076341e-01,-1.309681853073496050e-01
-2.282608695652173836e+00,-2.500000000000000000e+00,-1.300603558242052205e-01,-1.424470563788914346e-01
-2.210144927536231929e+00,-2.500000000000000000e+00,-1.366097362547611382e-01,-1.545257672389920289e-01
-2.137681159420290022e+00,-2.500000000000000000e+00,-1.429588412393369978e-01,-1.671891533138009367e-01
-2.065217391304347672e+00,-2.500000000000000000e+00,-1.490393039049052182e-01,-1.804159994638326603e-01
-1.992753623188405765e+00,-2.500000000000000000e+00,-1.547801837187933738e-01,-1.941787759381226053e-01
-1.920289855072463858e+00,-2.500000000000000000e+00,-1.601087285593116583e-01,-2.084434390677830373e-01
-1.847826086956521729e+00,-2.500000000000000000e+00,-1.649512254840007075e-01,-2.231693050665891631e-01
-1.775362318840579601e+00,-2.500000000000000000e+00,-1.692339307779225921e-01,-2.383090045648298128e-01
-1.702898550724637694e+00,-2.500000000000000000e+00,-1.728840674397685573e-01,-2.538085245392347478e-01
-1.630434782608695565e+00,-2.500000000000000000e+00,-1.758308759499375984e-01,-2.696073431232376416e-01
-1.557971014492753437e+00,-2.500000000000000000e+00,-1.780067020327583405e-01,-2.856386614014027603e-01
-1.485507246376811530e+00,-2.500000000000000000e+00,-1.793481032448813739e-01,-3.018297347291906130e-01
-1.413043478260869623e+00,-2.500000000000000000e+00,-1.797969546610005687e-01,-3.181023044002318501e-01
-1.340579710144927494e+00,-2.500000000000000000e+00,-1.793015327488549360e-01,-3.343731286397564895e-01
-1.268115942028985366e+00,-2.500000000000000000e+00,-1.778175557828199915e-01,-3.505546099718450104e-01
-1.195652173913043459e+00,-2.500000000000000000e+00,-1.753091588846203142e-01,-3.665555140314786797e-01
-1.123188405797101330e+00,-2.500000000000000000e+00,-1.717497820343536208e-01,-3.822817729151742339e-01
-1.050724637681159424e+00,-2.500000000000000000e+00,-1.671229501853132016e-01,-3.976373642340210735e-01
-9.782608695652172948e-01,-2.500000000000000000e+00,-1.614229259474737055e-01,-4.125252551990995498e-01
-9.057971014492753881e-01,-2.500000000000000000e+00,-1.546552171667277542e-01,-4.268483993801684973e-01
-8.333333333333332593e-01,-2.500000000000000000e+00,-1.468369240937450471e-01,-4.405107722812353077e-01
-7.608695652173911306e-01,-2.500000000000000000e+00,-1.379969136654411732e-01,-4.534184306150210730e-01
-6.884057971014492239e-01,-2.500000000000000000e+00,-1.281758116560157978e-01,-4.654805791718468200e-01
-6.159420289855070951e-01,-2.500000000000000000e+00,-1.174258070218786032e-01,-4.766106285005664023e-01
-5.434782608695651884e-01,-2.500000000000000000e+00,-1.058102665818293625e-01,-4.867272262764152924e-01
-4.710144927536230597e-01,-2.500000000000000000e+00,-9.340316214693339392e-02,-4.957552452414159538e-01
-3.985507246376811530e-01,-2.500000000000000000e+00,-8.028831624269741618e-02,-5.036267109769199113e-01
-3.260869565217392463e-01,-2.500000000000000000e+00,-6.655847654415839032e-02,-5.102816535052142610e-01
-2.536231884057968955e-01,-2.500000000000000000e+00,-5.231423296607793511e-02,-5.156688678084825339e-01
-1.811594202898549888e-01,-2.500000000000000000e+00,-3.766279491159002513e-02,-5.197465697799423801e-01
-1.086956521739130821e-01,-2.500000000000000000e+00,-2.271664938502206479e-02,-5.224829358555074243e-01
-3.623188405797073131e-02,-2.500000000000000000e+00,-7.592123428670626006e-03,-5.238565165782782529e-01
3.623188405797117539e-02,-2.500000000000000000e+00,7.592123428670690191e-03,-5.238565165782782529e-01
1.086956521739130821e-01,-2.500000000000000000e+00,2.271664938502201275e-02,-5.224829358555074243e-01
1.811594202898549888e-01,-2.500000000000000000e+00,3.766279491158997655e-02,-5.197465697799423801e-01
2.536231884057973396e-01,-2.500000000000000000e+00,5.231423296607799756e-02,-5.156688678084825339e-01
3.260869565217392463e-01,-2.500000000000000000e+00,6.655847654415844583e-02,-5.102816535052142610e-01
3.985507246376811530e-01,-2.500000000000000000e+00,8.028831624269736067e-02,-5.036267109769199113e-01
4.710144927536235038e-01,-2.500000000000000000e+00,9.340316214693346331e-02,-4.957552452414158983e-01
5.434782608695654105e-01,-2.500000000000000000e+00,1.058102665818294180e-01,-4.867272262764152924e-01
6.159420289855073172e-01,-2.500000000000000000e+00,1.174258070218786726e-01,-4.766106285005664023e-01
6.884057971014492239e-01,-2.500000000000000000e+00,1.281758116560157423e-01,-4.654805791718468755e-01
7.608695652173915747e-01,-2.500000000000000000e+00,1.379969136654412287e-01,-4.534184306150210730e-01
8.333333333333334814e-01,-2.500000000000000000e+00,1.468369240937450748e-01,-4.405107722812352522e-01
9.057971014492753881e-01,-2.500000000000000000e+00,1.546552171667277265e-01,-4.268483993801684973e-01
9.782608695652177389e-01,-2.500000000000000000e+00,1.614229259474736777e-01,-4.125252551990993277e-01
1.050724637681159646e+00,-2.500000000000000000e+00,1.671229501853132016e-01,-3.976373642340209624e-01
1.123188405797101552e+00,-2.500000000000000000e+00,1.717497820343536763e-01,-3.822817729151741784e-01
1.195652173913043459e+00,-2.500000000000000000e+00,1.753091588846202586e-01,-3.665555140314786797e-01
1.268115942028985810e+00,-2.500000000000000000e+00,1.778175557828197417e-01,-3.505546099718446218e-01
1.340579710144927716e+00,-2.500000000000000000e+00,1.793015327488549637e-01,-3.343731286397564895e-01
1.413043478260869623e+00,-2.500000000000000000e+00,1.797969546610006242e-01,-3.181023044002317945e-01
1.485507246376811530e+00,-2.500000000000000000e+00,1.793481032448813461e-01,-3.018297347291906130e-01
1.557971014492753881e+00,-2.500000000000000000e+00,1.780067020327582850e-01,-2.856386614014028158e-01
1.630434782608696231e+00,-2.500000000000000000e+00,1.758308759499376539e-01,-2.696073431232375861e-01
1.702898550724637694e+00,-2.500000000000000000e+00,1.728840674397685850e-01,-2.538085245392346923e-01
1.775362318840580045e+00,-2.500000000000000000e+00,1.692339307779225088e-01,-2.383090045648296185e-01
1.847826086956521507e+00,-2.500000000000000000e+00,1.649512254840006520e-01,-2.231693050665891909e-01
1.920289855072463858e+00,-2.500000000000000000e+00,1.601087285593116027e-01,-2.084434390677830651e-01
1.992753623188406209e+00,-2.500000000000000000e+00,1.547801837187934015e-01,-1.941787759381225775e-01
2.065217391304347672e+00,-2.500000000000000000e+00,1.490393039049052182e-01,-1.804159994638326603e-01
2.137681159420290022e+00,-2.500000000000000000e+00,1.429588412393369978e-01,-1.671891533138009089e-01
2.210144927536232373e+00,-2.500000000000000000e+00,1.366097362547611105e-01,-1.545257672389920289e-01
2.282608695652173836e+00,-2.500000000000000000e+00,1.300603558242052205e-01,-1.424470563788914346e-01
2.355072463768116187e+00,-2.500000000000000000e+00,1.233758267388076063e-01,-1.309681853073496050e-01
2.427536231884058537e+00,-2.500000000000000000e+00,1.166174694409236462e-01,-1.200985879316974481e-01
2.500000000000000000e+00,-2.500000000000000000e+00,1.098423340585185093e-01,-1.098423340585184954e-01
-2.500000000000000000e+00,-2.427536231884058093e+00,-1.200985879316975036e-01,-1.166174694409236462e-01
-2.427536231884058093e+00,-2.427536231884058093e+00,-1.275063346756754590e-01,-1.275063346756754867e-01
-2.355072463768115743e+00,-2.427536231884058093e+00,-1.348957367233534765e-01,-1.390463747763797664e-01
-2.282608695652173836e+00,-2.427536231884058093e+00,-1.422044170334142155e-01,-1.512332689085516269e-01
-2.210144927536231929e+00,-2.427536231884058093e+00,-1.493653295201992359e-01,-1.640570012762843644e-01
-2.137681159420290022e+00,-2.427536231884058093e+00,-1.563072663409466045e-01,-1.775014719464985957e-01
-2.065217391304347672e+00,-2.427536231884058093e+00,-1.629554770364432803e-01,-1.915441572182753904e-01
-1.992753623188405765e+00,-2.427536231884058093e+00,-1.692323971787831893e-01,-2.061558292905177892e-01
-1.920289855072463858e+00,-2.427536231884058093e+00,-1.750584815984391196e-01,-2.213003446621776837e-01
-1.847826086956521729e+00,-2.427536231884058093e+00,-1.803531345908720163e-01,-2.369345101487926319e-01
-1.775362318840579601e+00,-2.427536231884058093e+00,-1.850357268057607196e-01,-2.530080346119584767e-01
-1.702898550724637694e+00,-2.427536231884058093e+00,-1.890266858708865017e-01,-2.694635734755191914e-01
-1.630434782608695565e+00,-2.427536231884058093e+00,-1.922486452730588768e-01,-2.862368718509988863e-01
-1.557971014492753437e+00,-2.427536231884058093e+00,-1.946276336874212254e-01,-3.032570106292378220e-01
