z_real,z_imag,target_real,target_imag
-2.500000000000000000e+00,-2.500000000000000000e+00,1.286599379413911615e-01,8.704767125985461707e-02
-2.427536231884058093e+00,-2.500000000000000000e+00,1.352326464410467111e-01,9.866831476488936714e-02
-2.355072463768115743e+00,-2.500000000000000000e+00,1.413805121540300247e-01,1.112915583916799928e-01
-2.282608695652173836e+00,-2.500000000000000000e+00,1.469715770882623618e-01,1.249248396289500268e-01
-2.210144927536231929e+00,-2.500000000000000000e+00,1.518645926618403807e-01,1.395620946964032383e-01
-2.137681159420290022e+00,-2.500000000000000000e+00,1.559103025899881700e-01,1.551818959175906010e-01
-2.065217391304347672e+00,-2.500000000000000000e+00,1.589530810851988163e-01,1.717456403653803421e-01
-1.992753623188405765e+00,-2.500000000000000000e+00,1.608329405696926340e-01,1.891958443638674936e-01
-1.920289855072463858e+00,-2.500000000000000000e+00,1.613879150800675011e-01,2.074546049558621541e-01
-1.847826086956521729e+00,-2.500000000000000000e+00,1.604568158066868588e-01,2.264222952223497731e-01
-1.775362318840579601e+00,-2.500000000000000000e+00,1.578823437297847687e-01,2.459765649845871982e-01
-1.702898550724637694e+00,-2.500000000000000000e+00,1.535145311329039752e-01,2.659717214937452612e-01
-1.630434782608695565e+00,-2.500000000000000000e+00,1.472144690222442209e-01,2.862385657345847823e-01
-1.557971014492753437e+00,-2.500000000000000000e+00,1.388582613975264668e-01,3.065847584232143097e-01
-1.485507246376811530e+00,-2.500000000000000000e+00,1.283411302782211383e-01,3.267957851367407907e-01
-1.413043478260869623e+00,-2.500000000000000000e+00,1.155815779140515337e-01,3.466365817639644464e-01
-1.340579710144927494e+00,-2.500000000000000000e+00,1.005254953967759934e-01,3.658538691577014612e-01
-1.268115942028985366e+00,-2.500000000000000000e+00,8.315009081680006797e-02,3.841792291551515692e-01
-1.195652173913043459e+00,-2.500000000000000000e+00,6.346749622373702715e-02,4.013329328360737969e-01
-1.123188405797101330e+00,-2.500000000000000000e+00,4.152790215814509966e-02,4.170285060692617285e-01
-1.050724637681159424e+00,-2.500000000000000000e+00,1.742206273326811494e-02,4.309779874236505104e-01
-9.782608695652172948e-01,-2.500000000000000000e+00,-8.716985493766375021e-03,4.428978001327475988e-01
-9.057971014492753881e-01,-2.500000000000000000e+00,-3.671314003442107538e-02,4.525151241661569679e-01
-8.333333333333332593e-01,-2.500000000000000000e+00,-6.634751754415484093e-02,4.595746181947504283e-01
-7.608695652173911306e-01,-2.500000000000000000e+00,-9.735991551002086408e-02,4.638453063839899082e-01
-6.884057971014492239e-01,-2.500000000000000000e+00,-1.294515241154146901e-01,4.651274139244348516e-01
-6.159420289855070951e-01,-2.500000000000000000e+00,-1.622889184540828866e-01,4.632589106552061908e-01
-5.434782608695651884e-01,-2.500000000000000000e+00,-1.955093101944550549e-01,4.581215067426314125e-01
-4.710144927536230597e-01,-2.500000000000000000e+00,-2.287269811228745675e-01,4.496458406233053151e-01
-3.985507246376811530e-01,-2.500000000000000000e+00,-2.615407616224621479e-01,4.378156092974070934e-01
-3.260869565217392463e-01,-2.500000000000000000e+00,-2.935423586770127824e-01,4.226704157688715990e-01
-2.536231884057968955e-01,-2.500000000000000000e+00,-3.243252844992773887e-01,4.043071481339082229e-01
-1.811594202898549888e-01,-2.500000000000000000e+00,-3.534940925788891408e-01,3.828797584495642892e-01
-1.086956521739130821e-01,-2.500000000000000000e+00,-3.806735967655944242e-01,3.585973747045811955e-01
-3.623188405797073131e-02,-2.500000000000000000e+00,-4.055177341835696225e-01,3.317207523841518846e-01
3.623188405797117539e-02,-2.500000000000000000e+00,-4.277177364408572546e-01,3.025571487068076659e-01
1.086956521739130821e-01,-2.500000000000000000e+00,-4.470092964640215993e-01,2.714537774543074877e-01
1.811594202898549888e-01,-2.500000000000000000e+00,-4.631784594756961360e-01,2.387900701375370860e-01
2.536231884057973396e-01,-2.500000000000000000e+00,-4.760660236926192446e-01,2.049690251799273222e-01
3.260869565217392463e-01,-2.500000000000000000e+00,-4.855703054335180346e-01,1.704079669061713542e-01
3.985507246376811530e-01,-2.500000000000000000e+00,-4.916481996665439391e-01,1.355290577668254171e-01
4.710144927536235038e-01,-2.500000000000000000e+00,-4.943145452551875874e-01,1.007499093427869086e-01
5.434782608695654105e-01,-2.500000000000000000e+00,-4.936398789603303472e-01,6.647462081787955390e-02
6.159420289855073172e-01,-2.500000000000000000e+00,-4.897467288383515194e-01,3.308553984112214824e-02
6.884057971014492239e-01,-2.500000000000000000e+00,-4.828046522108083716e-01,9.359932888358387998e-04
7.608695652173915747e-01,-2.500000000000000000e+00,-4.730242632792990287e-01,-2.965582154741543477e-02
8.333333333333334814e-01,-2.500000000000000000e+00,-4.606505194887529075e-01,-5.841165695188377249e-02
9.057971014492753881e-01,-2.500000000000000000e+00,-4.459555439939146271e-01,-8.509668049572303994e-02
9.782608695652177389e-01,-2.500000000000000000e+00,-4.292312552958066907e-01,-1.095215808674783742e-01
1.050724637681159646e+00,-2.500000000000000000e+00,-4.107820564080858494e-01,-1.315433618498716983e-01
1.123188405797101552e+00,-2.500000000000000000e+00,-3.909178074773824174e-01,-1.510649175986699955e-01
1.195652173913043459e+00,-2.500000000000000000e+00,-3.699472705611978607e-01,-1.680335176684534526e-01
1.268115942028985810e+00,-2.500000000000000000e+00,-3.481721761797619275e-01,-1.824383552089229033e-01
1.340579710144927716e+00,-2.500000000000000000e+00,-3.258820209732847806e-01,-1.943073266987001835e-01
1.413043478260869623e+00,-2.500000000000000000e+00,-3.033496665795165637e-01,-2.037032173437712257e-01
1.485507246376811530e+00,-2.500000000000000000e+00,-2.808277734777591128e-01,-2.107194640932692209e-01
1.557971014492753881e+00,-2.500000000000000000e+00,-2.585460712936293870e-01,-2.154756595868636826e-01
1.630434782608696231e+00,-2.500000000000000000e+00,-2.367094397079191892e-01,-2.181129467877972183e-01
