z_real,z_imag,target_real,target_imag
-2.500000000000000000e+00,-2.500000000000000000e+00,2.928286690285723193e+00,1.981195866010093454e+00
-2.427536231884058093e+00,-2.500000000000000000e+00,2.815034064304658301e+00,2.053902474294786007e+00
-2.355072463768115743e+00,-2.500000000000000000e+00,2.698756797733839807e+00,2.124400634598900606e+00
-2.282608695652173836e+00,-2.500000000000000000e+00,2.579407058741464365e+00,2.192478433823607631e+00
-2.210144927536231929e+00,-2.500000000000000000e+00,2.456946103153206717e+00,2.257909751720472702e+00
-2.137681159420290022e+00,-2.500000000000000000e+00,2.331345956058476609e+00,2.320454001377804332e+00
-2.065217391304347672e+00,-2.500000000000000000e+00,2.202591255176672647e+00,2.379856011603471710e+00
-1.992753623188405765e+00,-2.500000000000000000e+00,2.070681254847130948e+00,2.435846083716135091e+00
-1.920289855072463858e+00,-2.500000000000000000e+00,1.935631984890470170e+00,2.488140258619516931e+00
-1.847826086956521729e+00,-2.500000000000000000e+00,1.797478552872782132e+00,2.536440833057103994e+00
-1.775362318840579601e+00,-2.500000000000000000e+00,1.656277571404506821e+00,2.580437166377314462e+00
-1.702898550724637694e+00,-2.500000000000000000e+00,1.512109683979242281e+00,2.619806820679011050e+00
-1.630434782608695565e+00,-2.500000000000000000e+00,1.365082153520503772e+00,2.654217077497635469e+00
-1.557971014492753437e+00,-2.500000000000000000e+00,1.215331467353359063e+00,2.683326872831618637e+00
-1.485507246376811530e+00,-2.500000000000000000e+00,1.063025900955153258e+00,2.706789188861315143e+00
-1.413043478260869623e+00,-2.500000000000000000e+00,9.083679708952094867e-01,2.724253934732827620e+00
-1.340579710144927494e+00,-2.500000000000000000e+00,7.515966953274459961e-01,2.735371339841286442e+00
-1.268115942028985366e+00,-2.500000000000000000e+00,5.929895688968283007e-01,2.739795870791765342e+00
-1.195652173913043459e+00,-2.500000000000000000e+00,4.328641487731555992e-01,2.737190667397847221e+00
-1.123188405797101330e+00,-2.500000000000000000e+00,2.715791407046750927e-01,2.727232473635341048e+00
-1.050724637681159424e+00,-2.500000000000000000e+00,1.095348695841792536e-01,2.709617016586546523e+00
-9.782608695652172948e-01,-2.500000000000000000e+00,-5.282698079635902294e-02,2.684064760586531762e+00
-9.057971014492753881e-01,-2.500000000000000000e+00,-2.150244682171272848e-01,2.650326935882033386e+00
-8.333333333333332593e-01,-2.500000000000000000e+00,-3.765374294967104296e-01,2.608191712400078188e+00
-7.608695652173911306e-01,-2.500000000000000000e+00,-5.368105315985993720e-01,2.557490361357971587e+00
-6.884057971014492239e-01,-2.500000000000000000e+00,-6.952573850971747182e-01,2.498103222437118465e+00
-6.159420289855070951e-01,-2.500000000000000000e+00,-8.512657332288700029e-01,2.429965274340580628e+00
-5.434782608695651884e-01,-2.500000000000000000e+00,-1.004203687608304030e+00,2.353071094087828552e+00
-4.710144927536230597e-01,-2.500000000000000000e+00,-1.153426934552615357e+00,2.267478987561407866e+00
-3.985507246376811530e-01,-2.500000000000000000e+00,-1.298286786234656542e+00,2.173314082409100401e+00
-3.260869565217392463e-01,-2.500000000000000000e+00,-1.438138901627262323e+00,2.070770195564911820e+00
-2.536231884057968955e-01,-2.500000000000000000e+00,-1.572352456905206308e+00,1.960110321630209373e+00
-1.811594202898549888e-01,-2.500000000000000000e+00,-1.700319507296394139e+00,1.841665634328636170e+00
-1.086956521739130821e-01,-2.500000000000000000e+00,-1.821464255776525709e+00,1.715832949249423978e+00
-3.623188405797073131e-02,-2.500000000000000000e+00,-1.935251931351007482e+00,1.583070659075135556e+00
3.623188405797117539e-02,-2.500000000000000000e+00,-2.041196982881020805e+00,1.443893218524072042e+00
1.086956521739130821e-01,-2.500000000000000000e+00,-2.138870314166786191e+00,1.298864320850174003e+00
1.811594202898549888e-01,-2.500000000000000000e+00,-2.227905321586840959e+00,1.148588966342958706e+00
2.536231884057973396e-01,-2.500000000000000000e+00,-2.308002544907502784e+00,9.937046716190944817e-01
3.260869565217392463e-01,-2.500000000000000000e+00,-2.378932801610886827e+00,8.348721031591530561e-01
3.985507246376811530e-01,-2.500000000000000000e+00,-2.440538741049197213e+00,6.727654372418525597e-01
4.710144927536235038e-01,-2.500000000000000000e+00,-2.492734822273404038e+00,5.080627502676503537e-01
5.434782608695654105e-01,-2.500000000000000000e+00,-2.535505783890489528e+00,3.414367289787084148e-01
6.159420289855073172e-01,-2.500000000000000000e+00,-2.568903731643122246e+00,1.735459611193019558e-01
6.884057971014492239e-01,-2.500000000000000000e+00,-2.593044016303447830e+00,5.027026532992513383e-03
7.608695652173915747e-01,-2.500000000000000000e+00,-2.608100108754315194e+00,-1.635124398626120745e-01
8.333333333333334814e-01,-2.500000000000000000e+00,-2.614297699822535570e+00,-3.314995944900072655e-01
9.057971014492753881e-01,-2.500000000000000000e+00,-2.611908259709371460e+00,-4.984010752956606893e-01
9.782608695652177389e-01,-2.500000000000000000e+00,-2.601242286903407308e+00,-6.637265202988564816e-01
1.050724637681159646e+00,-2.500000000000000000e+00,-2.582642461174303072e+00,-8.270309437800636987e-01
1.123188405797101552e+00,-2.500000000000000000e+00,-2.556476892007904400e+00,-9.879160366886645672e-01
1.195652173913043459e+00,-2.500000000000000000e+00,-2.523132625208768243e+00,-1.146030486762935396e+00
1.268115942028985810e+00,-2.500000000000000000e+00,-2.483009538854203058e+00,-1.301069434114529022e+00
1.340579710144927716e+00,-2.500000000000000000e+00,-2.436514727566372329e+00,-1.452773190007449866e+00
1.413043478260869623e+00,-2.500000000000000000e+00,-2.384057443025045853e+00,-1.600925351105557670e+00
1.485507246376811530e+00,-2.500000000000000000e+00,-2.326044630176388406e+00,-1.745350439729969505e+00
1.557971014492753881e+00,-2.500000000000000000e+00,-2.262877073652674209e+00,-1.885911193968764499e+00
1.630434782608696231e+00,-2.500000000000000000e+00,-2.194946148033134481e+00,-2.022505621147879129e+00
1.702898550724637694e+00,-2.500000000000000000e+00,-2.122631148917851540e+00,-2.155063915456743917e+00
1.775362318840580045e+00,-2.500000000000000000e+00,-2.046297169241221958e+00,-2.283545326529422326e+00
1.847826086956521507e+00,-2.500000000000000000e+00,-1.966293476500344584e+00,-2.407935051430838858e+00
1.920289855072463858e+00,-2.500000000000000000e+00,-1.882952341165786692e+00,-2.528241208506913473e+00
1.992753623188406209e+00,-2.500000000000000000e+00,-1.796588263958365683e+00,-2.644491938451994262e+00
2.065217391304347672e+00,-2.500000000000000000e+00,-1.707497549378097501e+00,-2.756732666076585847e+00
2.137681159420290022e+00,-2.500000000000000000e+00,-1.615958174342476239e+00,-2.865023545822303674e+00
2.210144927536232373e+00,-2.500000000000000000e+00,-1.522229903557421826e+00,-2.969437105147993528e+00
2.282608695652173836e+00,-2.500000000000000000e+00,-1.426554606892058263e+00,-3.070056092487881916e+00
2.355072463768116187e+00,-2.500000000000000000e+00,-1.329156738210548028e+00,-3.166971530479602670e+00
