z_real,z_imag,target_real,target_imag
-2.500000000000000000e+00,-2.500000000000000000e+00,2.500000000000000888e+00,-2.500000000000000000e+00
-2.427536231884058093e+00,-2.500000000000000000e+00,2.570301605953778878e+00,-2.352972972972974031e+00
-2.355072463768115743e+00,-2.500000000000000000e+00,2.636024798640073108e+00,-2.201758290674383112e+00
-2.282608695652173836e+00,-2.500000000000000000e+00,2.696772747646794866e+00,-2.046391752577318979e+00
-2.210144927536231929e+00,-2.500000000000000000e+00,2.752128121273010652e+00,-1.886937043150202165e+00
-2.137681159420290022e+00,-2.500000000000000000e+00,2.801653953416400888e+00,-1.723489444309632468e+00
-2.065217391304347672e+00,-2.500000000000000000e+00,2.844894968246214351e+00,-1.556179775280898792e+00
-1.992753623188405765e+00,-2.500000000000000000e+00,2.881379436148866713e+00,-1.385178525558694806e+00
-1.920289855072463858e+00,-2.500000000000000000e+00,2.910621637662012873e+00,-1.210700132100397397e+00
-1.847826086956521729e+00,-2.500000000000000000e+00,2.932125013287977033e+00,-1.033007334963325530e+00
-1.775362318840579601e+00,-2.500000000000000000e+00,2.945386075462686382e+00,-8.524155263892763124e-01
-1.702898550724637694e+00,-2.500000000000000000e+00,2.949899153722995937e+00,-6.692969870875167260e-01
-1.630434782608695565e+00,-2.500000000000000000e+00,2.945162034367431403e+00,-4.840848806366054302e-01
-1.557971014492753437e+00,-2.500000000000000000e+00,2.930682540726611052e+00,-2.972768532526490204e-01
-1.485507246376811530e+00,-2.500000000000000000e+00,2.905986078677518236e+00,-1.094380627134428630e-01
-1.413043478260869623e+00,-2.500000000000000000e+00,2.870624143515633886e+00,7.879656160458492486e-02
-1.340579710144927494e+00,-2.500000000000000000e+00,2.824183748256377857e+00,2.667210440456769249e-01
-1.268115942028985366e+00,-2.500000000000000000e+00,2.766297689778566049e+00,4.535583027063136985e-01
-1.195652173913043459e+00,-2.500000000000000000e+00,2.696655518394648343e+00,6.384615384615370814e-01
-1.123188405797101330e+00,-2.500000000000000000e+00,2.615015019578641464e+00,8.205173016427824706e-01
-1.050724637681159424e+00,-2.500000000000000000e+00,2.521213955678355045e+00,9.987504462691896290e-01
-9.782608695652172948e-01,-2.500000000000000000e+00,2.415181753385601482e+00,1.172131147540983909e+00
-9.057971014492753881e-01,-2.500000000000000000e+00,2.296950763385482208e+00,1.339584106943927821e+00
-8.333333333333332593e-01,-2.500000000000000000e+00,2.166666666666666075e+00,1.500000000000000666e+00
-7.608695652173911306e-01,-2.500000000000000000e+00,2.024597562810289908e+00,1.652249134948096332e+00
-6.884057971014492239e-01,-2.500000000000000000e+00,1.871141254831389045e+00,1.795197188598203430e+00
-6.159420289855070951e-01,-2.500000000000000000e+00,1.706830248242214410e+00,1.927722772277228325e+00
-5.434782608695651884e-01,-2.500000000000000000e+00,1.532334013498665382e+00,2.048736462093863508e+00
-4.710144927536230597e-01,-2.500000000000000000e+00,1.348458123879236359e+00,2.157200811359026638e+00
-3.985507246376811530e-01,-2.500000000000000000e+00,1.156139975894888261e+00,2.252150757886112409e+00
-3.260869565217392463e-01,-2.500000000000000000e+00,9.564409245191531905e-01,2.332713754646840609e+00
-2.536231884057968955e-01,-2.500000000000000000e+00,7.505348157522071517e-01,2.398128898128898623e+00
-1.811594202898549888e-01,-2.500000000000000000e+00,5.396930661288659170e-01,2.447764312578352808e+00
-1.086956521739130821e-01,-2.500000000000000000e+00,3.252666119770303843e-01,2.481132075471697895e+00
-3.623188405797073131e-02,-2.500000000000000000e+00,1.086652179999867684e-01,2.497900041999160159e+00
3.623188405797117539e-02,-2.500000000000000000e+00,-1.086652179999877121e-01,2.497900041999160159e+00
1.086956521739130821e-01,-2.500000000000000000e+00,-3.252666119770296627e-01,2.481132075471697895e+00
1.811594202898549888e-01,-2.500000000000000000e+00,-5.396930661288652509e-01,2.447764312578352808e+00
2.536231884057973396e-01,-2.500000000000000000e+00,-7.505348157522079289e-01,2.398128898128897735e+00
3.260869565217392463e-01,-2.500000000000000000e+00,-9.564409245191540787e-01,2.332713754646839721e+00
3.985507246376811530e-01,-2.500000000000000000e+00,-1.156139975894887373e+00,2.252150757886112853e+00
4.710144927536235038e-01,-2.500000000000000000e+00,-1.348458123879237025e+00,2.157200811359025749e+00
5.434782608695654105e-01,-2.500000000000000000e+00,-1.532334013498666048e+00,2.048736462093863064e+00
6.159420289855073172e-01,-2.500000000000000000e+00,-1.706830248242215298e+00,1.927722772277227659e+00
6.884057971014492239e-01,-2.500000000000000000e+00,-1.871141254831388823e+00,1.795197188598203875e+00
7.608695652173915747e-01,-2.500000000000000000e+00,-2.024597562810289908e+00,1.652249134948095444e+00
8.333333333333334814e-01,-2.500000000000000000e+00,-2.166666666666666075e+00,1.500000000000000000e+00
9.057971014492753881e-01,-2.500000000000000000e+00,-2.296950763385481320e+00,1.339584106943928710e+00
9.782608695652177389e-01,-2.500000000000000000e+00,-2.415181753385602370e+00,1.172131147540983021e+00
1.050724637681159646e+00,-2.500000000000000000e+00,-2.521213955678355934e+00,9.987504462691889628e-01
1.123188405797101552e+00,-2.500000000000000000e+00,-2.615015019578641464e+00,8.205173016427813604e-01
1.195652173913043459e+00,-2.500000000000000000e+00,-2.696655518394647899e+00,6.384615384615380806e-01
1.268115942028985810e+00,-2.500000000000000000e+00,-2.766297689778565605e+00,4.535583027063146422e-01
1.340579710144927716e+00,-2.500000000000000000e+00,-2.824183748256377857e+00,2.667210440456758702e-01
1.413043478260869623e+00,-2.500000000000000000e+00,-2.870624143515633886e+00,7.879656160458373138e-02
1.485507246376811530e+00,-2.500000000000000000e+00,-2.905986078677517792e+00,-1.094380627134419609e-01
1.557971014492753881e+00,-2.500000000000000000e+00,-2.930682540726611052e+00,-2.972768532526479102e-01
1.630434782608696231e+00,-2.500000000000000000e+00,-2.945162034367431403e+00,-4.840848806366065959e-01
1.702898550724637694e+00,-2.500000000000000000e+00,-2.949899153722995049e+00,-6.692969870875186134e-01
1.775362318840580045e+00,-2.500000000000000000e+00,-2.945386075462687270e+00,-8.524155263892775336e-01
1.847826086956521507e+00,-2.500000000000000000e+00,-2.932125013287977477e+00,-1.033007334963324197e+00
1.920289855072463858e+00,-2.500000000000000000e+00,-2.910621637662013761e+00,-1.210700132100395399e+00
1.992753623188406209e+00,-2.500000000000000000e+00,-2.881379436148866269e+00,-1.385178525558696139e+00
2.065217391304347672e+00,-2.500000000000000000e+00,-2.844894968246214351e+00,-1.556179775280898792e+00
2.137681159420290022e+00,-2.500000000000000000e+00,-2.801653953416400000e+00,-1.723489444309633578e+00
2.210144927536232373e+00,-2.500000000000000000e+00,-2.752128121273010652e+00,-1.886937043150201054e+00
2.282608695652173836e+00,-2.500000000000000000e+00,-2.696772747646794866e+00,-2.046391752577318979e+00
2.355072463768116187e+00,-2.500000000000000000e+00,-2.636024798640073996e+00,-2.201758290674382224e+00
2.427536231884058537e+00,-2.500000000000000000e+00,-2.570301605953778434e+00,-2.352972972972973587e+00
2.500000000000000000e+00,-2.500000000000000000e+00,-2.500000000000000000e+00,-2.500000000000000444e+00
-2.500000000000000000e+00,-2.427536231884058093e+00,2.352972972972972254e+00,-2.570301605953780211e+00
-2.427536231884058093e+00,-2.427536231884058093e+00,2.427536231884058093e+00,-2.427536231884057205e+00
-2.355072463768115743e+00,-2.427536231884058093e+00,2.497771369077912862e+00,-2.280446591026266567e+00
-2.282608695652173836e+00,-2.427536231884058093e+00,2.563279426732602673e+00,-2.129045136925507009e+00
-2.210144927536231929e+00,-2.427536231884058093e+00,2.623638546134970717e+00,-1.973371109816591584e+00
-2.137681159420290022e+00,-2.427536231884058093e+00,2.678404524212171456e+00,-1.813494444747515200e+00
-2.065217391304347672e+00,-2.427536231884058093e+00,2.727111825322799721e+00,-1.649519967336052773e+00
-1.992753623188405765e+00,-2.427536231884058093e+00,2.769275130866826640e+00,-1.481591849803070682e+00
-1.920289855072463858e+00,-2.427536231884058093e+00,2.804391514848220357e+00,-1.309898284620365727e+00
-1.847826086956521729e+00,-2.427536231884058093e+00,2.831943337217145640e+00,-1.134676314875003200e+00
-1.775362318840579601e+00,-2.427536231884058093e+00,2.851401947792431724e+00,-9.562167392356081264e-01
-1.702898550724637694e+00,-2.427536231884058093e+00,2.862232290841740134e+00,-7.748689853341447220e-01
-1.630434782608695565e+00,-2.427536231884058093e+00,2.863898492878215851e+00,-5.910458188161050730e-01
-1.557971014492753437e+00,-2.427536231884058093e+00,2.855870502741687300e+00,-4.052277269380442082e-01
-1.485507246376811530e+00,-2.427536231884058093e+00,2.837631832382026431e+00,-2.179667864609035888e-01
-1.413043478260869623e+00,-2.427536231884058093e+00,2.808688417854301012e+00,-2.988979719790513245e-02
-1.340579710144927494e+00,-2.427536231884058093e+00,2.768578581996131049e+00,1.582995630897410244e-01
-1.268115942028985366e+00,-2.427536231884058093e+00,2.716884032607427280e+00,3.458198272232460013e-01
-1.195652173913043459e+00,-2.427536231884058093e+00,2.653241772803093479e+00,5.318123476805880490e-01
-1.123188405797101330e+00,-2.427536231884058093e+00,2.577356734476798916e+00,7.153437042946405588e-01
-1.050724637681159424e+00,-2.427536231884058093e+00,2.489014873426325991e+00,8.954101748375343783e-01
-9.782608695652172948e-01,-2.427536231884058093e+00,2.388096388754644916e+00,1.070944500919337239e+00
-9.057971014492753881e-01,-2.427536231884058093e+00,2.274588654049979564e+00,1.240825129085828094e+00
-8.333333333333332593e-01,-2.427536231884058093e+00,2.148598379168327188e+00,1.403888032070055747e+00
-7.608695652173911306e-01,-2.427536231884058093e+00,2.010362465825910050e+00,1.558941117676456933e+00
-6.884057971014492239e-01,-2.427536231884058093e+00,1.860256984909606892e+00,1.704781114597341274e+00
-6.159420289855070951e-01,-2.427536231884058093e+00,1.698803695682506776e+00,1.840212689804114232e+00
-5.434782608695651884e-01,-2.427536231884058093e+00,1.526673553337883904e+00,1.964069407807763179e+00
-4.710144927536230597e-01,-2.427536231884058093e+00,1.344686716324104747e+00,2.075235997286887457e+00
-3.985507246376811530e-01,-2.427536231884058093e+00,1.153808670502058709e+00,2.172671256562608288e+00
-3.260869565217392463e-01,-2.427536231884058093e+00,9.551422319474834888e-01,2.255430818507595525e+00
-2.536231884057968955e-01,-2.427536231884058093e+00,7.499153684506352224e-01,2.322688919973685540e+00
-1.811594202898549888e-01,-2.427536231884058093e+00,5.394649817315532170e-01,2.373758291434699075e+00
-1.086956521739130821e-01,-2.427536231884058093e+00,3.252170046590754371e-01,2.408107306951237092e+00
-3.623188405797073131e-02,-2.427536231884058093e+00,1.086633743261990054e-01,2.425373616087278972e+00
3.623188405797117539e-02,-2.427536231884058093e+00,-1.086633743261998936e-01,2.425373616087278972e+00
1.086956521739130821e-01,-2.427536231884058093e+00,-3.252170046590762698e-01,2.408107306951237092e+00
1.811594202898549888e-01,-2.427536231884058093e+00,-5.394649817315525508e-01,2.373758291434699075e+00
2.536231884057973396e-01,-2.427536231884058093e+00,-7.499153684506361106e-01,2.322688919973685095e+00
3.260869565217392463e-01,-2.427536231884058093e+00,-9.551422319474843770e-01,2.255430818507595081e+00
3.985507246376811530e-01,-2.427536231884058093e+00,-1.153808670502059375e+00,2.172671256562607844e+00
4.710144927536235038e-01,-2.427536231884058093e+00,-1.344686716324105635e+00,2.075235997286887013e+00
5.434782608695654105e-01,-2.427536231884058093e+00,-1.526673553337883460e+00,1.964069407807763401e+00
6.159420289855073172e-01,-2.427536231884058093e+00,-1.698803695682506332e+00,1.840212689804115342e+00
6.884057971014492239e-01,-2.427536231884058093e+00,-1.860256984909607336e+00,1.704781114597340608e+00
7.608695652173915747e-01,-2.427536231884058093e+00,-2.010362465825910938e+00,1.558941117676456267e+00
8.333333333333334814e-01,-2.427536231884058093e+00,-2.148598379168327188e+00,1.403888032070054859e+00
9.057971014492753881e-01,-2.427536231884058093e+00,-2.274588654049978675e+00,1.240825129085828538e+00
9.782608695652177389e-01,-2.427536231884058093e+00,-2.388096388754644916e+00,1.070944500919336129e+00
1.050724637681159646e+00,-2.427536231884058093e+00,-2.489014873426326879e+00,8.954101748375334902e-01
1.123188405797101552e+00,-2.427536231884058093e+00,-2.577356734476798472e+00,7.153437042946413360e-01
1.195652173913043459e+00,-2.427536231884058093e+00,-2.653241772803093479e+00,5.318123476805892702e-01
1.268115942028985810e+00,-2.427536231884058093e+00,-2.716884032607427280e+00,3.458198272232452797e-01
1.340579710144927716e+00,-2.427536231884058093e+00,-2.768578581996131494e+00,1.582995630897417183e-01
1.413043478260869623e+00,-2.427536231884058093e+00,-2.808688417854301012e+00,-2.988979719790598247e-02
1.485507246376811530e+00,-2.427536231884058093e+00,-2.837631832382026875e+00,-2.179667864609027006e-01
1.557971014492753881e+00,-2.427536231884058093e+00,-2.855870502741687744e+00,-4.052277269380452074e-01
