z_real,z_imag,target_real,target_imag
-2.500000000000000000e+00,-2.500000000000000000e+00,1.098423340585185370e-01,-1.098423340585184954e-01
-2.427536231884058093e+00,-2.500000000000000000e+00,1.234758373734492765e-01,-1.130354925982009623e-01
-2.355072463768115743e+00,-2.500000000000000000e+00,1.380941537212248549e-01,-1.153441151260143904e-01
-2.282608695652173836e+00,-2.500000000000000000e+00,1.536589358500403957e-01,-1.166009925410719378e-01
-2.210144927536231929e+00,-2.500000000000000000e+00,1.701098837918871010e-01,-1.166321577297840112e-01
-2.137681159420290022e+00,-2.500000000000000000e+00,1.873624609399804353e-01,-1.152594963757602731e-01
-2.065217391304347672e+00,-2.500000000000000000e+00,2.053058276263076964e-01,-1.123038918010823423e-01
-1.992753623188405765e+00,-2.500000000000000000e+00,2.238010927698659003e-01,-1.075889082195043145e-01
-1.920289855072463858e+00,-2.500000000000000000e+00,2.426799935917491324e-01,-1.009449996859304588e-01
-1.847826086956521729e+00,-2.500000000000000000e+00,2.617441206335365256e-01,-9.221421162898185697e-02
-1.775362318840579601e+00,-2.500000000000000000e+00,2.807648094810494266e-01,-8.125531822777355695e-02
-1.702898550724637694e+00,-2.500000000000000000e+00,2.994838206983882478e-01,-6.794931230849513004e-02
-1.630434782608695565e+00,-2.500000000000000000e+00,3.176149244612930245e-01,-5.220513540582592121e-02
-1.557971014492753437e+00,-2.500000000000000000e+00,3.348464951702445069e-01,-3.396550497148316528e-02
-1.485507246376811530e+00,-2.500000000000000000e+00,3.508452029015825535e-01,-1.321266457522999802e-02
-1.413043478260869623e+00,-2.500000000000000000e+00,3.652608620477059698e-01,1.002614713009331721e-02
-1.340579710144927494e+00,-2.500000000000000000e+00,3.777324623032158324e-01,3.567373998864611928e-02
-1.268115942028985366e+00,-2.500000000000000000e+00,3.878953630825364707e-01,6.359878156188153442e-02
-1.195652173913043459e+00,-2.500000000000000000e+00,3.953895798843897191e-01,9.361263896803899420e-02
-1.123188405797101330e+00,-2.500000000000000000e+00,3.998690311537328457e-01,1.254675235118310750e-01
-1.050724637681159424e+00,-2.500000000000000000e+00,4.010115488023884844e-01,1.588561979928131696e-01
-9.782608695652172948e-01,-2.500000000000000000e+00,3.985293876670416013e-01,1.934134803064631314e-01
-9.057971014492753881e-01,-2.500000000000000000e+00,3.921799027224596723e-01,2.287197327536512059e-01
-8.333333333333332593e-01,-2.500000000000000000e+00,3.817760026437371224e-01,2.643064633687413068e-01
