z_real,z_imag,target_real,target_imag
3.798019062025207448e-01,8.244128434601710742e-02,-3.605430200695991516e-02,9.270933270454406738e-02
-3.610746632895567299e-01,-6.510523015521058054e-01,1.293865740299224854e-01,-8.937002718448638916e-02
7.377340067229143372e-01,-3.801034173314389863e-01,-6.552515923976898193e-02,2.909234911203384399e-02
-7.344147329419091486e-02,1.451993776590287666e-01,1.296038627624511719e-01,-3.859973251819610596e-01
3.310484590501336366e-01,-5.665236271002926927e-01,-1.400238573551177979e-01,-3.966289386153221130e-02
-2.421067164768297313e-05,-1.912801983105363662e-04,1.082594752311706543e+00,-5.412869453430175781e-01
3.553441842648406013e-01,-5.543342419791449371e-01,-1.217599362134933472e-01,3.035075962543487549e-02
-2.923364829651534658e-01,-6.623235398559120801e-01,1.164426654577255249e-01,-2.218350023031234741e-02
4.668822461118096179e-01,-6.481367869273586824e-02,-3.930538520216941833e-02,2.973535284399986267e-02
5.343058776070477300e-01,-1.959051737171033092e-02,7.115615904331207275e-02,-4.939405620098114014e-02
7.448230999181709722e-01,-3.878911368995640041e-01,-2.338142320513725281e-02,6.120187789201736450e-02
-5.560389055238890155e-02,1.474052030604250663e-01,1.642899811267852783e-01,-3.095835447311401367e-01
2.926395756087868394e-01,-5.792001187536882645e-01,-3.446827828884124756e-02,1.041174829006195068e-01
2.549069602636498399e-01,-3.828222892074200079e-01,-2.720569446682929993e-02,1.338649308308959007e-03
-3.402953585186234697e-01,9.699311909301690238e-02,6.689057499170303345e-02,-7.932306081056594849e-02
-5.364222543967640533e-01,1.363111699918093285e-02,-2.568867616355419159e-02,7.327431812882423401e-03
-4.287560506732622234e-01,-6.355032209944407873e-01,3.392489254474639893e-02,-1.242932751774787903e-01
7.551832617057150365e-01,-4.095454844593294230e-01,-3.927880898118019104e-02,1.056090146303176880e-01
2.938289677048125936e-01,-5.788769315701457474e-01,-3.927811980247497559e-02,5.976302921772003174e-02
6.706073898931887989e-01,-4.896086745878520108e-01,1.500564906746149063e-02,1.352387070655822754e-01
-7.743848039827441743e-02,1.445854398486489667e-01,6.666126847267150879e-02,-3.669235706329345703e-01
-6.034169775507648020e-02,1.468967460795233271e-01,7.679797708988189697e-02,-2.899511456489562988e-01
-2.339164862115007971e-05,-1.912390584564376645e-04,1.082432985305786133e+00,-5.412259101867675781e-01
6.840264492204585212e-01,-4.837792733682115265e-01,4.190664738416671753e-02,6.733383983373641968e-02
-9.044685756614588568e-02,1.422045314652644055e-01,1.539823859930038452e-01,-2.807527184486389160e-01
-1.714937769812860044e-02,1.498496046081066457e-01,1.760248243808746338e-01,-1.549761146306991577e-01
2.451137094812810002e-01,-4.359992640280091480e-01,6.038324907422065735e-02,2.433081716299057007e-02
6.716173886043753649e-01,-4.891897282388151802e-01,6.737220566719770432e-03,3.595363348722457886e-02
-5.385936430904915140e-01,-5.576628032828396808e-01,-1.257370859384536743e-01,-1.952663436532020569e-02
1.133952007065509039e-06,-1.436384491936823107e-05,9.215486645698547363e-01,-7.858354449272155762e-01
-3.821452202392326480e-05,-1.922239165831003183e-04,1.017761349678039551e+00,-6.553524732589721680e-01
5.709642044443846433e-05,-1.943155382340512399e-04,1.163405656814575195e+00,-3.344497680664062500e-01
-3.765910902198690846e-01,-6.479355391798633512e-01,1.520729660987854004e-01,-1.305136680603027344e-01
-7.489444652455131690e-01,-7.402071081111609441e-02,2.028966322541236877e-02,-7.941465079784393311e-02
6.753606168643485619e-01,-4.876231293781939091e-01,-1.371584832668304443e-03,-6.274645030498504639e-02
6.307228912024772649e-01,-5.041823947076004009e-01,-1.491517294198274612e-02,6.845466047525405884e-02
-4.213248231279741879e-02,1.485838966745546275e-01,3.157085925340652466e-02,-2.533697485923767090e-01
6.770029354661485075e-05,-1.960163691251811877e-04,1.147132158279418945e+00,-3.864652216434478760e-01
2.682663871831328373e-01,-3.906512521985072151e-01,-2.627796679735183716e-02,5.228282511234283447e-02
-5.360185650132138768e-01,-5.516075865699582303e-01,-1.556206643581390381e-01,-9.016377851366996765e-03
-3.760060228055627785e-01,-6.482431592969947198e-01,6.988771259784698486e-02,-9.615786373615264893e-02
-3.498908114262823110e-01,9.526647714524696942e-02,7.069720327854156494e-02,-7.144964765757322311e-03
-5.108985915411125012e-01,-6.025000478795521364e-01,-5.581995099782943726e-02,-1.126054599881172180e-01
-5.238666400837491688e-01,-5.930249141306099814e-01,-7.202856987714767456e-02,-8.385489881038665771e-02
