KIDS_TILE,KIDS_ID,RAJ2000,DECJ2000,MAG_AUTO,paper
KIDS_214.6_2.5,KiDSDR4 J141728.099+015935.16,214.367082,1.9931,19.0462,P+19
KIDS_140.0_-0.5,KiDSDR4 J092124.677-005826.94,140.352825,-0.974151,18.4439,P+19
KIDS_350.8_-30.2,KiDSDR4 J232229.475-303836.11,350.622815,-30.643365,18.1664,P+19
KIDS_207.0_-1.5,KiDSDR4 J134843.009-015644.59,207.179206,-1.945721,18.8398,P+19
KIDS_205.0_-1.5,KiDSDR4 J134147.322-015631.92,205.447176,-1.942201,18.1087,P+19
KIDS_331.8_-28.2,KiDSDR4 J220828.556-283708.05,332.118984,-28.618904,18.8319,P+19
KIDS_131.0_-0.5,KiDSDR4 J084520.156-005456.26,131.333984,-0.915629,18.71,P+19
KIDS_221.6_-3.5,KiDSDR4 J144642.880-035102.14,221.678668,-3.850596,19.3181,P+19
KIDS_169.5_-2.5,KiDSDR4 J111555.997-025204.81,168.983322,-2.868003,17.7713,P+19
KIDS_46.7_-29.2,KiDSDR4 J030540.105-293416.08,46.417108,-29.571136,18.5989,P+19
KIDS_47.1_-27.2,KiDSDR4 J030639.688-273626.93,46.66537,-27.607481,18.6558,P+19
KIDS_141.0_-1.5,KiDSDR4 J092434.390-015417.21,141.143293,-1.904782,18.4054,P+19
KIDS_23.0_-30.2,KiDSDR4 J013403.712-303226.82,23.515468,-30.540786,19.2048,P+19
KIDS_199.6_2.5,KiDSDR4 J131959.364+020704.85,199.997353,2.118014,17.4773,P+19
KIDS_10.6_-32.1,KiDSDR4 J004204.610-323222.56,10.519212,-32.539602,19.1097,P+19
KIDS_173.0_-1.5,KiDSDR4 J113136.132-014838.23,172.900553,-1.810622,18.1156,P+19
KIDS_185.5_2.5,KiDSDR4 J122241.320+020559.12,185.672168,2.099758,16.807,P+19
KIDS_356.4_-33.1,KiDSDR4 J234719.642-333022.28,356.831844,-33.50619,18.5899,P+19
KIDS_205.0_-1.5,KiDSDR4 J134058.433-015115.59,205.243471,-1.854331,19.7026,P+19
KIDS_16.8_-34.1,KiDSDR4 J010642.065-342401.02,16.675274,-34.400284,18.3333,P+19
KIDS_23.0_-30.2,KiDSDR4 J013030.946-302728.89,22.628945,-30.458027,18.328,P+19
KIDS_231.0_-0.5,KiDSDR4 J152231.646-004502.98,230.631859,-0.750829,19.1682,P+19
KIDS_50.4_-34.1,KiDSDR4 J032219.773-342456.27,50.582391,-34.415633,18.4054,P+19
KIDS_238.0_-1.5,KiDSDR4 J155200.107-014707.36,238.000448,-1.785379,16.7806,P+19
KIDS_177.0_-1.5,KiDSDR4 J114621.135-014052.32,176.588066,-1.681202,19.3181,P+19
KIDS_349.7_-29.2,KiDSDR4 J231645.663-292343.20,349.190266,-29.395334,19.6604,P+19
KIDS_181.5_-2.5,KiDSDR4 J120447.209-024312.34,181.196706,-2.720097,13.6892,P+19
KIDS_176.0_0.5,KiDSDR4 J114444.815+001346.70,176.18673,0.22964,19.2629,P+19
KIDS_357.6_-34.1,KiDSDR4 J235057.617-342455.91,357.740074,-34.415532,18.4505,P+19
KIDS_34.5_-33.1,KiDSDR4 J021624.972-332404.57,34.104054,-33.401271,18.8456,P+19
KIDS_186.0_-0.5,KiDSDR4 J122450.300-004215.16,186.209584,-0.704212,18.263,P+19
KIDS_186.0_-0.5,KiDSDR4 J122438.634-004153.02,186.160979,-0.698063,18.6198,P+19
KIDS_222.0_-0.5,KiDSDR4 J144603.494-004016.70,221.514559,-0.671306,17.5476,P+19
KIDS_345.4_-35.1,KiDSDR4 J230024.524-351232.44,345.102185,-35.209013,18.7562,P+19
KIDS_345.4_-35.1,KiDSDR4 J230024.723-351233.67,345.103013,-35.209355,19.6068,P+19
KIDS_21.4_-33.1,KiDSDR4 J012716.580-332153.33,21.819084,-33.364816,15.7278,P+19
KIDS_204.0_1.5,KiDSDR4 J133708.008+011303.68,204.283368,1.217691,17.5367,P+19
KIDS_204.0_0.5,KiDSDR4 J133459.471+001617.50,203.747796,0.271528,19.1348,P+19
KIDS_226.0_-1.5,KiDSDR4 J150426.640-014235.94,226.111002,-1.709985,17.7649,P+19
KIDS_176.0_-1.5,KiDSDR4 J114329.639-014429.98,175.8735,-1.741662,15.539,P+19
KIDS_221.0_0.5,KiDSDR4 J144232.511+001730.68,220.635466,0.291857,17.4136,P+19
KIDS_215.6_-2.5,KiDSDR4 J142235.405-023857.36,215.647521,-2.649267,18.7883,P+19
KIDS_30.9_-33.1,KiDSDR4 J020505.970-331746.64,31.274878,-33.29629,18.7981,P+19
KIDS_185.5_-2.5,KiDSDR4 J122235.315-022516.20,185.647146,-2.421167,18.4527,P+19
KIDS_234.0_1.5,KiDSDR4 J153712.361+012816.98,234.301507,1.471384,17.1675,P+19
KIDS_156.0_-0.5,KiDSDR4 J102208.684-002517.49,155.536184,-0.421526,18.2727,P+19
KIDS_216.0_-0.5,KiDSDR4 J142249.668-003311.70,215.706951,-0.553251,19.2668,P+19
KIDS_184.0_-0.5,KiDSDR4 J121424.132-003205.53,183.600552,-0.534872,19.0737,P+19
KIDS_49.4_-32.1,KiDSDR4 J031522.702-320228.59,48.844595,-32.041277,18.8325,P+19
KIDS_133.0_1.5,KiDSDR4 J085156.915+013018.16,132.987147,1.505047,21.2512,P+19
KIDS_333.9_-33.1,KiDSDR4 J221339.008-331156.34,333.412536,-33.198985,16.9414,P+19
KIDS_179.5_-2.5,KiDSDR4 J115855.204-023108.19,179.730017,-2.518944,17.4387,P+19
KIDS_352.8_-34.1,KiDSDR4 J233105.551-335829.71,352.773132,-33.97492,17.2093,P+19
KIDS_35.3_-32.1,KiDSDR4 J022237.850-320929.40,35.65771,-32.158167,17.7463,P+19
KIDS_35.0_-31.2,KiDSDR4 J021751.652-310251.90,34.46522,-31.047752,17.7945,P+19
KIDS_38.0_-33.1,KiDSDR4 J023106.713-325844.34,37.777972,-32.978984,19.8769,P+19
KIDS_215.0_-0.5,KiDSDR4 J141918.509-002513.17,214.827121,-0.420325,18.6101,P+19
KIDS_131.0_1.5,KiDSDR4 J084211.147+013835.75,130.546449,1.643264,18.6501,P+19
KIDS_331.5_-33.1,KiDSDR4 J220622.345-330245.17,331.593108,-33.045882,19.5329,P+19
KIDS_46.7_-29.2,KiDSDR4 J030846.015-290325.54,47.191732,-29.057096,18.5729,P+19
KIDS_232.0_0.5,KiDSDR4 J152800.833+004032.36,232.003472,0.675657,18.8864,P+19
KIDS_134.0_-1.5,KiDSDR4 J085446.547-012137.03,133.693949,-1.360288,17.7796,P+19
KIDS_357.6_-33.1,KiDSDR4 J235104.583-325322.01,357.769097,-32.889448,17.6395,P+19
KIDS_348.6_-29.2,KiDSDR4 J231318.634-290326.05,348.327643,-29.057237,17.3575,P+19
KIDS_178.0_0.5,KiDSDR4 J115252.263+004733.11,178.217764,0.792533,19.5252,P+19
KIDS_175.0_-0.5,KiDSDR4 J113913.181-000009.43,174.804925,-0.002621,18.8849,P+19
KIDS_199.0_1.5,KiDSDR4 J131529.230+013223.65,198.871792,1.539903,19.3517,P+19
KIDS_180.0_-0.5,KiDSDR4 J120139.878-001226.26,180.416162,-0.207296,17.6801,P+19
KIDS_343.0_-35.1,KiDSDR4 J225400.131-344651.58,343.500547,-34.780997,18.9495,P+19
KIDS_159.4_-2.5,KiDSDR4 J103907.380-021630.07,159.780754,-2.275022,16.9663,P+19
KIDS_335.7_-35.1,KiDSDR4 J222129.164-345640.34,335.371517,-34.94454,18.5049,P+19
KIDS_189.0_-0.5,KiDSDR4 J123421.817-000925.99,188.590905,-0.15722,19.1807,P+19
KIDS_179.0_0.5,KiDSDR4 J115520.776+005304.50,178.836567,0.884585,18.2815,P+19
KIDS_10.5_-31.2,KiDSDR4 J004346.104-304929.18,10.942101,-30.824774,18.7469,P+19
KIDS_20.5_-29.2,KiDSDR4 J012147.296-284509.87,20.447068,-28.752742,19.3344,P+19
KIDS_217.0_0.5,KiDSDR4 J142706.615+004314.90,216.777563,0.720806,17.8898,P+19
KIDS_171.0_-0.5,KiDSDR4 J112253.191-000210.88,170.72163,-0.036357,20.4484,P+19
KIDS_37.3_-31.2,KiDSDR4 J022933.652-305017.23,37.390219,-30.83812,19.6052,P+19
KIDS_200.0_1.5,KiDSDR4 J132056.632+013950.67,200.235969,1.664077,18.3116,P+19
KIDS_129.0_1.5,KiDSDR4 J083726.163+015639.25,129.359015,1.944238,18.8762,P+19
KIDS_183.0_1.5,KiDSDR4 J121215.544+015448.72,183.064767,1.913534,18.7571,P+19
KIDS_183.0_1.5,KiDSDR4 J121217.625+015308.19,183.07344,1.885609,18.4043,P+19
KIDS_334.0_-28.2,KiDSDR4 J221600.964-274544.29,334.004017,-27.762303,19.0331,P+19
KIDS_331.5_-33.1,KiDSDR4 J220636.133-324257.81,331.650557,-32.716061,18.4968,P+19
KIDS_205.0_-1.5,KiDSDR4 J133844.788-010904.82,204.686617,-1.151341,18.8911,P+19
KIDS_21.6_-29.2,KiDSDR4 J012647.465-284815.00,21.697774,-28.804168,17.9753,P+19
KIDS_31.2_-34.1,KiDSDR4 J020628.689-334748.67,31.619539,-33.796853,18.6539,P+19
KIDS_39.6_-34.1,KIDS J024000.80-341812.44,40.00337,-34.30345,17.6939,P+19
KIDS_353.9_-35.1,KiDSDR4 J233620.260-352554.42,354.084418,-35.431786,21.8644,Li+20
KIDS_183.0_0.5,KiDSDR4 J121234.927+000754.48,183.145531,0.1318,16.7311,Li+20
KIDS_5.6_-28.2,KiDSDR4 J002105.099-283818.44,5.271248,-28.638458,18.8805,Li+20
KIDS_34.2_-29.2,KiDSDR4 J021609.168-293550.74,34.0382,-29.597429,20.2791,Li+20
KIDS_346.0_-31.2,KiDSDR4 J230527.508-313700.76,346.364619,-31.61688,18.5917,Li+20
KIDS_235.0_1.5,KiDSDR4 J154051.806+010640.91,235.21586,1.111366,17.3068,Li+20
KIDS_358.9_-28.2,KiDSDR4 J235510.007-283212.34,358.791698,-28.536762,16.2408,Li+20
KIDS_354.1_-32.1,KiDSDR4 J233533.673-322722.06,353.890307,-32.456128,19.5862,Li+20
KIDS_195.0_-0.5,KiDSDR4 J125814.219-005013.87,194.55925,-0.837188,19.6804,Li+20
KIDS_161.0_0.5,KiDSDR4 J104223.370+001519.82,160.597376,0.255506,22.6051,Li+20
KIDS_2.4_-34.1,KiDSDR4 J000820.374-342718.99,2.084894,-34.455275,19.1614,Li+20
KIDS_348.1_-33.1,KiDSDR4 J231242.301-332318.44,348.176257,-33.388457,19.8282,Li+20
KIDS_8.2_-31.2,KiDSDR4 J003151.142-312638.83,7.963094,-31.44412,19.7441,Li+20
KIDS_168.0_0.5,KiDSDR4 J111253.976+001044.65,168.224904,0.179072,18.2554,Li+20
KIDS_33.6_-34.1,KiDSDR4 J021555.605-342425.72,33.98169,-34.407147,19.2952,Li+20
KIDS_337.4_-28.2,KiDSDR4 J223123.786-282504.50,337.849109,-28.417917,18.5096,Li+20
KIDS_1.2_-35.1,KiDSDR4 J000517.478-352342.48,1.322827,-35.395134,19.4104,Li+20
KIDS_16.3_-31.2,KiDSDR4 J010704.918-312841.03,16.770493,-31.478064,20.2486,Li+20
KIDS_11.9_-33.1,KiDSDR4 J004558.739-331451.79,11.494746,-33.24772,19.177,Li+20
KIDS_48.0_-34.1,KiDSDR4 J031142.084-341928.80,47.925354,-34.324669,18.7226,Li+20
KIDS_11.4_-29.2,KiDSDR4 J004439.128-291957.30,11.163036,-29.332586,17.5186,Li+20
KIDS_349.8_-28.2,KiDSDR4 J232039.461-281711.12,350.164421,-28.286423,18.6264,Li+20
KIDS_172.0_-1.5,KiDSDR4 J112900.041-014214.01,172.250173,-1.703894,19.8947,Li+20
KIDS_195.0_-0.5,KiDSDR4 J125834.900-004241.11,194.645418,-0.711421,16.7797,Li+20
KIDS_358.8_-35.1,KiDSDR4 J235728.351-352013.03,359.368133,-35.336955,17.2675,Li+20
KIDS_130.0_-1.5,KiDSDR4 J083933.372-014044.81,129.889052,-1.679115,17.1726,Li+20
KIDS_44.9_-27.2,KiDSDR4 J025717.233-271712.02,44.321807,-27.286673,19.3549,Li+20
KIDS_31.2_-34.1,KiDSDR4 J020554.272-342019.30,31.476136,-34.338695,18.1108,Li+20
KIDS_46.7_-29.2,KiDSDR4 J030628.054-291718.77,46.616892,-29.288548,18.6135,Li+20
KIDS_357.7_-29.2,KiDSDR4 J235255.478-291728.16,358.23116,-29.291158,18.7058,Li+20
KIDS_223.0_-0.5,KiDSDR4 J145325.778-003331.75,223.357411,-0.558822,19.2185,Li+20
KIDS_340.5_-35.1,KiDSDR4 J224258.953-351223.13,340.74564,-35.206425,17.9238,Li+20
KIDS_18.2_-29.2,KiDSDR4 J011045.486-290822.53,17.689526,-29.139593,18.1723,Li+20
KIDS_333.8_-29.2,KiDSDR4 J221400.330-292031.21,333.501378,-29.342005,20.305,Li+20
KIDS_15.9_-29.2,KiDSDR4 J010257.486-291121.76,15.739527,-29.189379,17.3922,Li+20
KIDS_208.0_0.5,KiDSDR4 J135138.926+002839.99,207.912195,0.477777,19.3643,Li+20
KIDS_37.3_-31.2,KiDSDR4 J022956.259-311022.65,37.484416,-31.172959,20.7763,Li+20
KIDS_0.0_-29.2,KiDSDR4 J235920.307-290744.83,359.834614,-29.129122,18.793,Li+20
KIDS_205.0_-0.5,KiDSDR4 J134032.074-003737.83,205.133643,-0.627175,18.0478,Li+20
KIDS_5.8_-30.2,KiDSDR4 J002141.664-301029.70,5.423603,-30.174917,19.8816,Li+20
KIDS_29.7_-33.1,KiDSDR4 J015928.393-330950.36,29.868305,-33.16399,19.3458,Li+20
KIDS_185.5_-2.5,KiDSDR4 J122335.140-021030.63,185.896418,-2.175176,18.3244,Li+20
