z_real,z_imag,target_real,target_imag
-9.007404097040668800e-01,-8.990547894764432391e-01,-5.789842537694774721e-02,-7.467118345123975598e-02
-7.004210895434404005e-01,-9.002312271203734007e-01,-5.110224389097689501e-02,-6.993270490098675574e-02
-5.003588270309807795e-01,-8.992808680341045635e-01,-1.854948893534730248e-02,-6.533734505595492625e-02
-2.990638088613168377e-01,-9.006456113068386227e-01,3.626221985889058110e-03,-6.593478985468319287e-02
-9.657071624179633385e-02,-8.989233934105975710e-01,1.231624835849189428e-02,-5.264284449254183484e-02
9.937373764016996236e-02,-8.996474050945670875e-01,3.919770163705924709e-02,-4.881711263163298481e-02
3.005335691085129213e-01,-9.025687919274546500e-01,5.452577867817142571e-02,-4.536844588076838214e-02
4.993078723532961560e-01,-9.009466637913837728e-01,7.476367543689807493e-02,-3.695566345486750448e-02
6.993843307035825241e-01,-9.008915983279145445e-01,1.029391992510487186e-01,-3.262458617156561297e-02
8.993525852504447027e-01,-8.994531535648183640e-01,1.105345947393983341e-01,-2.628961749432682724e-02
-9.026949760913383081e-01,-7.006441869504307363e-01,-6.883107649426857544e-02,-6.905186143167227342e-02
-6.997604253550183673e-01,-7.008034021245627132e-01,-4.026706173860972182e-02,-6.180435874676633995e-02
-5.001519919318024865e-01,-6.983135090996083205e-01,-3.666625889763200363e-02,-5.874183211349117556e-02
-2.994569807210522572e-01,-7.003128409947426691e-01,-6.724140407960557675e-03,-4.765928262414945854e-02
-9.929890977609133473e-02,-7.025754831183191884e-01,2.987717203490347813e-03,-5.288299775259223262e-02
1.005762749771948045e-01,-7.023576497817713982e-01,3.824166910651300572e-02,-3.962971947370261261e-02
3.012906567332098717e-01,-7.010220484469597002e-01,5.600507150439895665e-02,-2.897003868013988195e-02
4.993288485137827859e-01,-6.998234538936218829e-01,6.729294326606523324e-02,-3.208710439660478891e-02
7.021868071336218042e-01,-7.002418658659627093e-01,9.178880658212432153e-02,-1.482240200077902977e-02
9.015259762695564394e-01,-7.003965495506337957e-01,9.855559265733118690e-02,-1.836941532425104620e-02
-8.993434667817939987e-01,-5.008134095782810213e-01,-6.536504905264732546e-02,-5.480726657005774438e-02
-7.009418854913096464e-01,-4.999219619371567669e-01,-5.496702071161839454e-02,-4.698990880601758985e-02
-5.000640912215554845e-01,-4.985430298134985727e-01,-3.342721874461685588e-02,-4.175811140690613432e-02
-3.015744591409926789e-01,-5.027060266517614506e-01,-1.132006126407933758e-02,-3.508891579044287612e-02
-1.007770696085267259e-01,-5.006984802009634139e-01,1.138027088559958634e-02,-4.058198014254135039e-02
1.016424485277694911e-01,-5.003711979481408889e-01,2.138424631823314034e-02,-3.653222907204722869e-02
3.002373215955256858e-01,-4.983143206139683534e-01,3.518959061002954053e-02,-2.470130783082498047e-02
4.999737136010949379e-01,-4.971819090882352854e-01,5.327318534686417001e-02,-2.204436207413833920e-02
7.009280610319983396e-01,-5.004532805212753566e-01,9.389532177801790391e-02,-8.970725715589482341e-03
9.009884906227986212e-01,-4.985387901893874596e-01,1.029369839793284891e-01,-9.040510718914124277e-03
-8.992254405949199336e-01,-2.993077218028023512e-01,-7.902313015332476653e-02,-5.141521208762768469e-02
-6.993718810942363140e-01,-3.009301658833531401e-01,-6.132677257358656875e-02,-3.231096597415410859e-02
-5.025476804982338397e-01,-3.008431370381721703e-01,-4.404437061570454226e-02,-2.754518359920054074e-02
-3.000225201458354141e-01,-3.016724047088518712e-01,-1.284774142509199218e-02,-2.707269848271410401e-02
-1.004575238215489608e-01,-2.987671629499563108e-01,-1.653871057386297003e-03,-1.384386178844642691e-02
1.029421756025299395e-01,-2.998311254112860369e-01,1.579949648766759002e-02,-1.651160795466651010e-02
2.994087865027806328e-01,-2.990445086309275746e-01,4.200744758046089794e-02,-1.737694863024975139e-02
4.995545004418568413e-01,-3.003836238039810369e-01,4.890834592705205902e-02,-5.421898190668085135e-03
6.993465073409009802e-01,-3.004646866855587573e-01,7.733888177057944568e-02,1.236836038048657813e-02
9.006858792582969064e-01,-2.994775108438850753e-01,9.478752941627846540e-02,7.341222715586034550e-03
-9.021314167729299616e-01,-9.992325284160540055e-02,-8.414095344537060595e-02,-2.959995617378986810e-02
-7.001735571552996085e-01,-9.978073883474221362e-02,-7.379280463874404727e-02,-3.770460787275348863e-02
-5.002006182131248924e-01,-1.018892686785900226e-01,-4.959905664494215771e-02,-1.462746503227349039e-02
-2.985532534949166261e-01,-1.022415002041858201e-01,-1.682748071068276841e-02,-1.732685669259322395e-02
-1.010430437065060333e-01,-9.979329448917161061e-02,-7.934822932805438156e-03,-1.065372856418216573e-02
9.971482378874971242e-02,-1.013379331866649524e-01,1.111295570807363693e-02,-1.711219522992109277e-02
3.004084868095288630e-01,-9.919205832250789501e-02,3.485426222942085428e-02,-4.614757816398915198e-03
4.998020858824923085e-01,-1.028735832799160532e-01,6.022094441874513426e-02,3.157066364194596828e-03
6.995522999345309412e-01,-9.926324231351675575e-02,7.094706732298840246e-02,1.792184527701837227e-02
8.987413401444936945e-01,-9.759322232013471765e-02,8.966077483088089051e-02,1.421680035535973982e-02
-8.991223355616345669e-01,9.948743945351083695e-02,-9.255918463525229789e-02,-2.393870575717089305e-02
-6.984565812197406354e-01,9.856738224084386768e-02,-7.261052791114089300e-02,-2.429531179560963025e-02
-4.969965778727571393e-01,1.006730602746416237e-01,-5.254592019812493603e-02,-1.050396762699462756e-02
-3.011753560100698945e-01,1.005212996385075330e-01,-3.417922716514470299e-02,-8.974641740928029432e-04
-9.997216248661666693e-02,9.967451781673515587e-02,-1.677745273130849119e-02,1.184658462918635261e-02
1.015000246382734700e-01,9.880288454996712100e-02,1.049232193010759748e-02,2.481976088158592553e-02
2.990674741153277472e-01,9.767849786772907217e-02,1.705844006492219719e-02,1.548498751921165845e-02
4.986122883764788627e-01,9.844368819383392255e-02,5.086959012001731478e-02,3.071229699420376102e-02
6.992434833283293072e-01,9.976775946259899830e-02,5.634704686838739457e-02,3.125537836824535121e-02
9.009909261843641604e-01,9.841223218672746909e-02,9.275035712804936827e-02,4.300221239890399116e-02
-8.991192832491028408e-01,2.976698370191276366e-01,-1.066101469095835919e-01,3.010759481250716799e-03
-6.992860985357338688e-01,3.010197170643765241e-01,-8.932241963452572375e-02,4.703094971314145979e-03
-5.010030648476462289e-01,3.012216735532242118e-01,-4.453885968460562228e-02,2.503134029767096081e-03
-2.988784062978030454e-01,2.991585191364364849e-01,-4.901233285406727397e-02,1.042365368426457356e-02
-9.939916171386785348e-02,2.990991889476568022e-01,-1.974317232902072713e-02,9.094595389032277336e-03
1.011057218815178960e-01,2.980929152350214051e-01,9.616740399942562065e-03,1.290946817372523418e-02
3.000133314137229945e-01,3.008855830049425584e-01,1.794919912211597954e-02,2.887496387715219465e-02
4.993405528529804016e-01,3.009855083669164544e-01,4.580670676614930631e-02,2.688249312898351867e-02
7.020715858246578955e-01,2.997004685111034905e-01,6.901485127498237226e-02,3.184128211178761242e-02
9.006777535575462013e-01,3.007299996926299790e-01,8.469677033901389096e-02,3.666167434131398922e-02
-9.010116530137822766e-01,5.011176728155128934e-01,-1.006338182906871548e-01,1.098357308065438243e-02
-7.006663911529041888e-01,5.008746087453933571e-01,-8.832705370453194926e-02,9.697642254989742236e-03
-4.983244805381910059e-01,5.013545231061209417e-01,-7.346757775114763633e-02,1.743279524640378025e-02
-3.005100097685232674e-01,5.002618373602092383e-01,-4.115635979497643537e-02,1.631969026894651911e-02
-1.013926827419164151e-01,4.986154202910382804e-01,-2.285705673115437028e-02,3.402183005807322969e-02
1.023622901610170277e-01,4.983166066887874113e-01,-1.252447400887377396e-03,2.959580311277606318e-02
3.000287484524047921e-01,5.002053295828521318e-01,2.120564249492327621e-02,3.296688519677726942e-02
4.996976103291733140e-01,4.986318901355935029e-01,3.721099995258133480e-02,4.310620171415557866e-02
6.996422490965441554e-01,4.993175077544703133e-01,5.681461895241383259e-02,5.752671294555871534e-02
8.982454939569705088e-01,4.998154799456295816e-01,7.038949320140829025e-02,6.284022714721998470e-02
-8.998679489904185536e-01,6.968026373796140094e-01,-1.125011104407007828e-01,1.929808882979196921e-02
-6.995963524503120423e-01,7.002449256164077207e-01,-8.277804690859802417e-02,1.235435162615112700e-02
-5.002102061811615208e-01,6.987765227270754664e-01,-8.013336988291393237e-02,3.104705083612445751e-02
-2.971613961904776002e-01,7.004778273632483732e-01,-4.856503709755253390e-02,3.067703049317877656e-02
