z_real,z_imag,target_real,target_imag
-9.007404097040668800e-01,-8.990547894764432391e-01,-3.988372142825378358e-02,-9.265184177130603160e-02
-7.004210895434404005e-01,-9.002312271203734007e-01,-3.709386902143126802e-02,-8.793689956103888095e-02
-5.003588270309807795e-01,-8.992808680341045635e-01,-8.542318640843224106e-03,-8.332254302796236745e-02
-2.990638088613168377e-01,-9.006456113068386227e-01,9.607576682718044908e-03,-8.394727538485574625e-02
-9.657071624179633385e-02,-8.989233934105975710e-01,1.424776790150493987e-02,-7.062086175235435248e-02
9.937373764016996236e-02,-8.996474050945670875e-01,3.721039596759338763e-02,-6.680960201342525662e-02
3.005335691085129213e-01,-9.025687919274546500e-01,4.851531084996106580e-02,-6.341936830635808153e-02
4.993078723532961560e-01,-9.009466637913837728e-01,6.477777048169872098e-02,-5.497413547491972197e-02
6.993843307035825241e-01,-9.008915983279145445e-01,8.895182423800358784e-02,-5.064196703834776547e-02
8.993525852504447027e-01,-8.994531535648183640e-01,9.254791766146801268e-02,-4.427825184242920042e-02
-9.026949760913383081e-01,-7.006441869504307363e-01,-5.077728622176698459e-02,-8.306435689551230905e-02
-6.997604253550183673e-01,-7.008034021245627132e-01,-2.627189442781984602e-02,-7.582003604961662369e-02
-5.001519919318024865e-01,-6.983135090996083205e-01,-2.666322331759933550e-02,-7.270771933377315199e-02
-2.994569807210522572e-01,-7.003128409947426691e-01,-7.349537537802577165e-04,-6.166513235919664215e-02
-9.929890977609133473e-02,-7.025754831183191884e-01,4.973805151953910805e-03,-6.693409944768671793e-02
1.005762749771948045e-01,-7.023576497817713982e-01,3.623029907789310222e-02,-5.367646643620940794e-02
3.012906567332098717e-01,-7.010220484469597002e-01,4.997946922042011825e-02,-4.299008927153080695e-02
4.993288485137827859e-01,-6.998234538936218829e-01,5.730660357962473472e-02,-4.608316267066852462e-02
7.021868071336218042e-01,-7.002418658659627093e-01,7.774537429496160279e-02,-2.882685169729222105e-02
9.015259762695564394e-01,-7.003965495506337957e-01,8.052544107443654342e-02,-3.237695316614093433e-02
-8.993434667817939987e-01,-5.008134095782810213e-01,-4.737828744856525248e-02,-6.482318382582154259e-02
-7.009418854913096464e-01,-4.999219619371567669e-01,-4.094822344270721004e-02,-5.698798919251485406e-02
-5.000640912215554845e-01,-4.985430298134985727e-01,-2.342593846111554190e-02,-5.172862504496636427e-02
-3.015744591409926789e-01,-5.027060266517614506e-01,-5.288517996124371748e-03,-4.514269071916204162e-02
-1.007770696085267259e-01,-5.006984802009634139e-01,1.339592008087653330e-02,-5.059560679558519625e-02
1.016424485277694911e-01,-5.003711979481408889e-01,1.935154486489604891e-02,-4.653930729591512078e-02
3.002373215955256858e-01,-4.983143206139683534e-01,2.918506392137042854e-02,-3.466725028069790604e-02
4.999737136010949379e-01,-4.971819090882352854e-01,4.327398356731279594e-02,-3.198766444021693828e-02
7.009280610319983396e-01,-5.004532805212753566e-01,7.987706524976251332e-02,-1.897945659347006694e-02
9.009884906227986212e-01,-4.985387901893874596e-01,8.491758115901847093e-02,-1.901094955138932577e-02
-8.992254405949199336e-01,-2.993077218028023512e-01,-6.103870699168320590e-02,-5.740106239829361606e-02
-6.993718810942363140e-01,-3.009301658833531401e-01,-4.733936547067785910e-02,-3.832928126931660351e-02
-5.025476804982338397e-01,-3.008431370381721703e-01,-3.399341640444748791e-02,-3.356175373203663936e-02
-3.000225201458354141e-01,-3.016724047088518712e-01,-6.847233901477040897e-03,-3.310584645702321915e-02
-1.004575238215489608e-01,-2.987671629499563108e-01,3.553790710177591244e-04,-1.981890955693962897e-02
1.029421756025299395e-01,-2.998311254112860369e-01,1.374080157776112754e-02,-2.250792133860180996e-02
2.994087865027806328e-01,-2.990445086309275746e-01,3.601947033809307225e-02,-2.335753479548876438e-02
4.995545004418568413e-01,-3.003836238039810369e-01,3.891750422101448309e-02,-1.142927072953500364e-02
6.993465073409009802e-01,-3.004646866855587573e-01,6.335226600951762710e-02,6.359359456678020245e-03
9.006858792582969064e-01,-2.994775108438850753e-01,7.677417501426475610e-02,1.351971715790022078e-03
-9.021314167729299616e-01,-9.992325284160540055e-02,-6.609840116905116303e-02,-3.159815761858585093e-02
-7.001735571552996085e-01,-9.978073883474221362e-02,-5.978937883493620070e-02,-3.969995931702519076e-02
-5.002006182131248924e-01,-1.018892686785900226e-01,-3.959502653095983704e-02,-1.666501209728250485e-02
-2.985532534949166261e-01,-1.022415002041858201e-01,-1.085636360665286591e-02,-1.937144234379580693e-02
-1.010430437065060333e-01,-9.979329448917161061e-02,-5.913854241988948483e-03,-1.264934858373821698e-02
9.971482378874971242e-02,-1.013379331866649524e-01,9.118813214013921087e-03,-1.913869520753458398e-02
3.004084868095288630e-01,-9.919205832250789501e-02,2.884630228558071607e-02,-6.598351113538719788e-03
4.998020858824923085e-01,-1.028735832799160532e-01,5.022516508490128262e-02,1.099835958053062626e-03
6.995522999345309412e-01,-9.926324231351675575e-02,5.695633067573582092e-02,1.593684700794962064e-02
8.987413401444936945e-01,-9.759322232013471765e-02,7.168629576440625761e-02,1.226516957032923114e-02
-8.991223355616345669e-01,9.948743945351083695e-02,-7.457682490333464309e-02,-2.194875904149445542e-02
-6.984565812197406354e-01,9.856738224084386768e-02,-5.864142275209387190e-02,-2.232376181087766115e-02
-4.969965778727571393e-01,1.006730602746416237e-01,-4.260599117772408129e-02,-8.490317577489431972e-03
-3.011753560100698945e-01,1.005212996385075330e-01,-2.815566882410513311e-02,1.113165094511331648e-03
-9.997216248661666693e-02,9.967451781673515587e-02,-1.477790715394408996e-02,1.384028147836655932e-02
1.015000246382734700e-01,9.880288454996712100e-02,8.462476155617145931e-03,2.679600931808220551e-02
2.990674741153277472e-01,9.767849786772907217e-02,1.107728919624499653e-02,1.743874678593197031e-02
4.986122883764788627e-01,9.844368819383392255e-02,4.089761306446774297e-02,3.268137042583023344e-02
6.992434833283293072e-01,9.976775946259899830e-02,4.236247463565242372e-02,3.325092200659273550e-02
9.009909261843641604e-01,9.841223218672746909e-02,7.473089709717167795e-02,4.497066069788349663e-02
-8.991192832491028408e-01,2.976698370191276366e-01,-8.862785053872117291e-02,8.964298111312159895e-03
-6.992860985357338688e-01,3.010197170643765241e-01,-7.533675191186768594e-02,1.072364506525003494e-02
-5.010030648476462289e-01,3.012216735532242118e-01,-3.451879193194348078e-02,8.527715653420885056e-03
-2.988784062978030454e-01,2.991585191364364849e-01,-4.303470131442070634e-02,1.640697305281299187e-02
-9.939916171386785348e-02,2.990991889476568022e-01,-1.775508884315789293e-02,1.507672752751570110e-02
1.011057218815178960e-01,2.980929152350214051e-01,7.594786637550927921e-03,1.887148581726482907e-02
