z_real,z_imag,target_real,target_imag
2.501909332093339433e-01,7.029621809374335673e-01,-2.987608475099762240e-01,-4.395143103293893128e-01
7.944276019391509625e-01,5.110521917005987902e-01,-7.316894100961204850e-02,5.873068307604870086e-02
5.513713804903870308e-01,-3.266308032481675117e-01,-8.228674788975673393e-02,2.050840700772292857e-01
-5.495856200188162788e-01,-8.450040605253785753e-01,-1.748509920330271195e-02,-9.051856451643336410e-02
-3.996674301775491323e-01,-7.355539503422474645e-01,-1.455068000231663494e-01,-2.762386466159963971e-01
7.471068907925237923e-01,-6.314555413303863940e-01,1.469818832650005014e-01,1.508753342694334892e-02
-9.894693908688505513e-01,-3.921639419761229206e-01,7.457509298042716561e-02,5.562221670878998714e-02
6.424568367655325574e-01,-1.049685515588019147e-01,3.772663044155107892e-01,-4.651577367430413945e-01
5.941388575040924547e-01,8.559931565801752740e-01,1.772560631006543375e-01,1.800017183326600989e-01
-6.413009431255844994e-02,-4.431642042408361348e-01,-1.910533110117467182e-01,-2.111779204982945080e-01
-3.939351463613729454e-01,7.971713260862025585e-01,-2.500888564086356514e-01,-8.334914134131289620e-02
-4.431487757984533538e-01,3.609243602131384510e-01,-2.907173158752877073e-01,-3.322964418286225019e-01
-4.902608246917508072e-01,7.069858300398714768e-01,-1.488749375700006705e-01,-3.136554777698046248e-01
-1.098473882347068553e-01,-1.934932106239515281e-01,4.385656425130486646e-02,1.527797592478455646e-01
9.096517915906598972e-03,-9.934465161727097371e-01,-2.534007887390231084e-01,1.778206856359101917e-01
1.069947041489849315e-01,5.739347241313426107e-01,-3.325759057900386506e-01,-5.495802565399032780e-01
9.910005668687853486e-01,-5.090482975616821282e-01,1.975822565070384784e-01,1.375832347628140051e-01
5.853238384275061268e-01,-7.150395884749858322e-01,-3.894392164378165933e-01,3.119969117157964100e-01
2.443584588823253245e-01,5.989831965689174087e-01,-5.859737218801877590e-02,-2.013627801645605508e-01
9.779202953637697870e-01,3.726572999956490051e-01,2.550567522035509516e-01,2.152384350815974567e-01
-5.693826035288021004e-01,-5.751695983141726920e-01,-4.273286243600787349e-01,-9.187904490518758460e-02
-6.795759322843109018e-01,-4.648363705589388939e-01,-5.109382231004180319e-01,3.468797058246693155e-01
2.250792085460615599e-01,8.784396628659143502e-01,-2.018666139088452216e-01,-7.284611595876144818e-02
-9.121159840772332661e-01,-4.629240498154658656e-01,1.525169185328748012e-02,8.321003918554159551e-02
-9.286394424528077174e-01,4.048117560877129151e-01,-1.315568576413579382e-01,2.882579819492819828e-01
2.977764054274056882e-02,-7.408935067136190877e-01,-4.979713966809969361e-01,4.009649207965212403e-01
-6.758794934942180532e-02,6.300717384156646617e-01,-1.472404034089581093e-01,-2.136222539898627315e-01
8.343355463857045073e-01,-7.648199775647133158e-01,3.748935488619908329e-01,2.063094148215802726e-01
2.584525089820208787e-01,3.208225356152172303e-02,2.350878292685831539e-01,-1.956285377514235257e-01
2.823529319902773338e-02,-9.295647468655405810e-01,1.836658117318386296e-01,2.990332605150806677e-01
-6.253129212991481722e-03,1.001570911946874087e-01,-8.656816945347851899e-02,2.464094727845852484e-01
-5.049701559453383393e-01,6.932432279694216160e-01,-5.557103059759126440e-01,2.190851323557423125e-01
-9.764119489149882813e-01,-8.312029761709092135e-01,-6.431814083484319045e-02,-1.176179312483501410e-01
-6.151957120293787273e-01,-4.514868412189181335e-01,-2.836733398340305912e-01,5.873409715215162363e-02
3.840642417636783712e-01,5.293861267854624852e-01,2.795414073927317625e-02,-1.303343903477588439e-02
-5.987865520260096108e-01,2.161966389144727163e-01,3.146287542507874013e-01,3.876591534892902258e-02
-2.609273787955865842e-01,-3.744061869058639136e-01,2.162636324000561105e-01,-5.322176803934705602e-02
-9.925315158958480932e-01,2.578077589082303778e-01,-3.527667346916618651e-02,-1.172145662508290026e-02
6.600954596034911415e-01,-9.057935915532766558e-02,3.150624827654397442e-01,1.686984378195586776e-01
-6.910778378771202934e-01,7.247125314108957550e-01,-1.352098074186194598e-01,3.125742091059724448e-01
-4.740671672692940430e-01,-4.304379344082940317e-01,-4.338951863216141680e-01,3.656598662772482800e-01
7.606643079616572933e-01,5.154612063046428716e-01,-7.926850644801949897e-02,-1.570586694820943485e-01
1.958161973684635626e-02,2.713483101396427788e-01,1.637477841905908837e-01,-4.128590651234362863e-01
6.943004927317386610e-01,4.808573216205582757e-01,2.605824432265502200e-01,-5.287537219698231761e-01
2.794343338850524550e-01,-2.434767726014266387e-01,-3.453925859166426249e-02,2.317122418955074870e-01
4.835418947237142273e-01,4.498420378608289916e-01,3.542597935879943094e-01,-2.139869710650986190e-01
-8.170087898739086807e-01,3.968521934784414729e-01,-4.461541344723415209e-02,-2.113315328108865687e-01
8.228764275297750785e-02,-2.250222157946430990e-01,-3.130349114597678617e-01,1.809549752395999689e-01
1.554447260069991010e-02,-9.470955393642190856e-01,1.742937256225789155e-01,2.890136441402104128e-01
7.426787533857612811e-01,9.258266367603920077e-01,2.199208310200343602e-02,-1.452325559575455005e-01
-2.774718819716848195e-01,4.272007921529368257e-01,-4.117610164527291672e-01,6.756958965934206640e-02
2.093300065546645217e-01,-6.026983430575051370e-01,3.390030655718181407e-01,1.067781885348761395e-01
