z_real,z_imag,target_real,target_imag
2.501909332093339433e-01,7.029621809374335673e-01,-2.119999616446359147e-01,1.341230492847168831e-01
7.944276019391509625e-01,5.110521917005987902e-01,1.951432557725651384e-01,-3.056527424291957118e-01
5.513713804903870308e-01,-3.266308032481675117e-01,-3.120341652640584162e-01,-2.140348587617493803e-02
-5.495856200188162788e-01,-8.450040605253785753e-01,9.120577246046411568e-02,-1.050325841713234676e-01
-3.996674301775491323e-01,-7.355539503422474645e-01,2.343431444767544447e-01,-9.087800086345546036e-02
7.471068907925237923e-01,-6.314555413303863940e-01,-2.505744228350370584e-03,2.507586720796436963e-02
-9.894693908688505513e-01,-3.921639419761229206e-01,-3.428892331425267836e-02,2.589192191290990985e-01
6.424568367655325574e-01,-1.049685515588019147e-01,2.199813718016962738e-01,-8.318075044224122749e-02
5.941388575040924547e-01,8.559931565801752740e-01,-5.103322805560470132e-02,2.184734640382355875e-01
-6.413009431255844994e-02,-4.431642042408361348e-01,-2.973554284544898119e-01,1.406341969603789460e-02
-3.939351463613729454e-01,7.971713260862025585e-01,-5.910311335954420153e-01,1.147764379745818686e-01
-4.431487757984533538e-01,3.609243602131384510e-01,3.139889618499217550e-01,5.647559467500412600e-01
-4.902608246917508072e-01,7.069858300398714768e-01,-6.512048206920981186e-02,5.321838928289788218e-01
-1.098473882347068553e-01,-1.934932106239515281e-01,7.434829720055375901e-01,-1.578346942684741294e-02
9.096517915906598972e-03,-9.934465161727097371e-01,2.372147727239894421e-01,1.551203733969986065e-01
1.069947041489849315e-01,5.739347241313426107e-01,5.400395715208330949e-02,-1.575761375952223209e-01
9.910005668687853486e-01,-5.090482975616821282e-01,-5.498703711159230734e-02,2.323384209936994738e-01
5.853238384275061268e-01,-7.150395884749858322e-01,4.929457364707068301e-01,-4.256601561741782946e-01
2.443584588823253245e-01,5.989831965689174087e-01,-1.418800897433281083e-01,-3.198525357679209979e-01
9.779202953637697870e-01,3.726572999956490051e-01,5.714148884839677089e-01,-9.173121734595743315e-02
-5.693826035288021004e-01,-5.751695983141726920e-01,-2.652636129807804943e-01,-5.572654511045821435e-02
-6.795759322843109018e-01,-4.648363705589388939e-01,-1.569319866724644685e-01,-1.805885646418571855e-01
2.250792085460615599e-01,8.784396628659143502e-01,-4.020558959322901860e-01,2.515715596994753667e-01
-9.121159840772332661e-01,-4.629240498154658656e-01,4.756775059686070839e-01,-3.592162591164844709e-01
-9.286394424528077174e-01,4.048117560877129151e-01,-1.192109639364558465e-01,-1.769779408232396156e-01
2.977764054274056882e-02,-7.408935067136190877e-01,-9.208636875824410817e-02,4.480437882202500943e-02
-6.758794934942180532e-02,6.300717384156646617e-01,1.908237475326056420e-01,-2.292041179181087407e-01
8.343355463857045073e-01,-7.648199775647133158e-01,-1.324431439803077926e-01,-2.248085150856363179e-01
2.584525089820208787e-01,3.208225356152172303e-02,1.823847819808936677e-01,2.014052277593003093e-01
2.823529319902773338e-02,-9.295647468655405810e-01,-2.976098360363476081e-01,1.142512151330047632e-01
-6.253129212991481722e-03,1.001570911946874087e-01,1.299073534090610660e-01,3.741569241485813713e-01
-5.049701559453383393e-01,6.932432279694216160e-01,-3.357530494467837467e-01,-4.487533532385448720e-01
