z_real,z_imag,target_real,target_imag
2.501909332093339433e-01,7.029621809374335673e-01,-4.751952125206274635e-01,-2.826383711880445238e-01
7.944276019391509625e-01,5.110521917005987902e-01,-2.541943943413020879e-01,-1.282866801713357652e-01
5.513713804903870308e-01,-3.266308032481675117e-01,-2.497255673362356876e-01,-9.850909837197543983e-02
-5.495856200188162788e-01,-8.450040605253785753e-01,-1.735134934745830027e-01,-2.079094482959557011e-01
-3.996674301775491323e-01,-7.355539503422474645e-01,-6.947936809892247823e-01,-3.419262589803931385e-02
7.471068907925237923e-01,-6.314555413303863940e-01,4.688707859810647277e-02,-7.458808394603014258e-03
-9.894693908688505513e-01,-3.921639419761229206e-01,-3.917089049053804617e-01,-2.882820707555245887e-01
6.424568367655325574e-01,-1.049685515588019147e-01,3.740463492528369738e-01,2.924885625876302297e-01
5.941388575040924547e-01,8.559931565801752740e-01,2.954224567708477189e-01,2.148606226889277493e-01
-6.413009431255844994e-02,-4.431642042408361348e-01,3.078465342243104086e-01,3.582995692357849316e-01
-3.939351463613729454e-01,7.971713260862025585e-01,1.688384931465757299e-01,-1.945142707858854014e-01
-4.431487757984533538e-01,3.609243602131384510e-01,-7.617257164222632215e-02,-2.199524546426152583e-01
-4.902608246917508072e-01,7.069858300398714768e-01,1.859154675431403392e-01,-3.526296956868918420e-01
-1.098473882347068553e-01,-1.934932106239515281e-01,4.664060495621087932e-01,2.591733914577875608e-01
9.096517915906598972e-03,-9.934465161727097371e-01,-1.675393502288679282e-01,-5.823239073468544635e-03
1.069947041489849315e-01,5.739347241313426107e-01,1.363906433995283052e-01,4.466507685549497841e-01
9.910005668687853486e-01,-5.090482975616821282e-01,8.369990244857855588e-02,-5.228448383024937307e-01
5.853238384275061268e-01,-7.150395884749858322e-01,4.876137807716135475e-01,1.282125453408441973e-01
2.443584588823253245e-01,5.989831965689174087e-01,-2.416417495850556596e-01,-1.570158220301998142e-02
9.779202953637697870e-01,3.726572999956490051e-01,3.910783154873899436e-02,-7.248997176979379842e-02
-5.693826035288021004e-01,-5.751695983141726920e-01,-5.206353840535762889e-02,2.966527796117730542e-01
-6.795759322843109018e-01,-4.648363705589388939e-01,-1.271593170873054901e-01,6.138949758081915231e-01
2.250792085460615599e-01,8.784396628659143502e-01,-4.436501191826844881e-01,-1.304889510796838903e-01
-9.121159840772332661e-01,-4.629240498154658656e-01,-4.423071474691651905e-02,2.463329063163469945e-01
-9.286394424528077174e-01,4.048117560877129151e-01,-1.099239814307772789e-01,-1.971189456976155108e-01
