z_real,z_imag,target_real,target_imag
-9.007404097040668800e-01,-8.990547894764432391e-01,-5.789842887060653309e-02,-7.467119731038177055e-02
-7.004210895434404005e-01,-9.002312271203734007e-01,-5.110223098517823609e-02,-6.993270471716417358e-02
-5.003588270309807795e-01,-8.992808680341045635e-01,-1.854949067997153922e-02,-6.533735896709580437e-02
-2.990638088613168377e-01,-9.006456113068386227e-01,3.626241207417452671e-03,-6.593479730377432846e-02
-9.657071624179633385e-02,-8.989233934105975710e-01,1.231624713245656547e-02,-5.264284210706891842e-02
9.937373764016996236e-02,-8.996474050945670875e-01,3.919771304402008827e-02,-4.881712646467191441e-02
3.005335691085129213e-01,-9.025687919274546500e-01,5.452577860021995404e-02,-4.536845093526051254e-02
4.993078723532961560e-01,-9.009466637913837728e-01,7.476367408897677258e-02,-3.695564555330820011e-02
6.993843307035825241e-01,-9.008915983279145445e-01,1.029391947717872430e-01,-3.262457821668623970e-02
8.993525852504447027e-01,-8.994531535648183640e-01,1.105346018581243733e-01,-2.628961544962800378e-02
-9.026949760913383081e-01,-7.006441869504307363e-01,-6.883108061423236224e-02,-6.905186230430750138e-02
-6.997604253550183673e-01,-7.008034021245627132e-01,-4.026706077991525773e-02,-6.180435827487702760e-02
-5.001519919318024865e-01,-6.983135090996083205e-01,-3.666627048173015657e-02,-5.874184216314051049e-02
-2.994569807210522572e-01,-7.003128409947426691e-01,-6.724145216318066706e-03,-4.765927203589565703e-02
-9.929890977609133473e-02,-7.025754831183191884e-01,2.987740436854275858e-03,-5.288299611337450579e-02
1.005762749771948045e-01,-7.023576497817713982e-01,3.824165920751562003e-02,-3.962970357138145133e-02
3.012906567332098717e-01,-7.010220484469597002e-01,5.600506443212946439e-02,-2.897003629620289317e-02
4.993288485137827859e-01,-6.998234538936218829e-01,6.729294382916627126e-02,-3.208708848689570403e-02
7.021868071336218042e-01,-7.002418658659627093e-01,9.178879152568887589e-02,-1.482242086569139118e-02
9.015259762695564394e-01,-7.003965495506337957e-01,9.855559220424832401e-02,-1.836941389105357231e-02
-8.993434667817939987e-01,-5.008134095782810213e-01,-6.536505699742094222e-02,-5.480726538486069277e-02
-7.009418854913096464e-01,-4.999219619371567669e-01,-5.496701143065776257e-02,-4.698990488359629930e-02
-5.000640912215554845e-01,-4.985430298134985727e-01,-3.342722945791154476e-02,-4.175811523040747625e-02
-3.015744591409926789e-01,-5.027060266517614506e-01,-1.132006273339138287e-02,-3.508891901693728110e-02
-1.007770696085267259e-01,-5.006984802009634139e-01,1.138029324545796958e-02,-4.058196154859840254e-02
1.016424485277694911e-01,-5.003711979481408889e-01,2.138425779581607997e-02,-3.653222390911189943e-02
3.002373215955256858e-01,-4.983143206139683534e-01,3.518960978427301822e-02,-2.470130783959642237e-02
4.999737136010949379e-01,-4.971819090882352854e-01,5.327320187743231350e-02,-2.204437334492800188e-02
7.009280610319983396e-01,-5.004532805212753566e-01,9.389531905997966499e-02,-8.970735968485023595e-03
9.009884906227986212e-01,-4.985387901893874596e-01,1.029370062874609831e-01,-9.040512790128735557e-03
-8.992254405949199336e-01,-2.993077218028023512e-01,-7.902313965483888369e-02,-5.141521692160720691e-02
-6.993718810942363140e-01,-3.009301658833531401e-01,-6.132676052299790986e-02,-3.231096433200031370e-02
-5.025476804982338397e-01,-3.008431370381721703e-01,-4.404437344229727991e-02,-2.754518553975466091e-02
-3.000225201458354141e-01,-3.016724047088518712e-01,-1.284774255804392237e-02,-2.707269307354027987e-02
-1.004575238215489608e-01,-2.987671629499563108e-01,-1.653876905704127235e-03,-1.384386689596851967e-02
