z_real,z_imag,target_real,target_imag
-9.007404097040668800e-01,-8.990547894764432391e-01,-3.988370812832677664e-02,-9.265184885745510190e-02
-7.004210895434404005e-01,-9.002312271203734007e-01,-3.709387635817730511e-02,-8.793688567672210132e-02
-5.003588270309807795e-01,-8.992808680341045635e-01,-8.542313772093749341e-03,-8.332253453325290382e-02
-2.990638088613168377e-01,-9.006456113068386227e-01,9.607570016812108302e-03,-8.394725891159274256e-02
-9.657071624179633385e-02,-8.989233934105975710e-01,1.424776093167060866e-02,-7.062086742346826429e-02
9.937373764016996236e-02,-8.996474050945670875e-01,3.721039017157205808e-02,-6.680961939657635573e-02
3.005335691085129213e-01,-9.025687919274546500e-01,4.851530276523326884e-02,-6.341937760502004695e-02
4.993078723532961560e-01,-9.009466637913837728e-01,6.477775851489393777e-02,-5.497414920902875257e-02
6.993843307035825241e-01,-9.008915983279145445e-01,8.895180568295034396e-02,-5.064197131045553718e-02
8.993525852504447027e-01,-8.994531535648183640e-01,9.254791385394056658e-02,-4.427824277468767056e-02
-9.026949760913383081e-01,-7.006441869504307363e-01,-5.077726613531260286e-02,-8.306434597598197356e-02
-6.997604253550183673e-01,-7.008034021245627132e-01,-2.627189246929146835e-02,-7.582003536796204368e-02
-5.001519919318024865e-01,-6.983135090996083205e-01,-2.666322324139095909e-02,-7.270771582973580005e-02
-2.994569807210522572e-01,-7.003128409947426691e-01,-7.349533714691214087e-04,-6.166514280735248266e-02
-9.929890977609133473e-02,-7.025754831183191884e-01,4.973799303877315774e-03,-6.693411390151055018e-02
1.005762749771948045e-01,-7.023576497817713982e-01,3.623030489472212068e-02,-5.367647015175543157e-02
3.012906567332098717e-01,-7.010220484469597002e-01,4.997947377770758925e-02,-4.299007792869315864e-02
4.993288485137827859e-01,-6.998234538936218829e-01,5.730661272902597136e-02,-4.608316232057799861e-02
7.021868071336218042e-01,-7.002418658659627093e-01,7.774536906148726834e-02,-2.882683889700848531e-02
9.015259762695564394e-01,-7.003965495506337957e-01,8.052542964289775840e-02,-3.237695591474629153e-02
-8.993434667817939987e-01,-5.008134095782810213e-01,-4.737827791931496085e-02,-6.482319267672762009e-02
-7.009418854913096464e-01,-4.999219619371567669e-01,-4.094822506708890864e-02,-5.698798627724419030e-02
-5.000640912215554845e-01,-4.985430298134985727e-01,-2.342595195694518323e-02,-5.172863019822153408e-02
-3.015744591409926789e-01,-5.027060266517614506e-01,-5.288514311691762913e-03,-4.514268414676717717e-02
-1.007770696085267259e-01,-5.006984802009634139e-01,1.339593349831046630e-02,-5.059559950666590172e-02
1.016424485277694911e-01,-5.003711979481408889e-01,1.935154976705740285e-02,-4.653930361129222926e-02
3.002373215955256858e-01,-4.983143206139683534e-01,2.918506776635342373e-02,-3.466726710008881385e-02
4.999737136010949379e-01,-4.971819090882352854e-01,4.327398243261231653e-02,-3.198766654445856644e-02
7.009280610319983396e-01,-5.004532805212753566e-01,7.987707972731857009e-02,-1.897944227620943988e-02
9.009884906227986212e-01,-4.985387901893874596e-01,8.491756899987884522e-02,-1.901092762044650705e-02
