# re(Delta) im(Delta) re(|Delta|^2) im(|Delta|^2)
1.4992523290500317 0.04491607549703694 2.249775 0.0
1.4983242690312961 0.06721707247293365 2.249493749999999 0.0
1.4970370998394185 0.08933040750149622 2.2491000000000003 0.0
1.4954027752503116 0.1111948279987234 2.24859375 0.0
1.493436436747523 0.13275017662836255 2.247975 0.0
1.491156246973512 0.1539376403348782 2.24724375 0.0
1.4885831907267328 0.17469998364573158 2.2463999999999995 0.0
1.4857408460975485 0.19498176385841864 2.2454437499999993 0.0
1.4826551286852505 0.2147295261097625 2.244375 0.0
1.4793540121331994 0.2338919767444057 2.24319375 0.0
1.4758672284556313 0.2524201338457241 2.2419000000000002 0.0
1.4722259518059129 0.27026745425443616 2.2404937499999997 0.0
1.4684624694515431 0.2873899368667523 2.238975 0.0
1.4646098437770916 0.30374620246390466 2.23734375 0.0
1.4607015691351166 0.31929755076763106 2.2356 0.0
1.4567712273107618 0.33400799583168195 2.23374375 0.0
1.4528521452631267 0.3478442812586276 2.2317750000000007 0.0
1.4489770586614141 0.3607758770662422 2.2296937499999996 0.0
1.4451777845526363 0.3727749603118943 2.2275000000000005 0.0
1.4414849062869826 0.38381638181141964 2.2251937500000003 0.0
1.4379274735936087 0.39387762145709876 2.2227749999999995 0.0
1.4345327204500755 0.40293873474525355 2.2202437500000003 0.0
1.4313258031291807 0.4109822931667567 2.2176 0.0
1.4283295605429733 0.41799332109391035 2.21484375 0.0
1.4255642987400856 0.4239592317165504 2.211975 0.0
1.4230476011530775 0.42886976444192465 2.2089937500000003 0.0
1.420794165940136 0.43271692598103123 2.2058999999999997 0.0
1.4188156715221776 0.43549493710383425 2.2026937500000003 0.0
1.4171206711830708 0.43720018676304734 2.1993750000000003 0.0
1.4157145173774204 0.43783119496767064 2.1959437500000005 0.0
1.4145993161762933 0.437388585440411 2.1924000000000006 0.0
1.4137739120749973 0.4358750687251541 2.18874375 0.0
1.413233903186513 0.43329543602975285 2.184975 0.0
1.412971686647102 0.4296565637036675 2.18109375 0.0
1.4129765338644487 0.4249674278676057 2.1771000000000003 0.0
1.4132346950409824 0.4192391283413576 2.17299375 0.0
1.4137295322035521 0.4124849206644107 2.1687749999999997 0.0
1.4144416797635655 0.40472025467923306 2.16444375 0.0
1.4153492314178697 0.39596281785648213 2.16 0.0
1.416427951979545 0.3862325812914181 2.1554437500000003 0.0
1.4176515124997606 0.37555184609736786 2.1507750000000003 0.0
1.418991746808206 0.36394528777028556 2.1459937499999997 0.0
1.4204189273625583 0.3514399960024461 2.1411000000000002 0.0
1.4219020580601622 0.33806550738617985 2.13609375 0.0
1.4234091814316294 0.3238538284722575 2.130975 0.0
1.424907697411245 0.3088394467327393 2.1257437500000003 0.0
