# re(psi) im(psi) re(|psi|^2) im(|psi|^2)
-1.8369701987210297e-16 1.0 1.0 0.0
-0.047106450709642575 0.99888987496197 1.0 0.0
-0.09410831331851463 0.99556196460308 1.0 0.0
-0.14090123193758272 0.9900236577165576 1.0000000000000002 0.0
-0.18738131458572505 0.9822872507286886 1.0 0.0
-0.23344536385590559 0.9723699203976764 0.9999999999999998 0.0
-0.27899110603922916 0.9602936856769431 1.0 0.0
-0.3239174181981497 0.9460853588275452 1.0 0.0
-0.36812455268467803 0.9297764858882515 1.0000000000000002 0.0
-0.41151435860510915 0.911403276635445 0.9999999999999998 0.0
-0.4539904997395469 0.8910065241883678 1.0 0.0
-0.49545866843240743 0.8686315144381912 0.9999999999999998 0.0
-0.5358267949789969 0.8443279255020149 1.0 0.0
-0.5750052520432786 0.8181497174250234 1.0 0.0
-0.6129070536529768 0.79015501237569 0.9999999999999998 0.0
-0.6494480483301838 0.7604059656000308 1.0 0.0
-0.6845471059286886 0.7289686274214116 1.0 0.0
-0.718126297763189 0.6959127965923142 1.0000000000000002 0.0
-0.7501110696304596 0.6613118653236518 1.0 0.0
-0.7804304073383299 0.6252426563357049 1.0 0.0
-0.8090169943749476 0.587785252292473 1.0 0.0
-0.8358073613682702 0.5490228179981318 0.9999999999999999 0.0
-0.8607420270039439 0.5090414157503711 1.0000000000000002 0.0
-0.8837656300886935 0.46792981426057334 1.0 0.0
-0.9048270524660197 0.42577929156507227 0.9999999999999999 0.0
-0.9238795325112867 0.3826834323650896 0.9999999999999999 0.0
-0.9408807689542253 0.3387379202452915 0.9999999999999999 0.0
-0.9557930147983302 0.2940403252323036 1.0 0.0
-0.9685831611286313 0.24868988716485485 1.0000000000000004 0.0
-0.9792228106217659 0.20278729535651202 1.0 0.0
-0.9876883405951378 0.15643446504023067 1.0 0.0
-0.9939609554551797 0.10973431109104548 1.0 0.0
-0.9980267284282716 0.06279051952931308 0.9999999999999999 0.0
-0.9998766324816606 0.015707317311820068 1.0 0.0
-0.9995065603657316 -0.031410759078128736 1.0000000000000002 0.0
-0.996917333733128 -0.0784590957278451 1.0 0.0
-0.9921147013144778 -0.1253332335643041 0.9999999999999998 0.0
-0.9851093261547739 -0.17192910027940983 1.0 0.0
-0.9759167619387474 -0.21814324139654245 1.0 0.0
-0.9645574184577981 -0.2638730499653729 1.0 0.0
-0.9510565162951535 -0.3090169943749475 1.0 0.0
-0.9354440308298674 -0.3534748437792571 1.0 0.0
-0.917754625683981 -0.39714789063478095 1.0 0.0
-0.8980275757606155 -0.43993916985591514 0.9999999999999998 0.0
-0.8763066800438637 -0.4817536741017154 1.0000000000000002 0.0
-0.8526401643540922 -0.5224985647159489 1.0 0.0
-0.8270805742745619 -0.5620833778521304 1.0 0.0
-0.7996846584870904 -0.6004202253258842 1.0 0.0
-0.7705132427757893 -0.6374239897486896 0.9999999999999999 0.0
-0.7396310949786097 -0.6730125135097733 1.0 0.0
-0.7071067811865475 -0.7071067811865476 1.0 0.0
-0.6730125135097732 -0.7396310949786099 1.0000000000000002 0.0
-0.6374239897486895 -0.7705132427757894 1.0 0.0
-0.6004202253258839 -0.7996846584870907 1.0 0.0
-0.5620833778521306 -0.8270805742745618 1.0 0.0
-0.5224985647159488 -0.8526401643540922 0.9999999999999999 0.0
-0.48175367410171505 -0.8763066800438636 0.9999999999999998 0.0
-0.4399391698559152 -0.8980275757606155 0.9999999999999999 0.0
-0.3971478906347803 -0.9177546256839813 1.0 0.0
-0.3534748437792571 -0.9354440308298674 1.0 0.0
-0.3090169943749477 -0.9510565162951534 0.9999999999999998 0.0
-0.2638730499653728 -0.9645574184577982 1.0000000000000002 0.0
-0.21814324139654268 -0.9759167619387473 0.9999999999999999 0.0
