# re(alpha) im(alpha) re(|alpha|^2) im(|alpha|^2)
2.0 1.0 5.0 0.0
2.047479690060611 0.8987919218536096 5.0 0.0
2.08984174720288 0.7953373319843695 5.0 0.0
2.126980288345684 0.6898948129888438 5.000000000000001 0.0
2.1588024864775446 0.5827279162511192 5.0 0.0
2.1852288026758124 0.47410450320159886 5.0 0.0
2.206193184912552 0.3642960758029268 5.000000000000001 0.0
2.221643233150209 0.2535770979364761 4.999999999999999 0.0
2.2315403303144206 0.14222430938558406 5.0 0.0
2.235859738816584 0.03051603413021642 4.999999999999999 0.0
2.2345906623849485 -0.08126851531803325 5.0 0.0
2.2277362730496706 -0.19284993580181276 5.0 0.0
2.2153137032143917 -0.30394933188039275 4.999999999999999 0.0
2.1973540028341514 -0.4142890129230232 5.000000000000001 0.0
2.173902061806668 -0.5235931871908939 4.999999999999999 0.0
2.145016497770976 -0.6315886511728476 5.000000000000001 0.0
2.1107695095938537 -0.7380054724518802 5.000000000000001 0.0
2.071246696910257 -0.8425776643956033 5.0 0.0
2.026546846168812 -0.9450438509843024 4.999999999999999 0.0
1.9767816837171406 -1.045147920114864 4.999999999999999 0.0
1.922075596544176 -1.1426396637476532 5.0 0.0
1.8625653213774709 -1.237275403296307 5.0 0.0
1.79839960291259 -1.3288185986972936 5.0 0.0
1.7297388220288354 -1.417040439636885 5.0 0.0
1.656754594920573 -1.5017204174577794 5.0 0.0
1.5796293441461235 -1.5826468763159038 5.0 0.0
1.4985558426663677 -1.6596175422097985 5.0 0.0
1.413736732012742 -1.7324400285602768 5.0 0.0
1.3253840157889418 -1.8009323170766798 5.000000000000001 0.0
1.2337185297723212 -1.8649232127078106 5.0 0.0
1.1389693899394602 -1.924252771540406 5.0 0.0
1.0413734197955418 -1.9787727005756215 5.0 0.0
0.9411745584389275 -2.028346728384299 5.0 0.0
0.8386232508404508 -2.072850945714572 5.000000000000001 0.0
0.7339758218614189 -2.112174115200462 5.0 0.0
0.6274938355749528 -2.146217949397366 5.000000000000001 0.0
0.5194434414920209 -2.1748973564494776 5.0 0.0
0.410094709326274 -2.1981406527751126 4.999999999999999 0.0
0.29972095396040743 -2.2158897422383323 4.999999999999999 0.0
0.188598052301295 -2.2281002613590255 5.0 0.0
0.0770037537313969 -2.234741690198506 5.000000000000001 0.0
-0.034783014120051026 -2.2357974286434636 4.999999999999999 0.0
-0.14648284255084143 -2.231264837897605 5.0 0.0
-0.25781654016204414 -2.2211552470772666 5.000000000000001 0.0
-0.36850583069110154 -2.205493924894526 5.0 0.0
-0.47827404855755706 -2.1843200164985817 5.0 0.0
-0.5868468303829288 -2.1576864456332645 5.0 0.0
-0.6939528007562636 -2.1256597823552426 5.0 0.0
-0.7993242505313409 -2.088320076643547 5.0 0.0
-0.9026978059601112 -2.045760658316315 5.0 0.0
-1.003815086989911 -1.9980879037548465 4.999999999999999 0.0
-1.1024233530790282 -1.9454209700180556 5.0 0.0
-1.1982761349164304 -1.8878914970118756 5.0 0.0
-1.29113385046669 -1.8256432784580507 5.000000000000001 0.0
-1.3807644038002926 -1.7588319024847208 5.0 0.0
-1.4669437652125954 -1.687624362737127 5.0 0.0
-1.549456531181412 -1.6121986409804676 5.0 0.0
-1.6280964627636363 -1.5327432622381791 5.0 0.0
-1.7026670010851994 -1.4494568235775547 5.000000000000001 0.0
-1.7729817586358811 -1.362547497720508 5.0 0.0
-1.8388649851410237 -1.27223251272018 5.0 0.0
-1.9001520068456856 -1.1787376090039348 5.0 0.0
-1.9566896381132686 -1.0822964751398605 5.0 0.0
-2.008336564309833 -0.9831501637370439 5.0 0.0
-2.0549636950170864 -0.881546488939593 5.0 0.0
-2.0964544866912007 -0.7777394070203295 5.0 0.0
-2.132705233960978 -0.6719883816223675 5.0 0.0
-2.163625328837268 -0.5645577352351345 5.000000000000001 0.0
-2.1891374871857536 -0.45571598852579753 5.0 0.0
-2.209177941897039 -0.34573518917744606 5.000000000000001 0.0
-2.2236966022712124 -0.23489023191155667 5.0 0.0
-2.2326571792185117 -0.12345817139435544 4.999999999999999 0.0
-2.2360372759631466 -0.011717529744442068 5.000000000000001 0.0
-2.233828444023575 0.10005239962746182 5.0 0.0
-2.2260362043293096 0.21157225010657876 5.000000000000001 0.0
-2.2126800334214654 0.3225632801451267 5.000000000000001 0.0
-2.1937933147715523 0.432748069971022 5.0 0.0
-2.1694232553401833 0.5418512149928267 5.000000000000001 0.0
-2.139630767584254 0.6496000141678083 5.0 0.0
-2.104490317207527 0.7557251516125167 5.0 0.0
-2.064089737035152 0.8599613697522447 5.0 0.0
-2.018530007477344 0.9620481323268156 5.0 0.0
-1.9679250041309477 1.061730275595553 5.0 0.0
-1.9124012131497552 1.1587586461137387 5.0 0.0
-1.852097415094987 1.252890723486477 5.0 0.0
-1.787164338056169 1.3438912265433742 5.0 0.0
-1.7177642809094058 1.4315327014189343 5.0 0.0
-1.6440707076547116 1.5155960900687677 5.0 0.0
-1.5662678138463548 1.595871277800613 5.000000000000001 0.0
-1.484550066199891 1.6721576184516516 5.0 0.0
-1.3991217165266563 1.7442644358994144 4.999999999999999 0.0
-1.3101962912106095 1.8120115006527866 5.0 0.0
-1.2179960575035724 1.875229480331875 4.999999999999999 0.0
-1.1227514679728627 1.9337603629107671 5.0 0.0
-1.024700584489882 1.9874578516653112 5.0 0.0
-0.9240884831994249 2.0361877308387326 5.000000000000001 0.0
-0.821166641956946 2.079828201111128 4.999999999999999 0.0
-0.7161923117648967 2.1182701840343343 5.0 0.0
-0.609427873779181 2.1514175946712406 5.0 0.0
-0.5011401834929184 2.179187581758093 5.000000000000001 0.0
-0.39159990373668596 2.2015107347895033 5.000000000000001 0.0
-0.2810808281623973 2.2183312575085674 5.000000000000001 0.0
-0.16985919690176998 2.2296071073684454 5.0 0.0
-0.05821300610984803 2.235310100616837 5.0 0.0
0.05357868688060108 2.2354259827406833 4.999999999999999 0.0
0.16523646105708945 2.229954464095025 5.0 0.0
0.2764812301344223 2.218909220626963 5.0 0.0
0.38703494012505824 2.2023178596929176 5.000000000000001 0.0
0.4966212643292822 2.180221851054609 5.0 0.0
0.6049662940080375 2.1526764232262545 5.0 0.0
0.7117992230121281 2.119750425432044 5.000000000000001 0.0
0.8168530246565596 2.081526155518933 5.0 0.0
0.9198651191481794 2.0380991542548923 5.000000000000002 0.0
1.020578029898422 1.9895779665267344 5.0 0.0
1.118740027080682 1.936083870034435 5.0 0.0
1.2141057568237832 1.8777505721600376 5.0 0.0
1.306436854468882 1.8147238757688324 4.999999999999999 0.0
1.395502540356968 1.7471613147781313 5.0 0.0
1.4810801966578357 1.675231760404508 5.0 0.0
1.5629559237987145 1.5991149990737088 5.000000000000001 0.0
1.640925075101806 1.5190012830482176 4.999999999999999 0.0
1.714792768294404 1.4350908548956804 5.0 0.0
1.7843743726130743 1.3475934469867747 5.0 0.0
1.8494959702844214 1.2567277572735025 5.000000000000001 0.0
1.9099947912289386 1.1627209026582104 5.0 0.0
1.965719619901442 1.065807851319613 5.0 0.0
2.0165311732511806 0.9662308354147139 4.999999999999998 0.0
2.0623024488569244 0.8642387456245714 5.0 0.0
2.102919042366879 0.7600865090572053 5.0 0.0
2.1382794334499824 0.654034452062598 5.000000000000001 0.0
2.1682952395438626 0.5463476495523925 5.000000000000001 0.0
2.192891436765215 0.4372952624506594 5.0 0.0
2.212006547430437 0.3271498649317719 4.999999999999999 0.0
2.225592793717824 0.2161867631269111 5.000000000000001 0.0
2.233616217087237 0.1046833070021228 5.000000000000001 0.0
2.236056763158771 -0.007081802872158538 5.0 0.0
2.2329083318382588 -0.11882921192739304 5.000000000000001 0.0
2.22417879256433 -0.23027960983786444 5.0 0.0
2.209889964638914 -0.3411544286510435 5.000000000000001 0.0
2.190077562690346 -0.45117653906238686 4.999999999999999 0.0
2.1647911074053985 -0.5600709430942735 5.000000000000001 0.0
2.1340938017533517 -0.6675654614477351 5.000000000000002 0.0
2.0980623730114885 -0.773391413808947 5.0 0.0
2.0567868809868584 -0.8772842904100988 4.999999999999999 0.0
2.0103704929136623 -0.9789844131660517 5.0 0.0
1.958929225588895 -1.0782375847343162 5.0 0.0
1.902591655390774 -1.1747957238760254 5.0 0.0
1.8414985969047568 -1.2684174855298285 5.000000000000001 0.0
1.7758027509604077 -1.3588688640488635 5.000000000000001 0.0
1.7056683229588523 -1.4459237780930005 5.0 0.0
1.6312706124447907 -1.529364635714452 5.0 0.0
1.5527955749489275 -1.608982878224324 5.0 0.0
1.4704393571959962 -1.6845795014807181 4.999999999999999 0.0
1.3844078068400887 -1.7559655532954557 5.0 0.0
1.2949159579527292 -1.8229626057161363 5.0 0.0
1.2021874935496821 -1.8854032010030992 5.0 0.0
1.1064541864999027 -1.943131270186561 5.0 0.0
1.0079553202140765 -1.9960025231577587 5.000000000000001 0.0
0.9069370905606982 -2.043884809319081 5.0 0.0
0.8036519905046242 -2.086658447891738 5.000000000000001 0.0
0.6983581790061547 -2.1242165270553772 5.0 0.0
0.5913188357580768 -2.1564651711719605 5.0 0.0
0.4828015033735041 -2.1833237754259636 4.999999999999999 0.0
0.37307741866865607 -2.2047252072944445 4.999999999999999 0.0
0.2624208347121001 -2.2206159743433815 5.000000000000001 0.0
0.15110833533489665 -2.230956357930902 5.0 0.0
0.03941814381505171 -2.2357205124832076 5.000000000000001 0.0
-0.07237057253575441 -2.2348965300950394 5.000000000000001 0.0
-0.1839784001450907 -2.2284864702932463 4.999999999999999 0.0
-0.29512637756816285 -2.216506354889039 5.0 0.0
-0.405536692746157 -2.1989861279318044 5.000000000000001 0.0
-0.5149333773917163 -2.1759695808645763 5.0 0.0
-0.6230429967659115 -2.1475142430682395 5.000000000000002 0.0
-0.7295953331227159 -2.1136912380680277 4.999999999999998 0.0
-0.8343240611126178 -2.0745851057617637 5.0 0.0
-0.9369674134573058 -2.030293591114134 5.0 0.0
