# re(z) im(z) re(|z|^2) im(|z|^2)
3.720075976020836e-44 0.0 1.3838965267367376e-87 0.0
2.713702274267562e-43 2.0499694022791785e-44 7.406203778867746e-86 0.0
1.929306800551996e-42 2.931580834709791e-43 3.808166392560556e-84 0.0
1.3366755898349275e-41 3.076131198081325e-42 1.881327463938644e-82 0.0
9.023235983594611e-41 2.806970163732408e-41 8.929786911572053e-81 0.0
5.9333718506217215e-40 2.3491881022731087e-40 4.072358625761176e-79 0.0
3.799224857558636e-39 1.8464436174892336e-39 1.7843463550858162e-77 0.0
2.3678026712669154e-38 1.380307951392153e-38 7.511739530735142e-76 0.0
1.435475703364809e-37 9.887899957934078e-38 3.038296150731821e-74 0.0
8.458854203023322e-37 6.820561122828032e-37 1.1807226845823852e-72 0.0
4.84011637469961e-36 4.545171811273693e-36 4.408531331463227e-71 0.0
2.685665603450293e-35 2.9329444498530695e-35 1.581496287947995e-69 0.0
1.442530915678635e-34 1.8357655169018506e-34 5.4509304757345596e-68 0.0
7.481847759035609e-34 1.1159389786631411e-33 1.805100262993596e-66 0.0
3.7341071897828596e-33 6.594639957533704e-33 5.743283267428817e-65 0.0
1.784054911943482e-32 3.791309674732348e-32 1.7556880978548767e-63 0.0
8.093446997457642e-32 2.1216862359537575e-31 5.156591326842185e-62 0.0
3.4381700561819365e-31 1.1562590137375836e-30 1.4551450402016707e-60 0.0
1.3316480657662012e-30 6.138365864064683e-30 3.945282205217343e-59 0.0
4.417307764530211e-30 3.1752403775756415e-29 1.0277277534252491e-57 0.0
1.0070411904431818e-29 1.600646136111867e-28 2.5722093726423415e-56 0.0
-9.882795713888105e-30 7.864064973226569e-28 6.185328486824124e-55 0.0
-3.3210193195784255e-28 3.765661813080762e-27 1.4290500583704823e-53 0.0
-2.896676285000847e-27 1.7573534142124323e-26 3.1721983574449554e-52 0.0
-1.9452706243436295e-26 7.991943693230143e-26 6.76552417976953e-51 0.0
-1.1505824808498639e-25 3.5411287594738886e-25 1.3863432936411708e-49 0.0
-6.274299228063143e-25 1.528312451417448e-24 2.7294072571903472e-48 0.0
-3.221783901112167e-24 6.422550637799694e-24 5.162904820056679e-47 0.0
-1.5758264802569942e-23 2.626767819384045e-23 9.383138272830758e-46 0.0
-7.393019082465754e-23 1.0449267464611381e-22 1.6384392170068875e-44 0.0
-3.341941097337369e-22 4.0397128339809066e-22 2.7487850079102546e-43 0.0
-1.460098574512902e-21 1.516207263245478e-21 4.43077231241295e-42 0.0
-6.179135515435002e-21 5.517027193109114e-21 6.861930476761563e-41 0.0
-2.5370904940510494e-20 1.9425602399641973e-20 1.0210368460893958e-39 0.0
-1.0118863191409927e-19 6.601438254993438e-20 1.459703793209615e-38 0.0
-3.923866850126923e-19 2.1571640554422667e-19 2.005008781961711e-37 0.0
-1.4804371842866447e-18 6.740500975959085e-19 2.6460377906876225e-36 0.0
-5.437440219644931e-18 1.996279644763896e-18 3.355088856231098e-35 0.0
-1.9449465905290718e-17 5.518312539674471e-18 4.0873349728659465e-34 0.0
-6.777416329033108e-17 1.381344801678329e-17 4.784148555816835e-33 0.0
-2.3012326999192116e-16 2.90713296640653e-17 5.380186160021142e-32 0.0
-7.61482988167359e-16 3.830857894353004e-17 5.813238884889629e-31 0.0
-2.4558195496480653e-15 -6.173447608340608e-17 6.034860805970919e-30 0.0
-7.719230035363565e-15 -7.786465368220745e-16 6.0192802768164e-29 0.0
-2.3646624069822793e-14 -4.203589683266158e-15 5.768329961247843e-28 0.0
-7.058766842162309e-14 -1.8123832830779848e-14 5.3110922496790586e-27 0.0
-2.0529008146877632e-13 -6.956673816935066e-14 4.698354860897981e-26 0.0
-5.815208124147977e-13 -2.473202088673653e-13 3.993337409857635e-25 0.0
-1.6038247200688414e-12 -8.299237603582222e-13 3.261027180711029e-24 0.0
-4.304545171682942e-12 -2.6564660124737015e-12 2.5585920810486857e-23 0.0
-1.1235582603681184e-11 -8.16312858849158e-12 1.928749847963918e-22 0.0
-2.8496832683622207e-11 -2.4184178095373642e-11 1.3969439431471093e-21 0.0
-7.015389976961849e-11 -6.927781295202023e-11 9.72098502030078e-21 0.0
-1.6738878286400603e-10 -1.9228748033092543e-10 6.499347972070939e-20 0.0
-3.8633222548263366e-10 -5.179270384317563e-10 4.175010055850544e-19 0.0
-8.601242040204767e-10 -1.3553388737925068e-09 2.5767571091549995e-18 0.0
-1.839952691600676e-09 -3.4488220852262854e-09 1.5279799682873156e-17 0.0
-3.759232910827301e-09 -8.539463340580367e-09 8.705426622296311e-17 0.0
-7.2653101908656294e-09 -2.0585085410568727e-08 4.765304735299054e-16 0.0
-1.305829449352502e-08 -4.8329109572447445e-08 2.506221887145257e-15 0.0
-2.1086988976028903e-08 -1.1054186738525329e-07 1.2664165549094089e-14 0.0
-2.798382425432429e-08 -2.4637546490499146e-07 6.148396412704759e-14 0.0
-2.0184403694830752e-08 -5.351542681660064e-07 2.867975008888098e-13 0.0
4.2730382957273215e-08 -1.132921594597779e-06 1.2853372251336497e-12 0.0
2.6550313221611105e-07 -2.3375453275785835e-06 5.534610071701033e-12 0.0
8.966415873841479e-07 -4.700359807528445e-06 2.28973484564556e-11 0.0
2.4884704540649485e-06 -9.209898069149614e-06 9.101470764488001e-11 0.0
6.205001830979375e-06 -1.758087257224559e-05 3.4758912812399463e-10 0.0
1.438893695828924e-05 -3.268587038364484e-05 1.2754076295260528e-09 0.0
3.156296946998884e-05 -5.916188317250773e-05 4.4963494622809015e-09 0.0
6.612627979275175e-05 -0.0001041983438711168 1.522997974471279e-08 0.0
0.00013311150082918592 -0.00017845274315270819 4.95640531917248e-08 0.0
0.00025847748457505555 -0.00029692541746715 1.549753135702894e-07 0.0
0.0004855007530969007 -0.0004794377856621755 4.6557157157830787e-07 0.0
0.0008838456021895422 -0.0007500861478001873 1.343812277631519e-06 0.0
0.0015617702030696265 -0.001134692471501653 3.7266531720786718e-06 0.0
0.00268157858179547 -0.001654883867679808 9.929504305851083e-06 0.0
0.004477771052811204 -0.002317091477435738 2.5419346516199295e-05 0.0
0.007276322957119628 -0.0030946127380520865 6.252150377482037e-05 0.0
0.011512148793171303 -0.0039011268110532783 0.0001477483602320342 0.0
0.01774021941294068 -0.004554914168591534 0.00033546262790251326 0.0
0.026634283607754328 -0.004734696989479394 0.0007318024188804761 0.0
0.03896615725768624 -0.003930555672387451 0.0015338106793244713 0.0
0.055558661047946906 -0.0013966355273057653 0.003088715408236785 0.0
0.07720710120155924 0.003884123975637594 0.005976022895005933 0.0
0.10456812019497157 0.013210025629508683 0.011108996538242296 0.0
0.13802083541035284 0.02813083249743199 0.019841094744370288 0.0
0.17751288802914839 0.05036496121462184 0.03404745473459933 0.0
0.22241210889295432 0.08165547533339303 0.056134762834133725 0.0
0.27139112445116265 0.12356567091437626 0.08892161745938638 0.0
0.3223752117493387 0.1772272724108281 0.13533528323661284 0.0
0.37258110430063734 0.24306793248335434 0.1978986990836149 0.0
0.41866512196992384 0.3205570403206008 0.2780373004531945 0.0
0.4569832341950103 0.4080164488302751 0.3753110988514001 0.0
0.48394548996650333 0.5025425541196024 0.4867522559599724 0.0
0.4964263023647789 0.6000763168406725 0.6065306597126341 0.0
0.49217499189770897 0.6956384221879788 0.7261490370736905 0.0
0.47016233285931053 0.7837203532967374 0.835270211411272 0.0
0.4308018587124576 0.8587934006014062 0.9231163463866356 0.0
0.37600023038276864 0.9158725348315999 0.9801986733067553 0.0
0.30901699437494773 0.9510565162951535 1.0 0.0
0.23414579268518412 0.9619638356375887 0.980198673306755 0.0
0.15626007073291587 0.9479974349549579 0.9231163463866355 0.0
0.08028994819111648 0.9103975700927259 0.835270211411272 0.0
0.010708072838500969 0.8520765072748901 0.7261490370736905 0.0
-0.04890130577888975 0.7772639976261299 0.6065306597126329 0.0
-0.09613302377311762 0.6910214885951147 0.486752255959971 0.0
-0.12988115129300773 0.5987002466929522 0.375311098851399 0.0
-0.15028849780675518 0.5054212776290512 0.2780373004531935 0.0
-0.15855269914326198 0.41564376655737345 0.1978986990836141 0.0
-0.1566354478433315 0.3328672704180019 0.13533528323661223 0.0
-0.14692995275042103 0.2594864282465366 0.08892161745938595 0.0
-0.13193929167927088 0.19679122476702487 0.05613476283413342 0.0
-0.11400716170192082 0.14508556721904226 0.03404745473459915 0.0
-0.09512631294810224 0.10388493311962939 0.019841094744370156 0.0
-0.07683272806014309 0.07215073414095187 0.011108996538242218 0.0
-0.060178826167532604 0.04852351776307926 0.005976022895005976 0.0
-0.04576882273828453 0.03152665972456128 0.003088715408236785 0.0
-0.03383460608449871 0.019723846238279042 0.0015338106793244713 0.0
-0.024330573136164886 0.011824788782308441 0.0007318024188804759 0.0
-0.0170294503627655 0.006742436373049377 0.00033546262790251326 0.0
-0.011606548822308502 0.003610593395468854 0.00014774836023203418 0.0
-0.007705636657853797 0.001773321029018754 6.252150377482037e-05 0.0
-0.004984545077293769 0.0007574014052176984 2.5419346516199295e-05 0.0
-0.003142158976103324 0.0002373631705728408 9.929504305851081e-06 0.0
-0.0019304541362277093 7.092373436496098e-19 3.7266531720786714e-06 0.0
-0.0011559356882007213 -8.732103054501748e-05 1.343812277631519e-06 0.0
-0.0006745848198412148 -0.00010250313369894501 4.6557157157830797e-07 0.0
-0.000383641059102485 -8.828845530992711e-05 1.5497531357028938e-07 0.0
-0.0002125813569738648 -6.613032480545574e-05 4.95640531917248e-08 0.0
-0.0001147435339678703 -4.543017892631248e-05 1.522997974471257e-08 0.0
-6.030946112080844e-05 -2.9310720932766785e-05 4.496349462280838e-09 0.0
-3.0853167100095294e-05 -1.7985819676056814e-05 1.2754076295260353e-09 0.0
-1.535372955178907e-05 -1.0576016120189524e-05 3.4758912812398967e-10 0.0
-7.426657147501499e-06 -5.988277820738081e-06 9.101470764487873e-11 0.0
-3.488200457390581e-06 -3.2756382623109264e-06 2.2897348456455207e-11 0.0
-1.588771216138469e-06 -1.7350550695787226e-06 5.534610071700936e-12 0.0
-7.00484211296825e-07 -8.914365343968671e-07 1.285337225133632e-12 0.0
-2.982262609189045e-07 -4.448129923767225e-07 2.867975008888047e-13 0.0
-1.2217647540850459e-07 -2.1577041730460073e-07 6.148396412704647e-14 0.0
-4.7915146968117276e-08 -1.0182487043997467e-07 1.2664165549093907e-14 0.0
-1.7842755700297255e-08 -4.6774543890505256e-08 2.5062218871452926e-15 0.0
-6.221850207697538e-09 -2.0924126111331142e-08 4.765304735299156e-16 0.0
-1.9780873034124824e-09 -9.118192630288167e-09 8.705426622296311e-17 0.0
-5.386137631257143e-10 -3.871652734562426e-09 1.5279799682873153e-17 0.0
-1.0079310354813433e-10 -1.6020605042981784e-09 2.5767571091549988e-18 0.0
8.119460936440557e-12 -6.460921605615998e-10 4.175010055850544e-19 0.0
