# re(psi_t) im(psi_t) re(psi_t+dt) im(psi_t+dt)
1.0 -0.0 0.9971888181122075 -0.07492970727274235
0.9992969573935987 -0.03749121155546027 0.9936785463792964 -0.1122628454366286
0.9971888181122075 -0.07492970727274235 0.9887710779360422 -0.14943813247359924
0.9936785463792964 -0.1122628454366286 0.9824733131012553 -0.18640329676226988
0.9887710779360422 -0.14943813247359924 0.9747941070689433 -0.22310636213174548
0.9824733131012553 -0.18640329676226988 0.9657442574571544 -0.2594957209445453
0.9747941070689433 -0.22310636213174548 0.955336489125606 -0.2955202066613396
0.9657442574571544 -0.25949572094454537 0.9435854362834473 -0.3311291657854629
0.955336489125606 -0.2955202066613396 0.9305076219123143 -0.36627252908604757
0.9435854362834473 -0.3311291657854629 0.9161214345336103 -0.40090088199962853
0.9305076219123143 -0.36627252908604757 0.900447102352677 -0.4349655341112302
0.9161214345336103 -0.40090088199962853 0.8835066648162144 -0.4684185876172393
0.9004471023526769 -0.4349655341112303 0.8653239416229412 -0.5012130046737979
0.8835066648162144 -0.4684185876172393 0.8459244992310679 -0.5333026735360201
0.8653239416229412 -0.5012130046737979 0.8253356149096782 -0.5646424733950355
0.8459244992310679 -0.5333026735360201 0.8035862383845648 -0.5951883378216895
0.8253356149096782 -0.5646424733950355 0.7807069511324468 -0.6248973167276999
0.8035862383845647 -0.5951883378216895 0.7567299233808094 -0.6537276367571394
0.7807069511324468 -0.6248973167276999 0.7316888688738209 -0.6816387600233341
0.7567299233808094 -0.6537276367571394 0.7056189974679364 -0.7085914411085871
0.7316888688738209 -0.6816387600233341 0.6785569656238398 -0.7345477822465786
0.7056189974679364 -0.7085914411085871 0.6505408248643352 -0.7594712866098562
0.6785569656238398 -0.7345477822465786 0.6216099682706644 -0.7833269096274834
0.6505408248643352 -0.7594712866098562 0.5918050750924773 -0.8060811082606931
0.6216099682706644 -0.7833269096274834 0.5611680535493413 -0.8277018881672578
0.5918050750924775 -0.806081108260693 0.5297419819042122 -0.8481588486882615
0.5611680535493413 -0.8277018881672576 0.49757104789172696 -0.867423225594017
0.5297419819042122 -0.8481588486882615 0.4647004865864822 -0.885467931529023
0.49757104789172696 -0.867423225594017 0.431176516798666 -0.9022675940990953
0.4647004865864822 -0.885467931529023 0.3970462760864716 -0.9177985915471135
0.4311765167986662 -0.9022675940990952 0.3623577544766734 -0.9320390859672264
0.3970462760864716 -0.9177985915471135 0.3271597269865614 -0.9449690540108066
0.3623577544766734 -0.9320390859672264 0.2915016850421088 -0.956570315040986
0.3271597269865614 -0.9449690540108066 0.2554337668888115 -0.9668265566961803
0.2915016850421088 -0.956570315040986 0.2190066870930415 -0.9757233578266591
0.2554337668888117 -0.9668265566961802 0.18227166523304486 -0.9832482087719117
0.2190066870930415 -0.9757233578266591 0.14528035387985133 -0.9893905289502953
0.18227166523304486 -0.9832482087719117 0.10808476596935639 -0.994141681736235
0.14528035387985133 -0.9893905289502953 0.0707372016677029 -0.9974949866040544
0.10808476596935639 -0.994141681736235 0.03329017483278921 -0.9994457285213652
0.0707372016677029 -0.9974949866040544 -0.004203660824688486 -0.9999911645788031
0.03329017483278921 -0.9994457285213652 -0.04169158577684095 -0.9991305278467936
-0.004203660824688486 -0.9999911645788031 -0.07912088880673408 -0.9968650284539189
-0.041691585776840505 -0.9991305278467936 -0.11643894112485227 -0.9931978518853749
-0.07912088880673408 -0.9968650284539189 -0.1535932703696606 -0.9881341545039076
-0.11643894112485227 -0.9931978518853749 -0.19053163438821616 -0.9816810562995271
-0.1535932703696606 -0.9881341545039076 -0.2272020946930873 -0.9738476308781951
-0.19053163438821616 -0.9816810562995271 -0.2635530894922925 -0.9646448927035626
-0.2272020946930873 -0.9738476308781951 -0.2995335061895745 -0.9540857816096937
-0.2635530894922925 -0.9646448927035626 -0.33509275325306387 -0.9421851446065583
-0.29953350618957414 -0.9540857816096938 -0.3701808313512871 -0.9289597150038692
-0.33509275325306387 -0.9421851446065583 -0.4047484036564843 -0.9144280888826237
-0.3701808313512871 -0.9289597150038692 -0.4387468652163946 -0.898610698947429
-0.4047484036564843 -0.9144280888826237 -0.4721284112969606 -0.881529785796378
-0.4387468652163946 -0.898610698947429 -0.5048461045998576 -0.8632093666488737
-0.4721284112969602 -0.8815297857963782 -0.5368539412603359 -0.8436752015753715
-0.5048461045998576 -0.8632093666488737 -0.5681069155325733 -0.8229547572765259
-0.5368539412603359 -0.8436752015753715 -0.5985610830715895 -0.801077168462668
-0.5681069155325733 -0.8229547572765259 -0.6281736227227395 -0.778073196887921
-0.5985610830715895 -0.801077168462668 -0.6569028967319059 -0.753975188096552
-0.6281736227227391 -0.7780731968879212 -0.6847085092917308 -0.7288170259423801
-0.6569028967319059 -0.753975188096552 -0.7115513633415603 -0.7026340849451916
-0.6847085092917308 -0.7288170259423801 -0.7373937155412458 -0.6754631805511506
-0.7115513633415603 -0.7026340849451916 -0.762199229341495 -0.6473425173671441
-0.7373937155412458 -0.6754631805511506 -0.7859330260761572 -0.6183116354418494
-0.7621992293414946 -0.6473425173671444 -0.8085617340046007 -0.5884113546690557
-0.7859330260761572 -0.6183116354418494 -0.8300535352352224 -0.5576837173914166
