# re(delta_k) im(delta_k) re(|delta_k|^2) im(|delta_k|^2)
2.667638897350387e-05 -4.1188817205897935e-05 2.4081483914865526e-09 0.0
4.0818979672333194e-05 -2.615798564994448e-05 2.350429314753052e-09 0.0
3.0422818425116233e-05 3.730631849724513e-05 2.317309280745486e-09 0.0
2.0465457329228107e-06 4.785295511482579e-05 2.2940936626584767e-09 0.0
4.6129876917890656e-05 1.2177067585621202e-05 2.2762465194445276e-09 0.0
-8.739864105790818e-06 -4.674807197052529e-05 2.261767457549103e-09 0.0
-2.6167851383181747e-05 -3.955807144684644e-05 2.2495974626060946e-09 0.0
4.7213478596210944e-05 -3.161600195354029e-06 2.2391082769501317e-09 0.0
-4.020392786265113e-05 2.476975872431844e-05 2.229896762846205e-09 0.0
-4.5343270140711296e-05 1.2871548130690221e-05 2.2216888983341956e-09 0.0
4.705624297296192e-05 2.895561528099724e-09 2.2142900111147045e-09 0.0
-4.5749571084373725e-05 1.0702038107475183e-05 2.2075568740580154e-09 0.0
-4.113902589614467e-05 2.2560177705886353e-05 2.2013810698048335e-09 0.0
4.677649211565711e-05 -2.7637579161389523e-06 2.1956785724651525e-09 0.0
-2.7440724888377505e-05 -3.791292089121574e-05 2.1903829529032035e-09 0.0
-1.102842498495475e-05 -4.542922667701356e-05 2.1854407941202547e-09 0.0
4.533221905489154e-05 1.121598959950884e-05 2.1808085071369623e-09 0.0
2.8938576160140366e-07 4.66515414501061e-05 2.1764500637899858e-09 0.0
2.742476548651882e-05 3.7685774305747384e-05 2.172335347014284e-09 0.0
3.977238083102088e-05 -2.4219757438305578e-05 2.168438927338115e-09 0.0
2.4099359227374227e-05 -3.979899527443787e-05 2.1647391400247555e-09 0.0
4.6417019520886534e-05 -2.584120201370081e-06 2.16121737841749e-09 0.0
2.6404152272250656e-05 3.82188211258638e-05 2.1578575454669728e-09 0.0
3.848611821794448e-05 2.5951191250401305e-05 2.154645622800503e-09 0.0
3.124963697795392e-05 -3.427870355067383e-05 2.1515693283688837e-09 0.0
3.6537997737041995e-06 -4.620895572196736e-05 2.1486178417010612e-09 0.0
4.459334623337799e-05 -1.2538542701446591e-05 2.1457815813659267e-09 0.0
-6.063357281849644e-06 4.589431034076481e-05 2.143052023181791e-09 0.0
-2.3891585738281363e-05 3.961835031212088e-05 2.1404215505435776e-09 0.0
4.6106576964926094e-05 3.4737430638557755e-06 2.1378833302963397e-09 0.0
-3.8062238703024356e-05 -2.6204907823034457e-05 2.1354312090997377e-09 0.0
-4.3794902374588613e-05 -1.4665133901796966e-05 2.1330596263573822e-09 0.0
