# Combined tissue acoustic impedance (5 tissues)
# re(z) im(z) re(|z|^2) im(|z|^2)
1.61 0.0322 2.59313684 0.0
1.61 0.03381 2.5932431161000005 0.0
1.61 0.03542 2.5933545764000003 0.0
1.61 0.03703 2.5934712209 0.0
1.61 0.03864 2.5935930496000004 0.0
1.61 0.04025 2.5937200625 0.0
1.61 0.04186 2.5938522596 0.0
1.61 0.04347 2.5939896409000003 0.0
1.61 0.04508 2.5941322064000003 0.0
1.61 0.04669 2.5942799561000003 0.0
1.61 0.0483 2.59443289 0.0
1.61 0.04991 2.5945910081 0.0
1.61 0.05152000000000001 2.5947543104000004 0.0
1.61 0.05312999999999999 2.5949227969 0.0
1.61 0.054740000000000004 2.5950964676000003 0.0
1.61 0.056350000000000004 2.5952753225000005 0.0
1.61 0.05795999999999999 2.5954593616 0.0
1.61 0.05957 2.5956485849 0.0
1.61 0.06118 2.5958429924 0.0
1.61 0.06279 2.5960425841 0.0
1.61 0.0644 2.5962473600000004 0.0
1.61 0.06601 2.5964573201000003 0.0
1.61 0.06762 2.5966724644 0.0
1.61 0.06923 2.5968927929000003 0.0
1.61 0.07084 2.5971183056000005 0.0
1.61 0.07245 2.5973490025 0.0
1.61 0.07406 2.5975848836 0.0
1.61 0.07567 2.5978259489 0.0
1.61 0.07728 2.5980721984 0.0
1.61 0.07889 2.5983236321000005 0.0
1.61 0.0805 2.5985802500000004 0.0
1.61 0.08211 2.5988420521 0.0
1.61 0.08372 2.5991090384000004 0.0
1.61 0.08533 2.5993812089 0.0
1.61 0.08694 2.5996585636000002 0.0
1.61 0.08855 2.5999411025000003 0.0
1.61 0.09016 2.6002288256000003 0.0
1.61 0.09177 2.6005217329000003 0.0
1.61 0.09338 2.6008198244000003 0.0
1.61 0.09499 2.6011231001 0.0
1.61 0.0966 2.6014315600000004 0.0
1.61 0.09821 2.6017452041 0.0
1.61 0.09982 2.6020640324000004 0.0
1.61 0.10142999999999999 2.6023880449 0.0
1.61 0.10304 2.6027172416 0.0
1.61 0.10465 2.6030516225 0.0
1.61 0.10626 2.6033911876 0.0
1.61 0.10787 2.6037359369 0.0
1.61 0.10948000000000001 2.6040858704000005 0.0
1.61 0.11109000000000002 2.6044409881000004 0.0
1.61 0.11270000000000002 2.60480129 0.0
1.61 0.11430999999999998 2.6051667761000004 0.0
1.61 0.11592 2.6055374464000005 0.0
1.61 0.11752999999999998 2.6059133009 0.0
1.61 0.11914000000000001 2.6062943396000002 0.0
1.61 0.12075 2.6066805625000002 0.0
1.61 0.12236 2.6070719696 0.0
1.61 0.12396999999999998 2.6074685609 0.0
1.61 0.12558 2.6078703364000004 0.0
1.61 0.12719 2.6082772961000003 0.0
1.61 0.1288 2.6086894400000005 0.0
1.61 0.13041 2.6091067681 0.0
1.61 0.13202 2.6095292804000003 0.0
1.61 0.13363 2.6099569769000004 0.0
1.61 0.13524 2.6103898576000004 0.0
1.61 0.13685 2.6108279225000004 0.0
1.61 0.13846 2.6112711716000003 0.0
1.61 0.14007 2.6117196049 0.0
1.61 0.14168 2.6121732224000005 0.0
1.61 0.14329 2.6126320241000003 0.0
1.61 0.1449 2.6130960100000005 0.0
1.61 0.14651 2.6135651801 0.0
1.61 0.14812 2.6140395344000003 0.0
1.61 0.14973 2.6145190729000003 0.0
1.61 0.15134 2.6150037956000003 0.0
1.61 0.15295 2.6154937025000002 0.0
1.61 0.15456 2.6159887936 0.0
1.61 0.15617 2.6164890689000004 0.0
