# Acoustic impedance: kidney (Szabo 2004)
# re(z) im(z) re(|z|^2) im(|z|^2)
1.63 0.163 2.6834689999999997 0.0
1.63 0.17115 2.6861923224999997 0.0
1.63 0.1793 2.68904849 0.0
1.63 0.18745 2.6920375025 0.0
1.63 0.1956 2.69515936 0.0
1.63 0.20375 2.6984140625 0.0
1.63 0.21189999999999998 2.70180161 0.0
1.63 0.22005 2.7053220025 0.0
1.63 0.22820000000000004 2.70897524 0.0
1.63 0.23634999999999995 2.7127613224999996 0.0
1.63 0.24449999999999997 2.71668025 0.0
1.63 0.25265 2.7207320225 0.0
1.63 0.2608 2.72491664 0.0
1.63 0.26895 2.7292341025 0.0
1.63 0.2771 2.73368441 0.0
1.63 0.28525 2.7382675625 0.0
1.63 0.2934 2.74298356 0.0
1.63 0.30155 2.7478324025 0.0
1.63 0.3097 2.7528140899999998 0.0
1.63 0.31785 2.7579286224999997 0.0
1.63 0.326 2.7631759999999996 0.0
1.63 0.33415 2.7685562225 0.0
1.63 0.3423 2.77406929 0.0
1.63 0.35045 2.7797152025 0.0
1.63 0.3586 2.7854939599999997 0.0
1.63 0.36675 2.7914055624999996 0.0
1.63 0.3749 2.79745001 0.0
1.63 0.38305 2.8036273025 0.0
1.63 0.3912 2.8099374399999997 0.0
1.63 0.39935 2.8163804225 0.0
1.63 0.4075 2.82295625 0.0
1.63 0.41565 2.8296649224999997 0.0
1.63 0.4238 2.83650644 0.0
1.63 0.43195 2.8434808025 0.0
1.63 0.44009999999999994 2.8505880099999996 0.0
1.63 0.44825000000000004 2.8578280625 0.0
1.63 0.4564000000000001 2.8652009599999997 0.0
1.63 0.4645499999999999 2.8727067025 0.0
1.63 0.47269999999999995 2.8803452899999997 0.0
1.63 0.48085 2.8881167225 0.0
1.63 0.489 2.8960209999999997 0.0
1.63 0.49715 2.9040581225 0.0
1.63 0.5053 2.9122280899999997 0.0
1.63 0.51345 2.9205309025 0.0
1.63 0.5216 2.9289665599999997 0.0
1.63 0.52975 2.9375350625 0.0
1.63 0.5379 2.94623641 0.0
1.63 0.54605 2.9550706024999998 0.0
1.63 0.5542 2.96403764 0.0
1.63 0.56235 2.9731375225 0.0
1.63 0.5705 2.98237025 0.0
1.63 0.57865 2.9917358225 0.0
1.63 0.5868 3.0012342399999996 0.0
1.63 0.59495 3.0108655024999997 0.0
1.63 0.6031 3.02062961 0.0
1.63 0.61125 3.0305265624999995 0.0
1.63 0.6194 3.0405563599999996 0.0
1.63 0.62755 3.0507190024999997 0.0
1.63 0.6357 3.06101449 0.0
1.63 0.64385 3.0714428225 0.0
1.63 0.652 3.082004 0.0
1.63 0.66015 3.0926980224999996 0.0
1.63 0.6683 3.1035248899999996 0.0
1.63 0.67645 3.1144846024999997 0.0
1.63 0.6846 3.1255771599999997 0.0
1.63 0.69275 3.1368025625 0.0
1.63 0.7009 3.14816081 0.0
1.63 0.70905 3.1596519025 0.0
1.63 0.7172 3.17127584 0.0
1.63 0.72535 3.1830326225 0.0
1.63 0.7335 3.19492225 0.0
