# Acoustic impedance: liver (Szabo 2004)
# re(z) im(z) re(|z|^2) im(|z|^2)
1.65 0.1485 2.74455225 0.0
1.65 0.155925 2.7468126056249997 0.0
1.65 0.16335 2.7491832224999997 0.0
1.65 0.170775 2.7516641006249998 0.0
1.65 0.1782 2.7542552399999995 0.0
1.65 0.185625 2.756956640625 0.0
1.65 0.19305 2.7597683024999995 0.0
1.65 0.200475 2.7626902256249997 0.0
1.65 0.2079 2.7657224099999995 0.0
1.65 0.21532499999999996 2.7688648556249995 0.0
1.65 0.22275000000000003 2.7721175624999996 0.0
1.65 0.230175 2.775480530625 0.0
1.65 0.23759999999999998 2.77895376 0.0
1.65 0.24502500000000002 2.782537250625 0.0
1.65 0.25245 2.7862310024999997 0.0
1.65 0.259875 2.7900350156249996 0.0
1.65 0.2673 2.7939492899999996 0.0
1.65 0.274725 2.7979738256249997 0.0
1.65 0.28215 2.8021086224999996 0.0
1.65 0.289575 2.8063536806249996 0.0
1.65 0.297 2.8107089999999997 0.0
1.65 0.304425 2.8151745806249995 0.0
1.65 0.31185 2.8197504225 0.0
1.65 0.319275 2.8244365256249995 0.0
1.65 0.3267 2.8292328899999997 0.0
1.65 0.334125 2.8341395156249996 0.0
1.65 0.34155 2.8391564024999996 0.0
1.65 0.348975 2.8442835506249997 0.0
1.65 0.3564 2.8495209599999995 0.0
1.65 0.363825 2.8548686306249995 0.0
1.65 0.37125 2.8603265624999996 0.0
1.65 0.378675 2.865894755625 0.0
1.65 0.3861 2.8715732099999998 0.0
1.65 0.393525 2.877361925625 0.0
1.65 0.40095 2.8832609024999996 0.0
1.65 0.408375 2.889270140625 0.0
1.65 0.4158 2.89538964 0.0
1.65 0.423225 2.9016194006249996 0.0
1.65 0.43065000000000003 2.9079594225 0.0
1.65 0.438075 2.914409705625 0.0
1.65 0.4455000000000001 2.92097025 0.0
1.65 0.4529250000000001 2.9276410556249997 0.0
1.65 0.46035000000000004 2.9344221224999996 0.0
1.65 0.467775 2.9413134506249996 0.0
1.65 0.4752 2.9483150399999998 0.0
1.65 0.48262499999999986 2.9554268906249996 0.0
1.65 0.49004999999999993 2.9626490024999996 0.0
1.65 0.497475 2.9699813756249998 0.0
1.65 0.5049 2.9774240099999996 0.0
1.65 0.512325 2.9849769056249995 0.0
1.65 0.51975 2.9926400624999996 0.0
1.65 0.527175 3.000413480625 0.0
1.65 0.5346 3.0082971599999997 0.0
1.65 0.542025 3.0162911006249997 0.0
1.65 0.54945 3.0243953025 0.0
1.65 0.556875 3.0326097656249997 0.0
1.65 0.5643 3.0409344899999997 0.0
1.65 0.571725 3.049369475625 0.0
1.65 0.57915 3.0579147224999996 0.0
1.65 0.586575 3.0665702306249996 0.0
1.65 0.594 3.0753359999999996 0.0
1.65 0.601425 3.084212030625 0.0
1.65 0.60885 3.0931983224999997 0.0
1.65 0.616275 3.1022948756249997 0.0
1.65 0.6237 3.11150169 0.0
1.65 0.631125 3.1208187656249997 0.0
1.65 0.63855 3.1302461024999997 0.0
1.65 0.645975 3.139783700625 0.0
1.65 0.6534 3.1494315599999996 0.0
1.65 0.660825 3.1591896806249995 0.0
1.65 0.66825 3.1690580624999996 0.0
1.65 0.675675 3.1790367056249997 0.0
1.65 0.6831 3.1891256099999996 0.0
1.65 0.690525 3.1993247756249996 0.0
1.65 0.69795 3.2096342024999998 0.0
1.65 0.705375 3.2200538906249996 0.0
1.65 0.7128 3.2305838399999995 0.0
1.65 0.720225 3.2412240506249996 0.0
1.65 0.72765 3.2519745225 0.0
1.65 0.735075 3.2628352556249998 0.0
1.65 0.7425 3.27380625 0.0
1.65 0.749925 3.2848875056249995 0.0
1.65 0.75735 3.2960790225 0.0
1.65 0.764775 3.3073808006249994 0.0
1.65 0.7722 3.3187928399999995 0.0
1.65 0.779625 3.330315140625 0.0
1.65 0.78705 3.3419477024999997 0.0
1.65 0.794475 3.353690525625 0.0
1.65 0.8019 3.3655436099999996 0.0
1.65 0.809325 3.3775069556249995 0.0
1.65 0.81675 3.3895805624999995 0.0
1.65 0.824175 3.4017644306249997 0.0
1.65 0.8316 3.41405856 0.0
1.65 0.8390249999999999 3.4264629506249995 0.0
1.65 0.84645 3.4389776024999996 0.0
1.65 0.8538749999999998 3.4516025156249994 0.0
1.65 0.8613 3.46433769 0.0
1.65 0.868725 3.4771831256249994 0.0
1.65 0.87615 3.4901388224999996 0.0
1.65 0.883575 3.5032047806249995 0.0
1.65 0.8910000000000001 3.516381 0.0
1.65 0.898425 3.5296674806249997 0.0
1.65 0.9058500000000002 3.5430642225 0.0
1.65 0.913275 3.5565712256249995 0.0
1.65 0.9207000000000001 3.5701884899999996 0.0
1.65 0.928125 3.5839160156249994 0.0
1.65 0.9355499999999999 3.5977538024999993 0.0
1.65 0.942975 3.611701850625 0.0
1.65 0.9503999999999999 3.6257601599999996 0.0
1.65 0.9578250000000001 3.639928730625 0.0
1.65 0.9652499999999998 3.6542075624999995 0.0
1.65 0.972675 3.6685966556249996 0.0
1.65 0.9800999999999999 3.6830960099999994 0.0
1.65 0.9875250000000001 3.697705625625 0.0
1.65 0.9949499999999999 3.7124255024999995 0.0
1.65 1.002375 3.7272556406249997 0.0
1.65 1.0098 3.7421960399999996 0.0
1.65 1.017225 3.757246700625 0.0
1.65 1.02465 3.7724076225 0.0
1.65 1.0320749999999999 3.7876788056249993 0.0
