# Acoustic impedance: muscle (Szabo 2004)
# re(z) im(z) re(|z|^2) im(|z|^2)
1.7 0.221 2.9388409999999996 0.0
1.7 0.23205 2.9438472024999998 0.0
1.7 0.2431 2.9490976099999995 0.0
1.7 0.25415 2.9545922224999996 0.0
1.7 0.2652 2.96033104 0.0
1.7 0.27625 2.9663140624999995 0.0
1.7 0.2873 2.9725412899999997 0.0
1.7 0.29835 2.9790127225 0.0
1.7 0.3094 2.9857283599999995 0.0
1.7 0.32045 2.9926882024999997 0.0
1.7 0.3315 2.99989225 0.0
1.7 0.34255 3.0073405024999995 0.0
1.7 0.3536 3.0150329599999997 0.0
1.7 0.36465 3.0229696225 0.0
1.7 0.3757 3.0311504899999995 0.0
1.7 0.38675 3.0395755624999996 0.0
1.7 0.3978 3.0482448399999997 0.0
1.7 0.40885 3.0571583225 0.0
1.7 0.4199 3.0663160099999995 0.0
1.7 0.43095 3.0757179024999997 0.0
1.7 0.442 3.0853639999999998 0.0
1.7 0.45304999999999995 3.0952543024999994 0.0
1.7 0.46410000000000007 3.1053888099999996 0.0
1.7 0.4751500000000001 3.1157675224999997 0.0
1.7 0.4861999999999999 3.1263904399999998 0.0
1.7 0.49724999999999997 3.1372575624999994 0.0
1.7 0.5083 3.1483688899999995 0.0
1.7 0.51935 3.1597244224999996 0.0
1.7 0.5304 3.1713241599999997 0.0
1.7 0.54145 3.1831681025 0.0
1.7 0.5525 3.19525625 0.0
1.7 0.56355 3.2075886024999996 0.0
1.7 0.5746 3.2201651599999996 0.0
1.7 0.58565 3.2329859224999997 0.0
1.7 0.5967 3.24605089 0.0
1.7 0.60775 3.2593600625 0.0
1.7 0.6188 3.2729134399999995 0.0
1.7 0.62985 3.2867110224999996 0.0
1.7 0.6409 3.3007528099999996 0.0
1.7 0.65195 3.3150388024999997 0.0
1.7 0.663 3.329569 0.0
1.7 0.67405 3.3443434025 0.0
1.7 0.6851 3.35936201 0.0
1.7 0.69615 3.3746248224999995 0.0
1.7 0.7072 3.3901318399999996 0.0
1.7 0.71825 3.4058830624999996 0.0
1.7 0.7293 3.4218784899999997 0.0
1.7 0.74035 3.4381181224999997 0.0
1.7 0.7514 3.4546019599999997 0.0
1.7 0.76245 3.4713300024999993 0.0
1.7 0.7735 3.4883022499999994 0.0
1.7 0.78455 3.5055187025 0.0
1.7 0.7956 3.52297936 0.0
1.7 0.80665 3.5406842224999995 0.0
1.7 0.8177 3.5586332899999995 0.0
1.7 0.82875 3.5768265624999995 0.0
1.7 0.8398 3.5952640399999996 0.0
1.7 0.8508499999999999 3.6139457224999996 0.0
1.7 0.8619 3.6328716099999996 0.0
1.7 0.8729499999999999 3.6520417024999996 0.0
1.7 0.884 3.6714559999999996 0.0
1.7 0.89505 3.6911145024999996 0.0
1.7 0.9061 3.7110172099999996 0.0
1.7 0.91715 3.7311641224999996 0.0
1.7 0.9282000000000001 3.75155524 0.0
1.7 0.93925 3.7721905624999996 0.0
1.7 0.9503000000000001 3.79307009 0.0
1.7 0.96135 3.8141938224999996 0.0
1.7 0.9723999999999999 3.8355617599999996 0.0
1.7 0.98345 3.8571739024999996 0.0
1.7 0.9944999999999998 3.8790302499999996 0.0
1.7 1.00555 3.9011308024999996 0.0
1.7 1.0166 3.9234755599999995 0.0
1.7 1.0276500000000002 3.9460645225 0.0
1.7 1.0387 3.9688976899999995 0.0
1.7 1.04975 3.9919750625 0.0
1.7 1.0608 4.01529664 0.0
1.7 1.07185 4.038862422499999 0.0
1.7 1.0829 4.062672409999999 0.0
1.7 1.09395 4.0867266025 0.0
1.7 1.105 4.111025 0.0
1.7000000000000002 1.11605 4.1355676025 0.0
1.7 1.1271 4.16035441 0.0
1.7 1.13815 4.1853854225 0.0
1.7 1.1492 4.2106606399999995 0.0
1.7 1.16025 4.2361800625 0.0
1.7 1.1713000000000002 4.261943690000001 0.0
1.7 1.18235 4.2879515225 0.0
1.7 1.1934 4.314203559999999 0.0
1.7 1.20445 4.3406998025 0.0
1.7 1.2155 4.36744025 0.0
1.7 1.22655 4.3944249025 0.0
1.7 1.2376 4.42165376 0.0
1.7 1.24865 4.4491268225 0.0
1.7 1.2597 4.47684409 0.0
1.7 1.27075 4.5048055625 0.0
1.7 1.2818 4.5330112399999996 0.0
1.7 1.29285 4.5614611225 0.0
1.7 1.3039 4.59015521 0.0
1.7 1.31495 4.6190935025 0.0
1.7 1.326 4.648276 0.0
1.7 1.33705 4.6777027024999995 0.0
1.7 1.3481 4.707373609999999 0.0
1.7 1.35915 4.7372887225 0.0
1.7 1.3702 4.76744804 0.0
1.7 1.38125 4.7978515625 0.0
1.7 1.3923 4.82849929 0.0
1.7 1.4033499999999999 4.859391222499999 0.0
1.7 1.4144 4.89052736 0.0
1.7 1.42545 4.9219077025 0.0
1.7000000000000002 1.4365 4.95353225 0.0
1.7 1.44755 4.9854010025 0.0
1.7 1.4586 5.017513959999999 0.0
1.7 1.46965 5.049871122499999 0.0
1.7 1.4807 5.082472489999999 0.0
1.7 1.49175 5.115318062499999 0.0
1.7 1.5028 5.148407839999999 0.0
1.7 1.51385 5.181741822499999 0.0
1.7 1.5249 5.215320009999999 0.0
1.7 1.5359499999999997 5.249142402499999 0.0
1.7 1.547 5.283208999999999 0.0
1.7 1.5580500000000002 5.3175198025 0.0
1.7 1.5691 5.3520748099999995 0.0
1.7 1.58015 5.386874022499999 0.0
1.7 1.5912 5.42191744 0.0
1.7 1.60225 5.4572050625 0.0
1.7 1.6133 5.49273689 0.0
1.7 1.62435 5.528512922499999 0.0
1.7 1.6354 5.56453316 0.0
1.7 1.64645 5.6007976025 0.0
1.7 1.6575 5.63730625 0.0
1.7 1.66855 5.674059102499999 0.0
1.7 1.6796 5.71105616 0.0
1.7 1.69065 5.748297422499999 0.0
1.7 1.7016999999999998 5.785782889999998 0.0
1.7 1.71275 5.8235125624999995 0.0
1.7 1.7238 5.86148644 0.0
1.7 1.73485 5.8997045224999995 0.0
1.7 1.7459 5.93816681 0.0
1.7 1.7569500000000002 5.9768733025000005 0.0
1.6999999999999997 1.768 6.015823999999999 0.0
1.7 1.77905 6.0550189025 0.0
1.7 1.7901 6.09445801 0.0
1.7 1.8011500000000003 6.1341413225000005 0.0
1.7000000000000002 1.8122 6.17406884 0.0
1.7 1.82325 6.2142405625 0.0
1.6993670710053543 1.833617069614777 6.249999999999999 0.0
1.6938702528046075 1.8386961594194013 6.250000000000002 0.0
1.6883938950764317 1.8437261334234636 6.25 0.0
1.6829380892930814 1.8487074910884502 6.25 0.0
1.6775029213529125 1.8536407280949685 6.25 0.0
1.6720884717143818 1.8585263363105355 6.249999999999998 0.0
1.6666948155279209 1.863364803760216 6.249999999999998 0.0
1.6613220227656786 1.8681566146000055 6.25 0.0
1.6559701583491355 1.8729022490928724 6.250000000000001 0.0
1.6506392822745974 1.8776021835873546 6.25 0.0
1.6453294497365651 1.8822568904986303 6.250000000000002 0.0
1.6400407112489894 1.8868668382919629 6.25 0.0
1.6347731127644254 1.8914324914684402 6.25 0.0
1.6295266957910797 1.8959543105529217 6.249999999999998 0.0
1.6243014975077839 1.900432752084107 6.250000000000002 0.0
1.6190975508768792 1.9048682686066487 6.25 0.0
1.6139148847550566 1.909261308665232 6.250000000000002 0.0
1.6087535240021331 1.913612316800537 6.250000000000001 0.0
1.6036134895878096 1.9179217335470202 6.249999999999999 0.0
