# re(z) im(z) re(|z|^2) im(|z|^2)
-2.2 -1.8 8.080000000000002 0.0
-2.0900000000000003 -1.8 7.608100000000001 0.0
-1.9800000000000002 -1.8 7.160400000000001 0.0
-1.87 -1.8 6.7369 0.0
-1.7600000000000002 -1.8 6.337600000000001 0.0
-1.6500000000000001 -1.8 5.9625 0.0
-1.54 -1.8 5.6116 0.0
-1.4300000000000002 -1.8 5.2849 0.0
-1.3200000000000003 -1.8 4.982400000000001 0.0
-1.2100000000000002 -1.8 4.7041 0.0
-1.1 -1.8 4.45 0.0
-0.9900000000000002 -1.8 4.2201 0.0
-0.8800000000000001 -1.8 4.0144 0.0
-0.7700000000000002 -1.8 3.8329000000000004 0.0
-0.6600000000000001 -1.8 3.6756 0.0
-0.5500000000000003 -1.8 3.5425000000000004 0.0
-0.44000000000000017 -1.8 3.4336 0.0
-0.33000000000000007 -1.8 3.3489000000000004 0.0
-0.2200000000000002 -1.8 3.2884 0.0
-0.11000000000000032 -1.8 3.2521000000000004 0.0
0.0 -1.8 3.24 0.0
0.10999999999999988 -1.8 3.2521 0.0
0.21999999999999975 -1.8 3.2884 0.0
0.3299999999999996 -1.8 3.3489 0.0
0.43999999999999995 -1.8 3.4336 0.0
0.5499999999999998 -1.8 3.5425 0.0
0.6599999999999997 -1.8 3.6755999999999998 0.0
0.77 -1.8 3.8329000000000004 0.0
0.8799999999999999 -1.8 4.0144 0.0
0.9899999999999998 -1.8 4.2200999999999995 0.0
1.0999999999999996 -1.8 4.449999999999999 0.0
1.21 -1.8 4.7041 0.0
1.3199999999999998 -1.8 4.9824 0.0
1.4299999999999997 -1.8 5.2848999999999995 0.0
1.54 -1.8 5.6116 0.0
1.65 -1.8 5.9625 0.0
1.7599999999999998 -1.8 6.3376 0.0
1.87 -1.8 6.7369 0.0
1.9799999999999995 -1.8 7.160399999999998 0.0
2.09 -1.8 7.608099999999999 0.0
-2.2 -0.9 5.65 0.0
-2.0900000000000003 -0.9 5.178100000000001 0.0
-1.9800000000000002 -0.9 4.730400000000001 0.0
-1.87 -0.9 4.306900000000001 0.0
-1.7600000000000002 -0.9 3.907600000000001 0.0
-1.6500000000000001 -0.9 3.5325000000000006 0.0
-1.54 -0.9 3.1816 0.0
-1.4300000000000002 -0.9 2.8549000000000007 0.0
-1.3200000000000003 -0.9 2.552400000000001 0.0
-1.2100000000000002 -0.9 2.2741000000000007 0.0
-1.1 -0.9 2.0200000000000005 0.0
-0.9900000000000002 -0.9 1.7901000000000005 0.0
-0.8800000000000001 -0.9 1.5844000000000003 0.0
-0.7700000000000002 -0.9 1.4029000000000003 0.0
-0.6600000000000001 -0.9 1.2456000000000003 0.0
-0.5500000000000003 -0.9 1.1125000000000003 0.0
-0.44000000000000017 -0.9 1.0036000000000003 0.0
-0.33000000000000007 -0.9 0.9189 0.0
-0.2200000000000002 -0.9 0.8584000000000002 0.0
-0.11000000000000032 -0.9 0.8221000000000002 0.0
0.0 -0.9 0.81 0.0
0.10999999999999988 -0.9 0.8221 0.0
0.21999999999999975 -0.9 0.8583999999999999 0.0
0.3299999999999996 -0.9 0.9188999999999998 0.0
0.43999999999999995 -0.9 1.0036 0.0
0.5499999999999998 -0.9 1.1124999999999998 0.0
0.6599999999999997 -0.9 1.2455999999999996 0.0
0.77 -0.9 1.4029 0.0
0.8799999999999999 -0.9 1.5844 0.0
0.9899999999999998 -0.9 1.7900999999999996 0.0
1.0999999999999996 -0.9 2.0199999999999996 0.0
1.21 -0.9 2.2741 0.0
1.3199999999999998 -0.9 2.5523999999999996 0.0
1.4299999999999997 -0.9 2.8548999999999993 0.0
1.54 -0.9 3.1816 0.0
1.65 -0.9 3.5324999999999998 0.0
1.7599999999999998 -0.9 3.9075999999999995 0.0
1.87 -0.9 4.306900000000001 0.0
1.9799999999999995 -0.9 4.730399999999998 0.0
2.09 -0.9 5.178099999999999 0.0
-2.2 0.0 4.840000000000001 0.0
-2.0900000000000003 0.0 4.368100000000001 0.0
-1.9800000000000002 0.0 3.9204000000000008 0.0
-1.87 0.0 3.4969000000000006 0.0
-1.7600000000000002 0.0 3.097600000000001 0.0
-1.6500000000000001 0.0 2.7225000000000006 0.0
-1.54 0.0 2.3716 0.0
-1.4300000000000002 0.0 2.0449000000000006 0.0
-1.3200000000000003 0.0 1.7424000000000008 0.0
-1.2100000000000002 0.0 1.4641000000000004 0.0
-1.1 0.0 1.2100000000000002 0.0
-0.9900000000000002 0.0 0.9801000000000004 0.0
-0.8800000000000001 0.0 0.7744000000000002 0.0
-0.7700000000000002 0.0 0.5929000000000003 0.0
-0.6600000000000001 0.0 0.4356000000000002 0.0
-0.5500000000000003 0.0 0.30250000000000027 0.0
-0.44000000000000017 0.0 0.19360000000000016 0.0
-0.33000000000000007 0.0 0.10890000000000005 0.0
-0.2200000000000002 0.0 0.04840000000000009 0.0
-0.11000000000000032 0.0 0.01210000000000007 0.0
0.0 0.0 0.0 0.0
0.10999999999999988 0.0 0.012099999999999972 0.0
0.21999999999999975 0.0 0.04839999999999989 0.0
0.3299999999999996 0.0 0.10889999999999975 0.0
0.43999999999999995 0.0 0.19359999999999997 0.0
0.5499999999999998 0.0 0.3024999999999998 0.0
0.6599999999999997 0.0 0.4355999999999996 0.0
0.77 0.0 0.5929 0.0
0.8799999999999999 0.0 0.7743999999999999 0.0
0.9899999999999998 0.0 0.9800999999999995 0.0
1.0999999999999996 0.0 1.2099999999999993 0.0
1.21 0.0 1.4641 0.0
1.3199999999999998 0.0 1.7423999999999995 0.0
1.4299999999999997 0.0 2.0448999999999993 0.0
1.54 0.0 2.3716 0.0
1.65 0.0 2.7224999999999997 0.0
1.7599999999999998 0.0 3.0975999999999995 0.0
1.87 0.0 3.4969000000000006 0.0
1.9799999999999995 0.0 3.920399999999998 0.0
2.09 0.0 4.368099999999999 0.0
