z_re,z_im,w_re,w_im
-2.087372450870853324e+00,-3.903971173268514061e+00,-2.087372450870853324e+00,-3.903971173268514061e+00
3.300638196909095434e+00,-8.344968586395911103e-01,3.300638196909095434e+00,-8.344968586395911103e-01
-3.202399736354543780e+00,3.371272715114963514e+00,-3.202399736354543780e+00,3.371272715114963514e+00
-3.756747176844894565e+00,1.911727784940643771e+00,-3.756747176844894565e+00,1.911727784940643771e+00
6.967402693719173534e-01,-1.693415533228821213e+00,6.967402693719173534e-01,-1.693415533228821213e+00
-4.938161751684218892e+00,-1.788677233108906250e-01,-4.938161751684218892e+00,-1.788677233108906250e-01
-3.701070356844298193e-01,-4.376626190394986793e+00,-3.701070356844298193e-01,-4.376626190394986793e+00
-4.317400866291412065e+00,1.116925017672258713e+00,-4.317400866291412065e+00,1.116925017672258713e+00
4.389478869335917133e-01,1.992842264059148549e+00,4.389478869335917133e-01,1.992842264059148549e+00
-1.037892465567714223e-01,-3.443083754885799319e+00,-1.037892465567714223e-01,-3.443083754885799319e+00
2.144031782086975202e+00,2.316629772212007499e+00,2.144031782086975202e+00,2.316629772212007499e+00
1.530771813450236163e+00,4.572373997843542703e+00,1.530771813450236163e+00,4.572373997843542703e+00
-2.838234023089557745e+00,-2.904082357183512375e+00,-2.838234023089557745e+00,-2.904082357183512375e+00
-7.816515086621896036e-02,-4.556131677457283757e+00,-7.816515086621896036e-02,-4.556131677457283757e+00
2.698513096525537946e+00,-2.101670260615660979e+00,2.698513096525537946e+00,-2.101670260615660979e+00
-3.615132739809973628e-01,2.530265896420225147e+00,-3.615132739809973628e-01,2.530265896420225147e+00
2.908369574320790019e+00,2.428389665370041417e+00,2.908369574320790019e+00,2.428389665370041417e+00
1.559556287033160515e+00,-4.419921552752624216e-01,1.559556287033160515e+00,-4.419921552752624216e-01
2.582152659562658492e+00,3.770053524209731943e+00,2.582152659562658492e+00,3.770053524209731943e+00
1.299654276852690193e+00,3.809015455295247321e+00,1.299654276852690193e+00,3.809015455295247321e+00
-1.125671729052849956e+00,4.236952315887139164e+00,-1.125671729052849956e+00,4.236952315887139164e+00
-3.041701140635221456e+00,-5.681887841570983921e-01,-3.041701140635221456e+00,-5.681887841570983921e-01
3.652774235563978511e+00,-3.310135408405099344e+00,3.652774235563978511e+00,-3.310135408405099344e+00
3.137031337653063967e-01,-4.727309207219583698e+00,3.137031337653063967e-01,-4.727309207219583698e+00
-1.153609202130239542e+00,-4.286386057050934006e+00,-1.153609202130239542e+00,-4.286386057050934006e+00
1.086572535982403220e+00,2.138513185589736576e+00,1.086572535982403220e+00,2.138513185589736576e+00
-2.192015791015253789e+00,2.729657846417124389e+00,-2.192015791015253789e+00,2.729657846417124389e+00
-1.452574512594398737e+00,1.983123250366556345e-01,-1.452574512594398737e+00,1.983123250366556345e-01
1.314847603704988543e+00,1.749516766343059082e+00,1.314847603704988543e+00,1.749516766343059082e+00
-6.123102045351469513e-01,4.129253997217134931e+00,-6.123102045351469513e-01,4.129253997217134931e+00
-1.557988888201204514e+00,4.058709677354199741e+00,-1.557988888201204514e+00,4.058709677354199741e+00
3.430071307260035063e+00,3.529613953105632529e+00,3.430071307260035063e+00,3.529613953105632529e+00
-2.834115563116528236e+00,-9.255811531179599649e-01,-2.834115563116528236e+00,-9.255811531179599649e-01
-8.797480284284719954e-01,-3.030116207580906718e+00,-8.797480284284719954e-01,-3.030116207580906718e+00
3.177050013021172514e+00,1.493339618012523129e+00,3.177050013021172514e+00,1.493339618012523129e+00
