target,noise_level,route,fp_rate,reps
holo_control,0.0,A_emlstar,0.0,3
holo_control,0.0,B_re,0.0,3
holo_control,0.01,A_emlstar,0.0,3
holo_control,0.01,B_re,0.0,3
holo_control,0.05,A_emlstar,0.0,3
holo_control,0.05,B_re,0.0,3
holo_control,0.1,A_emlstar,0.0,3
holo_control,0.1,B_re,0.0,3
holo_control,0.2,A_emlstar,0.0,3
holo_control,0.2,B_re,0.0,3
exp,0.0,A_emlstar,0.0,3
exp,0.0,B_re,0.0,3
exp,0.01,A_emlstar,0.0,3
exp,0.01,B_re,0.0,3
exp,0.05,A_emlstar,0.0,3
exp,0.05,B_re,0.0,3
exp,0.1,A_emlstar,0.0,3
exp,0.1,B_re,0.0,3
exp,0.2,A_emlstar,0.0,3
exp,0.2,B_re,0.0,3
inv,0.0,A_emlstar,0.0,3
inv,0.0,B_re,0.0,3
inv,0.01,A_emlstar,0.0,3
inv,0.01,B_re,0.0,3
inv,0.05,A_emlstar,0.0,3
inv,0.05,B_re,0.0,3
inv,0.1,A_emlstar,0.0,3
inv,0.1,B_re,0.0,3
inv,0.2,A_emlstar,0.0,3
inv,0.2,B_re,0.0,3
