Complexity,Loss,Equation
1,45.19348493490633,"-0.8175242529285536 + 0.05945227583715329im"
2,44.44481269487959,"log(x1)"
3,24.764696209340933,"my_real(exp(x0))"
5,23.760790109114517,"my_real(exp(x0)) - x0"
6,23.265365350697525,"log(x1) + my_real(exp(x0))"
7,4.179740743640395,"exp(my_real(x0 + x0) - x0)"
8,4.178963459360002,"my_real(exp(x0 + (0.6942789918275988 + 0.0029699843301595574im))) - exp(x0)"
9,3.610177684864461,"exp(my_real(x0 + x0) - x0) + (-0.7542646497474929 + 0.02545381945458114im)"
10,3.2853863375500496,"log(x1) + exp(my_real(x0 + x0) - x0)"
11,3.1499893302776116,"exp(my_real(x0 + x0) - x0) + log(log(x1))"
12,1.0097256901431915,"(log(x1) - (1.5085292994822335 + 7.189471240565126e-12im)) + exp(my_real(x0 + x0) - x0)"
13,1.0057218579322758,"(my_real(exp(x0 + (0.6932308510311104 + 0.007081373041391239im)) + (-1.5090034335483424 + 0.02931024673514169im)) + log(x1)) - exp(x0)"
14,0.8205693001071201,"log(x1) + (my_real(exp(x0 + (0.6942789918077629 + 0.0029699843437952958im)) - log(x1)) - exp(x0))"
16,1.3204357434714986e-20,"log(x1) + (my_real(exp(x0 + (0.6931471805497185 - 8.152143220034458e-12im)) - log(x1 * x1)) - exp(x0))"
17,4.2234175760682596e-31,"(my_real((exp(x0) + exp(x0)) - log(x1 * x1)) + log(x1)) - exp(x0)"
19,1.195877610944642e-31,"log(x1) + (my_real(my_real(exp(x0) + ((exp(x0) - log(x1)) - log(x1)))) - exp(x0))"
