z_re,z_im,w_re,w_im
1.095824194223853354e+00,-2.444862409917907264e-01,1.141057142612061481e+00,5.358278760672957608e-01
1.434391679645529827e+00,7.894721162374556123e-01,1.434213268319877610e+00,-2.264824469686309794e+00
1.044558807961411873e+00,1.144257221107815248e+00,-2.182214847676138825e-01,-2.390487917763234549e+00
-1.487545469297816503e+00,-1.984562484177314623e-01,2.173406640692420844e+00,-5.904253863752767506e-01
-5.168079030696750564e-01,1.707059955394407247e+00,-2.646963282635881320e+00,1.764444151923193260e+00
5.754604803226581744e-01,1.291046453083319889e+00,-1.335646179605836537e+00,-1.485892424020382796e+00
-2.263432046906754813e-01,-1.091045112860892452e+00,-1.139148191987992664e+00,-4.939012946140682314e-01
2.183391480633392057e-01,-1.744730975583298704e+00,-2.996414193582824126e+00,7.618861496171522862e-01
1.310524687970328284e+00,5.266575964882593830e-01,1.440106733840936126e+00,-1.380395564609958381e+00
1.032350960341495316e+00,-5.818961274805265482e-01,7.271454021411744018e-01,1.201442052047037468e+00
1.113533988295047461e+00,-1.221445168592129704e+00,-2.519703567887813245e-01,2.720241420132221588e+00
-1.331159850918632870e-01,-1.824784936851084893e+00,-3.312120200271640780e+00,-4.858160888994514370e-01
-1.382842031729808685e+00,7.321958129698185047e-01,1.376141376188091847e+00,2.025022291262485563e+00
-6.966985674473922252e-01,-5.181611758605244589e-01,2.168978897140872164e-01,-7.220042978577673187e-01
-1.217767548967683133e-01,-1.242114563662857218e+00,-1.528019011230182578e+00,-3.025213615457561511e-01
-1.480313978658113427e+00,-9.718029509626502360e-02,2.181885465655616141e+00,-2.877146985622432429e-01
-1.092362603796463549e+00,6.792559787300413987e-01,7.318673735324831009e-01,1.483987659139726523e+00
-2.513923245106770565e-01,1.330712784231349755e+00,-1.707598413293869299e+00,6.690619601679881345e-01
8.010604080089964718e-01,-7.505334344718357364e-01,7.839734101945060318e-02,1.202445238484804335e+00
1.329039205580804239e+00,1.219057429987207453e+00,2.802441923638399612e-01,-3.240350236615149981e+00
-4.500864838793021683e-01,-8.466875842790235751e-01,-5.143020224014153152e-01,-7.621652755048120564e-01
7.299820158999019704e-01,-1.440990065562760769e+00,-1.543578625513284619e+00,2.103793665902471854e+00
1.147697510008553579e+00,6.594034263681285424e-01,8.823966957738059724e-01,-1.513591341067619389e+00
8.206615145053404170e-01,1.122916124087871559e+00,-5.874553003463292011e-01,-1.843068094112838784e+00
