z_re,z_im,w_re,w_im
6.091970508036426146e-01,5.841481803827921482e-01,9.996862934486586694e-01,0.000000000000000000e+00
-1.824898705444013558e+00,1.468199233592947905e+00,-9.885450107547202325e-01,0.000000000000000000e+00
-1.919881652503132585e+00,1.512887084923355108e+00,-9.579069090916692009e-01,0.000000000000000000e+00
1.356850330044120145e+00,1.588684081434825757e+00,9.732467040924859258e-01,0.000000000000000000e+00
3.485721903522338572e-01,-1.661126842764062417e-01,8.704478893109330873e-01,0.000000000000000000e+00
-1.101179079185502285e+00,1.992528673197844213e+00,-9.988537371715986435e-01,0.000000000000000000e+00
1.007169087274462083e+00,5.280845994258704934e-01,8.874173154437874356e-01,0.000000000000000000e+00
-9.452312100865012390e-01,6.576617366954922161e-01,-3.209110931867328875e-02,0.000000000000000000e+00
-3.200883611349278901e-01,-1.170852930097735722e+00,6.594085473590640678e-01,0.000000000000000000e+00
-1.958744519955644137e-01,-1.632574745710393849e+00,1.336945141143662252e-01,0.000000000000000000e+00
1.821258316884950546e+00,9.134978675498572898e-02,-1.584416868537297518e-01,0.000000000000000000e+00
1.567606676732170801e+00,-1.322707992106691766e+00,-9.685954520738759843e-01,0.000000000000000000e+00
-8.854678979242258663e-01,1.048142772839182779e+00,-3.549067702801872448e-01,0.000000000000000000e+00
-8.858628088824973545e-01,-1.441134336674852356e+00,8.497573291901391324e-01,0.000000000000000000e+00
-3.120017006109487845e-01,-7.044441816220028407e-01,9.239776989261924145e-01,0.000000000000000000e+00
-1.983689100056045262e+00,-1.061406207890590814e+00,6.040023068714114318e-01,0.000000000000000000e+00
-7.643049290194952050e-01,7.748931154547329392e-01,3.159302435805601272e-02,0.000000000000000000e+00
1.807016065854457842e+00,4.691064743959407757e-01,2.307872869246144210e-01,0.000000000000000000e+00
1.352819113073917556e+00,-1.231641789538260312e-01,9.467104479116711380e-02,0.000000000000000000e+00
1.405130283904161281e-01,-8.659806615093263993e-01,5.348267009397670302e-01,0.000000000000000000e+00
-5.804581617004966887e-02,-7.849869835279257302e-01,7.472107556780547277e-01,0.000000000000000000e+00
1.780506720603153958e+00,1.158005128132980399e+00,8.124223983859590881e-01,0.000000000000000000e+00
3.726967498566553516e-01,3.978911211124827041e-01,9.996826386163072398e-01,0.000000000000000000e+00
1.771471674274841313e+00,-8.071760878792120231e-01,-8.456871537305458153e-01,0.000000000000000000e+00
1.991526977096481854e+00,-6.085178390050525188e-01,-8.569118552702369440e-01,0.000000000000000000e+00
-1.864941382737215214e+00,-1.245421288384983782e+00,8.141572049849843395e-01,0.000000000000000000e+00
-1.525757591630612531e+00,-8.269013381439780375e-01,7.655785085910418175e-01,0.000000000000000000e+00
1.044795351907388259e+00,-8.457172916427242448e-01,-3.142972657787059254e-01,0.000000000000000000e+00
-1.495450124026775907e+00,9.562733835261516546e-02,-2.027974525856274940e-02,0.000000000000000000e+00
-6.326285795257402533e-01,1.214851691521732224e+00,-2.731672215618237698e-01,0.000000000000000000e+00
-7.999228408141121349e-01,1.815489546610510985e+00,-8.647317742990605627e-01,0.000000000000000000e+00
2.041803623588918093e-01,1.081526115943520328e+00,6.391946283318045152e-01,0.000000000000000000e+00
-1.797520950806252849e+00,-1.977917744655597332e-01,-2.892881305284955226e-02,0.000000000000000000e+00
-1.961184826898496603e-01,-1.431105393278365057e+00,3.295334831032139533e-01,0.000000000000000000e+00
2.216662486452887215e-01,1.199388897478209426e+00,5.589124348370319018e-01,0.000000000000000000e+00
-1.523317902712565175e+00,-1.863825120164907645e+00,9.425853937913054592e-01,0.000000000000000000e+00
-6.342996559102469512e-01,-1.916022554906325670e+00,2.850642203447416589e-01,0.000000000000000000e+00
1.820699661258995405e-02,-6.190818860644018429e-01,8.037118750440680470e-01,0.000000000000000000e+00
-7.841395577104464110e-01,5.624890493325129803e-01,2.222949830723530695e-01,0.000000000000000000e+00
-3.286546593874875022e-01,5.054411656401551767e-01,6.718476699667895735e-01,0.000000000000000000e+00
-3.417559934155485202e-01,3.724929171069324418e-01,7.555854555208079137e-01,0.000000000000000000e+00
-1.626744631372581296e+00,-1.035196435056259467e+00,8.300783275124693494e-01,0.000000000000000000e+00
3.519856023572724979e-01,9.146280065828151784e-01,8.458485460998839134e-01,0.000000000000000000e+00
-1.703776553710434349e+00,-1.198421217488800483e+00,8.750025048705358799e-01,0.000000000000000000e+00
3.220777275691215635e-01,1.214842241860090155e-01,9.799484943158253136e-01,0.000000000000000000e+00
-1.668513936171211132e+00,1.390567672239734875e+00,-9.965978945173741277e-01,0.000000000000000000e+00
1.564952706212485722e-01,-7.370469734412425922e-01,6.266555057788425476e-01,0.000000000000000000e+00
1.403075931716627700e+00,-3.827869865627109291e-01,-2.134124861360525705e-01,0.000000000000000000e+00
-8.448149587535009886e-01,-3.174145098827372280e-01,8.641183135232558543e-01,0.000000000000000000e+00
-1.669020573246271066e+00,1.487116658597387175e+00,-9.998942294863281122e-01,0.000000000000000000e+00
-7.180796310541337490e-01,-1.425638064333770938e+00,7.599511096613223993e-01,0.000000000000000000e+00
-3.020032260504268429e-01,-1.543840618822856392e+00,3.230579604737453536e-01,0.000000000000000000e+00
4.486624269191881176e-01,-6.938110440998093154e-01,4.153457501972948607e-01,0.000000000000000000e+00
-1.393872678401282261e+00,5.432444852740720975e-01,-3.581828078641917101e-01,0.000000000000000000e+00
-1.984154545105524470e+00,1.724309719973637023e+00,-8.435850313488006957e-01,0.000000000000000000e+00
1.372329253707223362e+00,-7.074854840713085125e-01,-4.873203354141615318e-01,0.000000000000000000e+00
-1.796427281800165865e-01,-7.156311681576354999e-02,9.941650820274354761e-01,0.000000000000000000e+00
2.945224352848492266e-01,-1.875970094832912771e-01,8.860142158440783566e-01,0.000000000000000000e+00
1.205312652225806858e+00,1.701555366058649099e-02,3.732402534596488963e-01,0.000000000000000000e+00
1.052988151700686714e+00,-1.129938407536341671e+00,-5.746121997743265375e-01,0.000000000000000000e+00
1.447736260599605806e+00,-1.447381548498426707e+00,-9.697785371379629149e-01,0.000000000000000000e+00
-7.121958533172727535e-01,-6.331068741199170624e-01,9.968740965889948402e-01,0.000000000000000000e+00
-1.224821786242616284e+00,-1.399282315325415027e+00,9.848203218851346863e-01,0.000000000000000000e+00
-1.949185671141473897e+00,-5.311095763453401730e-01,1.521272629866208537e-01,0.000000000000000000e+00
-4.157717951775459220e-01,-1.415204563030396656e-01,9.626282245281808647e-01,0.000000000000000000e+00
4.260205542163046921e-01,-7.868491598762461514e-01,3.503330008775671356e-01,0.000000000000000000e+00
2.660705249384252014e-01,-1.913716511961907507e+00,-5.720399059991176927e-01,0.000000000000000000e+00
1.515264876932558735e+00,-1.354247790653916095e+00,-9.632140143105801799e-01,0.000000000000000000e+00
1.311113292256764762e+00,-4.132279189192518132e-01,-1.529422653492173434e-01,0.000000000000000000e+00
-1.385884201681975014e-02,-1.300568548231914257e+00,2.802807989338045314e-01,0.000000000000000000e+00
-1.509235886697684936e+00,-5.613468630870008802e-01,5.833988930600907397e-01,0.000000000000000000e+00
2.306407260387999258e-03,-1.484522157081075378e+00,8.386912692218641274e-02,0.000000000000000000e+00
1.677944356398728853e+00,3.868579746291413990e-01,2.760768780320255744e-01,0.000000000000000000e+00
1.523423244316190583e+00,5.278257076747014942e-01,5.440016031035780353e-01,0.000000000000000000e+00
6.963023732255884113e-01,1.952487211159243063e+00,3.094470528710077661e-01,0.000000000000000000e+00
6.356229590801287799e-01,-3.425433512138162939e-01,5.585444839209317003e-01,0.000000000000000000e+00
1.316128475115997620e+00,8.344379202416529751e-01,8.862129926103516908e-01,0.000000000000000000e+00
7.481536426991031163e-01,-1.936322809719386751e+00,-8.973290268657189150e-01,0.000000000000000000e+00
4.967714039730171116e-01,1.086110206536906375e+00,8.313083619190935192e-01,0.000000000000000000e+00
-3.929536396957273858e-01,-9.130672570399420707e-01,8.677627198748206760e-01,0.000000000000000000e+00
-4.019729497437101173e-01,1.454482127955004866e+00,-2.817895682260965207e-01,0.000000000000000000e+00
-5.462584831130223861e-02,-1.811443819165004854e+00,-1.849506483362963749e-01,0.000000000000000000e+00
1.526919595786528472e+00,-1.853522059937114275e+00,-9.716109265951125007e-01,0.000000000000000000e+00
5.661073552751094695e-01,-3.938673162893158164e-02,8.222209793550465662e-01,0.000000000000000000e+00
1.301859761541573235e+00,-1.737632432289345275e+00,-9.947922744138094631e-01,0.000000000000000000e+00
1.072359223610730439e-02,1.659184912562580827e+00,-7.758693979472171265e-02,0.000000000000000000e+00
1.458617316514154716e-01,1.045989784378873910e+00,6.215096560272441728e-01,0.000000000000000000e+00
7.951718219947458977e-01,-1.763616052661863609e+00,-8.349222758040127923e-01,0.000000000000000000e+00
7.783051123725823750e-01,3.310851357195834233e-01,9.016528355711772580e-01,0.000000000000000000e+00
-1.122106171675335329e+00,1.627312828071739048e+00,-9.240804775076756350e-01,0.000000000000000000e+00
1.707738943667953535e+00,1.840221908707381893e+00,9.912369604563080472e-01,0.000000000000000000e+00
-1.101305267923721853e+00,1.874085673794342988e+00,-9.862202591688232767e-01,0.000000000000000000e+00
6.326971560324889943e-01,2.417810768854646852e-01,9.245603891347131675e-01,0.000000000000000000e+00
-5.505797586979181979e-01,-1.646652365645979277e+00,4.570927357982559891e-01,0.000000000000000000e+00
-8.739947223062078940e-01,-3.997419131676913651e-01,8.896341924562433112e-01,0.000000000000000000e+00
1.972903975189326697e+00,-1.973982529946330278e+00,-6.928993879015037383e-01,0.000000000000000000e+00
7.181234129436040448e-01,-2.762238107785401908e-01,5.450502954029430303e-01,0.000000000000000000e+00
-8.665628008960624129e-01,1.311815527835048290e+00,-5.708838800161528670e-01,0.000000000000000000e+00
9.087560899837967554e-01,1.269490450497571477e+00,9.356378750565308433e-01,0.000000000000000000e+00
1.010604175280975348e+00,-1.943644196086031783e+00,-9.825023274966558917e-01,0.000000000000000000e+00
-5.485259732701668334e-01,5.501278182003876971e-01,4.547954609918776758e-01,0.000000000000000000e+00
1.732658656650453377e+00,-1.667373343222229742e+00,-9.667900148017355422e-01,0.000000000000000000e+00
1.877940524176561432e+00,1.451018106986665668e+00,9.102443974268209503e-01,0.000000000000000000e+00
-9.383100143054141640e-01,1.914114689900757060e+00,-9.584814705103564814e-01,0.000000000000000000e+00
9.227548721894072159e-01,-1.395384762346422836e+00,-6.796924846495384642e-01,0.000000000000000000e+00
-1.192398378283050508e+00,1.396761723569244218e+00,-8.512505372627175992e-01,0.000000000000000000e+00
-1.126323133955416278e+00,1.009487160468588662e+00,-5.354276128592744266e-01,0.000000000000000000e+00
1.090579743466539409e+00,-1.603199951474048479e+00,-9.013962357177283113e-01,0.000000000000000000e+00
1.780863050187144747e+00,5.698477060362732161e-01,3.520692471798902434e-01,0.000000000000000000e+00
-1.611698240100833956e-02,-1.414797186596450373e+00,1.712675869123629901e-01,0.000000000000000000e+00
-7.438748168135398409e-01,-9.855632698704672734e-01,9.709352407358720072e-01,0.000000000000000000e+00
-8.707724067148250313e-01,1.733784647068665308e+00,-8.592290153378223660e-01,0.000000000000000000e+00
-1.848302998560646948e-01,1.556267771126332633e+00,-1.694797358351985694e-01,0.000000000000000000e+00
5.611226532892610308e-01,1.493364597594730281e+00,5.960352940811124434e-01,0.000000000000000000e+00
1.675958279660371364e+00,1.232498936044127191e+00,9.032727815868999421e-01,0.000000000000000000e+00
9.900763559015430815e-01,-1.312731273416569699e-01,4.344673794697861413e-01,0.000000000000000000e+00
1.518242347577063889e+00,1.374049811943914179e+00,9.896222557697208488e-01,0.000000000000000000e+00
1.035341167586250943e+00,-2.403239028661330323e-01,2.908654339685253221e-01,0.000000000000000000e+00
-2.784305032936815749e-01,8.964900147667158592e-01,3.856164095760771238e-01,0.000000000000000000e+00
1.813812085517383821e+00,1.798454551112525390e+00,9.998820753862770472e-01,0.000000000000000000e+00
4.281019312815326217e-01,-3.611796919034331310e-01,7.043554353146871394e-01,0.000000000000000000e+00
-1.871878803678792558e-01,6.961087439114201914e-01,6.346068501088987235e-01,0.000000000000000000e+00
7.143906373920412278e-01,1.286141590051795180e+00,8.409548149095525948e-01,0.000000000000000000e+00
1.013801037495165591e+00,-6.614907135885057521e-01,-1.043053587162413726e-01,0.000000000000000000e+00
2.853817042700992346e-01,1.174768007552312366e+00,6.298887943989772698e-01,0.000000000000000000e+00
-6.660151442720341208e-02,1.131953377369649516e+00,3.637042729740451175e-01,0.000000000000000000e+00
1.655535148630945308e+00,1.073561829485861985e+00,8.353795959031752316e-01,0.000000000000000000e+00
3.163522041136435092e-02,-6.452379377748682643e-01,7.795350506513077926e-01,0.000000000000000000e+00
1.522025215327564851e-01,-6.142095755911145538e-01,7.204037090330751569e-01,0.000000000000000000e+00
1.746567517439455042e+00,9.798612500724548369e-01,7.201996546314793912e-01,0.000000000000000000e+00
1.844595491491563433e+00,9.620313691098472120e-01,6.351727830091249416e-01,0.000000000000000000e+00
6.072344314900588458e-01,-9.917503193351082658e-01,-2.818469115152636914e-02,0.000000000000000000e+00
-2.871545797294521307e-01,3.074947919396500140e-01,8.283449781782251664e-01,0.000000000000000000e+00
-1.421149500179679670e+00,-7.043918071450407936e-01,7.539397012139631427e-01,0.000000000000000000e+00
-1.602019020842017749e+00,3.686996975677825361e-01,-3.893468590796571593e-01,0.000000000000000000e+00
-7.824610025982825512e-01,7.113233131480134475e-01,7.693590917390459583e-02,0.000000000000000000e+00
-1.960149030883881593e+00,3.030838343638100341e-01,-6.384144614642640603e-01,0.000000000000000000e+00
1.392551080359059057e+00,-1.079912833236294389e+00,-7.843624085697755710e-01,0.000000000000000000e+00
-1.105177542780444444e+00,-1.137353320863279560e+00,9.994824043094292509e-01,0.000000000000000000e+00
-1.362300441615412527e+00,-6.980313730446434661e-01,7.873676027927043464e-01,0.000000000000000000e+00
-3.194385012592304562e-02,-8.740185315858086668e-01,6.659164931936973897e-01,0.000000000000000000e+00
5.569345904703126848e-01,-3.135465178160172783e-01,6.444587476416563376e-01,0.000000000000000000e+00
-1.838636924372145209e+00,4.756686875745024246e-01,-6.768752511059565879e-01,0.000000000000000000e+00
-1.490426969809008906e+00,1.454478812052516279e+00,-9.807194146118682898e-01,0.000000000000000000e+00
1.839246194328305606e+00,3.096923880675608309e-01,4.123082964852216314e-02,0.000000000000000000e+00
4.401852925964120367e-01,-1.702949599715614326e+00,-5.415994119356322134e-01,0.000000000000000000e+00
1.731809809670620925e+00,1.434822621821400190e+00,9.562224988390081171e-01,0.000000000000000000e+00
-1.156470883016370799e+00,-6.035166066947517116e-01,8.509766414944996971e-01,0.000000000000000000e+00
1.201316153912910689e+00,1.808575113267510748e+00,8.212151897413809687e-01,0.000000000000000000e+00
-1.414707152211280405e+00,4.807884505675712461e-01,-3.190237900907065827e-01,0.000000000000000000e+00
