z_re,z_im,w_re,w_im
-3.0,-3.0,-1.5695558473212303,-1.7485425024320818
-3.0,-2.8983050847457625,-1.5780994758848337,-1.7903421084183446
-3.0,-2.7966101694915255,-1.5868803667988205,-1.832508572705299
-3.0,-2.694915254237288,-1.5959015405653618,-1.8750208929363321
-3.0,-2.593220338983051,-1.6051655647721708,-1.917855663434328
-3.0,-2.4915254237288136,-1.6146744978748524,-1.9609869852173296
-3.0,-2.389830508474576,-1.6244298313705627,-2.004386389508447
-3.0,-2.288135593220339,-1.6344324309880434,-2.0480227777273674
-3.0,-2.1864406779661016,-1.6446824776403712,-2.0918623810870187
-3.0,-2.084745762711864,-1.6551794090090537,-2.1358687429913767
-3.0,-1.9830508474576272,-1.6659218627471049,-2.1800027274231195
-3.0,-1.8813559322033897,-1.6769076223992418,-2.2242225564072466
-3.0,-1.7796610169491525,-1.6881335672334412,-2.268483879424363
-3.0,-1.6779661016949152,-1.6995956272533594,-2.312739877312838
-3.0,-1.5762711864406778,-1.7112887447087872,-2.35694140273388
-3.0,-1.4745762711864405,-1.7232068434346308,-2.4010371586738524
-3.0,-1.3728813559322033,-1.7353428073217825,-2.444973915726468
-3.0,-1.271186440677966,-1.7476884691504124,-2.4886967680433036
-3.0,-1.1694915254237288,-1.7602346108939138,-2.532149426882335
-3.0,-1.0677966101694913,-1.772970976428442,-2.575274549646961
-3.0,-0.9661016949152543,-1.7858862973593532,-2.6180141012264517
-3.0,-0.8644067796610169,-1.7989683324056296,-2.6603097433645253
-3.0,-0.7627118644067794,-1.8122039204731606,-2.702103246742495
-3.0,-0.6610169491525424,-1.8255790472071247,-2.7433369195171813
-3.0,-0.5593220338983049,-1.8390789244550039,-2.783954045251532
-3.0,-0.45762711864406747,-1.852688081709366,-2.8238993225642455
-3.0,-0.35593220338983045,-1.8663904682492545,-2.863119298443771
-3.0,-0.254237288135593,-1.8801695643770442,-2.9015627870515424
-3.0,-0.15254237288135553,1.6026384426853741,6.6668109472940955
-3.0,-0.05084745762711851,1.58875676501292,6.630062970789682
-3.0,0.05084745762711895,1.5748495428836848,6.594227630709751
-3.0,0.15254237288135597,1.5609339476046469,6.559343415978979
-3.0,0.25423728813559343,1.54702699890521,6.525444931901649
-3.0,0.3559322033898309,1.5331454438099013,6.492562712803007
-3.0,0.4576271186440679,1.5193056416297148,6.460723087994282
-3.0,0.5593220338983054,1.5055234569356601,6.42994810177885
-3.0,0.6610169491525424,1.4918141621046312,6.400255486848044
-3.0,0.7627118644067798,1.4781923507161134,6.371658689136572
-3.0,0.8644067796610173,1.4646718627436863,6.344166941066977
-3.0,0.9661016949152543,1.4512657221431877,6.317785379147178
-3.0,1.0677966101694913,1.4379860871042345,6.292515201119834
-3.0,1.1694915254237293,1.4248442129162497,6.268353857310023
-3.0,1.2711864406779663,1.411850427114846,6.245295270479376
-3.0,1.3728813559322033,1.3990141163270606,6.223330078360929
-3.0,1.4745762711864412,1.386343724029797,6.202445893101542
-3.0,1.5762711864406782,1.3738467582771905,6.182627572053329
-3.0,1.6779661016949152,1.3615298083396037,6.163857494703544
-3.0,1.7796610169491531,1.349398569127449,6.146115840983478
-3.0,1.8813559322033901,1.3374578722434323,6.1293808667206715
-3.0,1.9830508474576272,1.3257117225122628,6.1136291725663865
-3.0,2.084745762711865,1.3141633388719294,6.098835963316012
-3.0,2.186440677966102,1.3028151985694503,6.084975295121531
-3.0,2.288135593220339,1.2916690836808555,6.072020308654256
-3.0,2.389830508474577,1.280726129064614,6.059943446798666
-3.0,2.491525423728814,1.269986870954856,6.048716655934344
-3.0,2.593220338983051,1.25945129550129,6.038311570286318
-3.0,2.694915254237289,1.2491188866630538,6.028699679191389
-3.0,2.796610169491526,1.238988672961094,6.019852477438771
-3.0,2.898305084745763,1.229059272685694,6.011741599099031
-3.0,3.0,1.219328937241074,6.004338935459209
-2.8983050847457625,-3.0,-1.5614235248336543,-1.7537701807479928
-2.8983050847457625,-2.8983050847457625,-1.570021904568125,-1.7963682368192366
-2.8983050847457625,-2.7966101694915255,-1.5788674350184215,-1.8393653885628969
-2.8983050847457625,-2.694915254237288,-1.5879636596899704,-1.8827406185826625
-2.8983050847457625,-2.593220338983051,-1.5973136597587354,-1.926470321931564
-2.8983050847457625,-2.4915254237288136,-1.60691999177222,-1.9705281961569674
-2.8983050847457625,-2.389830508474576,-1.6167846231032739,-2.014885145012487
-2.8983050847457625,-2.288135593220339,-1.626908865817664,-2.0595091992717434
-2.8983050847457625,-2.1864406779661016,-1.6372933097617919,-2.1043654582822535
-2.8983050847457625,-2.084745762711864,-1.6479377558262653,-2.149416056032259
-2.8983050847457625,-1.9830508474576272,-1.6588411504893732,-2.1946201555488
-2.8983050847457625,-1.8813559322033897,-1.6700015228856389,-2.239933975381554
-2.8983050847457625,-1.7796610169491525,-1.681415925771554,-2.2853108517342946
-2.8983050847457625,-1.6779661016949152,-1.6930803818652462,-2.3307013394669935
-2.8983050847457625,-1.5762711864406778,-1.704989837110638,-2.376053354693134
-2.8983050847457625,-1.4745762711864405,-1.7171381224510482,-2.4213123610310543
-2.8983050847457625,-1.3728813559322033,-1.729517925683692,-2.466421600734637
-2.8983050847457625,-1.271186440677966,-1.7421207748980891,-2.511322370936326
-2.8983050847457625,-1.1694915254237288,-1.7549370348723254,-2.555954344103149
-2.8983050847457625,-1.0677966101694913,-1.7679559176084583,-2.600255930564301
-2.8983050847457625,-0.9661016949152543,-1.781165507932041,-2.644164679657747
-2.8983050847457625,-0.8644067796610169,-1.7945528047644874,-2.687617714714025
-2.8983050847457625,-0.7627118644067794,-1.8081037783082232,-2.7305521958066716
-2.8983050847457625,-0.6610169491525424,-1.8218034429748782,-2.7729058030139404
-2.8983050847457625,-0.5593220338983049,-1.8356359454511733,-2.81461723192027
-2.8983050847457625,-0.45762711864406747,-1.849584666853822,-2.8556266922992948
-2.8983050847457625,-0.35593220338983045,-1.8636323374937147,-2.8958764004160886
-2.8983050847457625,-0.254237288135593,-1.8777611623717823,-2.9353110552048856
-2.8983050847457625,-0.15254237288135553,1.604693987370657,6.632113924546889
-2.8983050847457625,-0.05084745762711851,1.5904576642129054,6.594463131326153
-2.8983050847457625,0.05084745762711895,1.5761953562349178,6.557774075902615
-2.8983050847457625,0.15254237288135597,1.5619255729927424,6.522088011460751
-2.8983050847457625,0.25423728813559343,1.5476666463817264,6.48744187986998
-2.8983050847457625,0.3559322033898309,1.5334365938197527,6.453868104421146
-2.8983050847457625,0.4576271186440679,1.5192529887700217,6.421394444703925
-2.8983050847457625,0.5593220338983054,1.505132840790871,6.39004391429509
-2.8983050847457625,0.6610169491525424,1.4910924869592863,6.359834760264954
-2.8983050847457625,0.7627118644067798,1.4771474961285846,6.3307805019688335
-2.8983050847457625,0.8644067796610173,1.4633125870690675,6.302890025231279
-2.8983050847457625,0.9661016949152543,1.4496015611227215,6.276167726898013
