z_re,z_im,w_re,w_im
-3.0,-3.0,2.151442666024228,-1.198151665827527
-3.0,-2.8983050847457625,2.1500797419085558,-1.2150582923308277
-3.0,-2.7966101694915255,2.1490005131711625,-1.2321790235983854
-3.0,-2.694915254237288,2.148218988780898,-1.2495083266867235
-3.0,-2.593220338983051,2.1477493258710334,-1.2670397121010426
-3.0,-2.4915254237288136,2.1476057637588495,-1.2847656820802824
-3.0,-2.389830508474576,2.147802549569218,-1.3026776825716229
-3.0,-2.288135593220339,2.1483538553911146,-1.320766060108581
-3.0,-2.1864406779661016,2.149273687061801,-1.3390200248997763
-3.0,-2.084745762711864,2.1505757848668994,-1.357427621508273
-3.0,-1.9830508474576272,2.1522735166643203,-1.3759757085472664
-3.0,-1.8813559322033897,2.154379764182887,-1.3946499488296156
-3.0,-1.7796610169491525,2.156906803507634,-1.4134348113793336
-3.0,-1.6779661016949152,2.159866181036344,-1.4323135866360155
-3.0,-1.5762711864406778,2.1632685864670815,-1.4512684160528404
-3.0,-1.4745762711864405,2.167123724643699,-1.4702803371012778
-3.0,-1.3728813559322033,2.1714401883331775,-1.489329344449252
-3.0,-1.271186440677966,2.1762253342218525,-1.5083944677752297
-3.0,-1.1694915254237288,2.1814851645831537,-1.5274538663227673
-3.0,-1.0677966101694913,2.187224217173747,-1.5464849398961884
-3.0,-0.9661016949152543,2.193445465945586,-1.565464455559577
-3.0,-0.8644067796610169,2.20015023510817,-1.5843686888430635
-3.0,-0.7627118644067794,2.2073381289313976,-1.6031735778000722
-3.0,-0.6610169491525424,2.215006979442065,-1.62185488781688
-3.0,-0.5593220338983049,2.2231528138384284,-1.6403883846724665
-3.0,-0.45762711864406747,2.231769843034667,-1.6587500130031114
-3.0,-0.35593220338983045,2.2408504722631877,-1.6769160770617755
-3.0,-0.254237288135593,2.2503853341249167,-1.6948634204931619
-3.0,-0.15254237288135553,-0.21983645667819118,2.7937047613614157
-3.0,-0.05084745762711851,-0.20942802417378825,2.7762613010507002
-3.0,0.05084745762711895,-0.1986034376170791,2.7591010807868313
-3.0,0.15254237288135597,-0.18737839378471066,2.742243436361921
-3.0,0.25423728813559343,-0.17576988614339917,2.7257063928602747
-3.0,0.3559322033898309,-0.16379606004593206,2.7095065553310085
-3.0,0.4576271186440679,-0.15147605747895732,2.6936590190923546
-3.0,0.5593220338983054,-0.1388298544671862,2.6781773006531933
-3.0,0.6610169491525424,-0.12587809429495622,2.663073289686214
-3.0,0.7627118644067798,-0.11264191965613568,2.64835722194964
-3.0,0.8644067796610173,-0.09914280669574604,2.6340376725520414
-3.0,0.9661016949152543,-0.08540240367442853,2.6201215685056596
-3.0,1.0677966101694913,-0.07144237668609565,2.606614219131747
-3.0,1.1694915254237293,-0.05728426450796076,2.5935193625759707
-3.0,1.2711864406779663,-0.04294934427929986,2.580839226467534
-3.0,1.3728813559322033,-0.028458509308924906,2.568574600612433
-3.0,1.4745762711864412,-0.01383215991806419,2.5567249195455126
-3.0,1.5762711864406782,0.0009098921505239499,2.5452883527707435
-3.0,1.6779661016949152,0.01574850557327978,2.534261900585363
