z_re,z_im,w_re,w_im
-3.0,-3.0,1.4328156735011015,-4.696749801255704
-3.0,-2.8983050847457625,1.4195608756965585,-4.720132234805484
-3.0,-2.7966101694915255,1.4067444008206333,-4.743930801813954
-3.0,-2.694915254237288,1.3943938359145402,-4.768135216075394
-3.0,-2.593220338983051,1.3825375879675437,-4.792733430046119
-3.0,-2.4915254237288136,1.3712049378672213,-4.8177114491896535
-3.0,-2.389830508474576,1.3604260996117101,-4.843053095622295
-3.0,-2.288135593220339,1.350232276551514,-4.868739706732902
-3.0,-2.1864406779661016,1.3406557012373455,-4.894749752800999
-3.0,-2.084745762711864,1.3317296385396873,-4.921058356797619
-3.0,-1.9830508474576272,1.323488322784622,-4.947636700194218
-3.0,-1.8813559322033897,1.3159667885191688,-4.974451301704797
-3.0,-1.7796610169491525,1.3092005412049548,-5.001463162820926
-3.0,-1.6779661016949152,1.3032249991261653,-5.028626786620831
-3.0,-1.5762711864406778,1.2980746223955653,-5.055889096984114
-3.0,-1.4745762711864405,-2.8233531002557073,-1.0272462642610032
-3.0,-1.3728813559322033,-2.826760517803334,-1.0545108552346594
-3.0,-1.271186440677966,-2.8292606124232487,-1.08165868306516
-3.0,-1.1694915254237288,-2.830841143758826,-1.1085966408631713
-3.0,-1.0677966101694913,-2.831503111471883,-1.1352210441175616
-3.0,-0.9661016949152543,-2.8312650066641782,-1.1614191733149621
-3.0,-0.8644067796610169,-2.8301672619488834,-1.187072361991445
-3.0,-0.7627118644067794,-2.828276342190044,-1.2120609613988034
-3.0,-0.6610169491525424,-2.8256876723296984,-1.2362713107552399
-3.0,-0.5593220338983049,-2.8225264243294266,-1.2596044737742371
-3.0,-0.45762711864406747,-2.818945197097572,-1.2819859896886656
-3.0,-0.35593220338983045,-2.8151179329277305,-1.3033753373893617
-3.0,-0.254237288135593,-2.8112300607650975,-1.323773419242287
-3.0,-0.15254237288135553,-4.462009372733625,-2.0543045096140515
-3.0,-0.05084745762711851,-4.458537538570403,-2.072902576962171
-3.0,0.05084745762711895,-4.455499008524676,-2.0907739761905133
-3.0,0.15254237288135597,-4.452996682149358,-2.1080744090051864
-3.0,0.25423728813559343,-4.4510902828550805,-2.1249741505800563
-3.0,0.3559322033898309,-4.449795990853279,-2.1416447655558684
-3.0,0.4576271186440679,-4.449090354656697,-2.1582473504012336
-3.0,0.5593220338983054,-4.448917218858962,-2.1749235558597064
-3.0,0.6610169491525424,-4.449196200379672,-2.1917898869542154
-3.0,0.7627118644067798,-4.449831403339031,-2.2089351396179464
-3.0,0.8644067796610173,-4.450719419328308,-2.226420431295036
-3.0,0.9661016949152543,-4.45175605663758,-2.2442811205072712
-3.0,1.0677966101694913,-5.1387742409742785,3.100357091467875
-3.0,1.1694915254237293,0.34141689551197607,4.889588785646345
-3.0,1.2711864406779663,0.34049754109456476,4.870597338938934
-3.0,1.3728813559322033,0.33977063639619454,4.851277589254699
-3.0,1.4745762711864412,0.3392927240308379,4.831669722330898
-3.0,1.5762711864406782,0.3391082142344497,4.811818658471944
-3.0,1.6779661016949152,0.33925012178173,4.79177149753136
-3.0,1.7796610169491531,0.33974112935348255,4.7715754463071525
-3.0,1.8813559322033901,0.3405948453294152,4.751276207925055
-3.0,1.9830508474576272,3.7694364613152,3.1073168837302942
-3.0,2.084745762711865,3.771026859000492,3.0869368088818305
-3.0,2.186440677966102,3.7729797739139457,3.0665715937565663
-3.0,2.288135593220339,3.7752857462642977,3.0462525476551843
-3.0,2.389830508474577,3.7779325000397748,3.0260067565534836
-3.0,2.491525423728814,3.7809058672608105,3.0058572337422738
